Normalized text	Document Number	Alternate Numbering	UUID	Person ID	QUOTE_TRANSCRIPTION	Supplemental naming	COMMENTS	LAT	LNG	TAGS	Unhandled Tags 2	Named by	Scribe	Principal	Witness	Dead	Gender
master and brethren of St Katherine's Hospital Ledbury	HCM 1729		76cdfc8c-e54b-4373-b755-9ac1f98c7033	7f653fe7-34d6-48c8-841f-65055ea5679f	brethren of the Hospital	master and brethren of St Katherine's Hospital Ledbury	of St Katherine of Ledbury			Principal|Collective|Clerical	Clerical	Collective		Principal			M
Stephen le Young	HCM 1729		fc360595-dff5-437b-bc2c-cc476f718b4c	f331a219-246a-49b7-af97-1b0de1e09589	peuple le Yunge, Master of the Hospital of Saint Katherine of Ledebur'	Master of the Hospital of Saint Katherine of Ledebur'	Stephen the Young			Principal|Clerical	Clerical			Principal			M
dean of Hereford (vacant)	HCM 1730		5e1e5ec3-bf13-4c74-a93e-b1dd128b0ffd	5e1e5ec3-bf13-4c74-a93e-b1dd128b0ffd	dean of the said cathedral church	dean of Hereford (vacant)	currently vacant			Office|Clerical	Clerical	Office					M
Thomas Belamy	HCM 1730		a0c1cb0c-923f-4991-83e4-871bc1f5d581	a0c1cb0c-923f-4991-83e4-871bc1f5d581	Thomas BKelamy, clerk, rector of the church  of \odecestre,.	clerk, rector of the church  of \odecestre,.	commissioned to induct new master of St Kath's Hospital|Thomas Belamy, clerk, rector of the church of Wodecestre			Principal|Clerical|Agent	Clerical|Agent			Principal			M
dean and chapter of Hereford	HCM 1730		18ce3dc0-3845-4a2b-9d9d-808e65d87839	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2	Chapter of the cathedral church of Hereford	dean and chapter of Hereford				Principal|Collective|Clerical	Clerical	Collective		Principal			M
William le Brut	HCM 1730		dcfc1414-26de-4230-9217-5882ce887747	dcfc1414-26de-4230-9217-5882ce887747	william le Brutt', chaplain	master of St Katherine's Ledbury|chaplain	inducted as Master of Hospital of St Kath of Ledbury			Principal|Clerical	Clerical			Principal			M
Henry de Orleton	HCM 1732	RBLR 0801, HCM 1732	08309f15-2020-46d0-90c8-0dcfbde38723	08309f15-2020-46d0-90c8-0dcfbde38723	henry de Orletone,					Witness					Witness		M
bishop of Hereford	HCM 1732	RBLR 0801, HCM 1732	0d75305d-89af-4da3-b7ba-6421a1a97da3	0d75305d-89af-4da3-b7ba-6421a1a97da3	bishop of Hereford	bishop of Hereford	Swinfield or Orleton, depending on year			Neighbor|Clerical|Office	Clerical|Neighbor	Office					M
Bartholomew le Spicer	HCM 1732	RBLR 0801, HCM 1732	8487a74d-3974-4ab6-b760-808585634f3d	1ff1abc6-e1a7-43f7-9391-15e8c95f8388	Bartholomew le ispecer of Hereford		Bart le Especer			Principal				Principal			M
Hugh Ives	HCM 1732	RBLR 0801, HCM 1732	ef016f63-1bca-4ebd-8ddb-01b7d36a186e	390befae-2021-452f-8345-7a7acb12d117	Guch Ives					Witness					Witness		M
William Inthehale	HCM 1732	RBLR 0801, HCM 1732	e2c6ad32-9940-4673-bd59-4577d46e8573	3a74b1b9-671c-4856-ac92-459b33103cc7	“illiam Ithenhale		William Ithenhale [i.e., in the Hale]			Witness					Witness		M
Roger de Breynton	HCM 1732	RBLR 0801, HCM 1732	1bd15dbb-15bd-4391-928a-411e2460523c	724d1018-4ff9-463e-a762-59080c540d53	koger de Breyntone, clerk	clerk				Principal|Clerical	Clerical			Principal			M
John le Bole	HCM 1732	RBLR 0801, HCM 1732	3735a891-2bab-4708-97a3-650157ce2501	87261177-69cf-4a0a-80f0-ed7da547be29	John le Bole, clerk,	clerk				Witness|Scribe|Clerical	Clerical		Scribe		Witness		M
John de la Felde	HCM 1732	RBLR 0801, HCM 1732	46a84688-39c5-4dde-b405-e154fc095286	8c0a8469-c649-4985-947b-e6bc21844f83	John de elde		John de la Felde			Witness					Witness		M
Hugh le Shipward	HCM 1732	RBLR 0801, HCM 1732	df9bb464-3039-491f-890a-0d95fd727961	91e93f81-6053-43a3-bf49-ea605cdc7f2b	Hugh le Shipward					Witness					Witness		M
John de la Barewe	HCM 1732	RBLR 0801, HCM 1732	cbc22142-999b-446e-aeaf-5de25ee26f64	9f198569-1a34-4d35-835d-0b7dea068a59	John de la Barewe					Witness					Witness		M
John de Seuenak	HCM 1732	RBLR 0801, HCM 1732	5addb5df-5d7c-4424-8db7-309ac7a3165d	b5581852-7506-4bcf-9029-1609cc0a4015	John de Sevensk		John de Sevenak'			Witness					Witness		M
John Helle	HCM 1732	RBLR 0801, HCM 1732	b5f7bc58-4de8-48c4-816f-d6f82e08d156	b5f7bc58-4de8-48c4-816f-d6f82e08d156	John Helle chaplain of the altar of the Bless in the cathedral church of liereford	chaplain of the altar of the Blessed Mary in the cathedral church of Hereford				Neighbor|Clerical	Clerical|Neighbor						M
dean and chapter of Hereford	HCM 1732	RBLR 0801, HCM 1732	39268514-890b-4db9-b81e-f0a56c50e80b	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2	dean and chopter of Hereford	dean and chapter of Hereford				Neighbor|Collective|Clerical	Clerical|Neighbor	Collective					M
Nicholas Iweyn	HCM 1732	RBLR 0801, HCM 1732	30c89369-df6f-43cd-96ff-c48203149710	ce5dd8ed-33a0-4b82-a707-443d9c63a386	Nicholas Iweyn,					Witness					Witness		M
Richard Berde de Ledbury	HCM 1734		1a379293-c3ea-4413-bff7-28ee08118f8b	0184eed5-e71f-4713-a176-654b540c9777	Richard berde					Witness					Witness		M
Giles le Ferour	HCM 1734		13a714e1-c5b2-4e99-b931-c60ea96fe571	13a714e1-c5b2-4e99-b931-c60ea96fe571	Giles le Ferur		ferour = iron worker			Witness					Witness		M
Walter de Weston	HCM 1734		7b927b89-b969-4871-bcdf-ffeb612db218	3e46cc67-75c5-46e5-8da8-d77a655c2285	Walter de Weston’					Witness					Witness		M
Ralph Berde of Ledebury	HCM 1734		fdd2584b-1f51-4bee-b299-1579b3fe2212	4d96e178-f304-4303-87b7-30a884508036	Randolphe Berde					Neighbor	Neighbor						M
master and brethren of St Katherine's Hospital Ledbury	HCM 1734		1a4dfab0-8bc6-4bc6-a990-f21f7ed55da1	7f653fe7-34d6-48c8-841f-65055ea5679f	Hospital of the Blessed Katherine at Ledbury,	master and brethren of St Katherine's Hospital Ledbury				Lease-Holder|Clerical|Collective	Clerical	Collective					M
William de Preston	HCM 1734		8814502b-5e96-42ee-8635-9d81d22ee3ba	8814502b-5e96-42ee-8635-9d81d22ee3ba	William de Preston’		son to Juliana, HCM 2503, probably			Principal				Principal			M
Hugh de Sothynton'	HCM 1734		ae494e28-baaf-4fcd-b5bd-89dd30c644cb	ae494e28-baaf-4fcd-b5bd-89dd30c644cb	Hugh de Sothynton', clerk	clerk				Principal|Clerical	Clerical			Principal			M
Ralph le Botiler	HCM 1734		e6653378-6444-4952-86dd-ca98fa29b69c	e6653378-6444-4952-86dd-ca98fa29b69c	Ralph le Botiler					Witness					Witness		M
Roger Pelliparie	HCM 1734		f0ab0d90-9d6a-4078-93dd-0fedb2d327ae	f0ab0d90-9d6a-4078-93dd-0fedb2d327ae	Roger Pelliparie					Witness|Scribe			Scribe		Witness		M
Ralph de Hengham	HCM 1736		37a89010-4996-4e6d-9ff1-c85ec714b298	37a89010-4996-4e6d-9ff1-c85ec714b298	Ralph de Hengham		king's justice			Adjudicator	Adjudicant						M
Peter Malorre	HCM 1736		65aef4ea-64a1-4f00-a5f8-c35940dd0196	65aef4ea-64a1-4f00-a5f8-c35940dd0196	Peter Malorre		king's justice			Adjudicator	Adjudicant						M
Roger de la Grene de Bulleye	HCM 1736		7896ee44-ba03-4804-9fba-b253fa15319e	7896ee44-ba03-4804-9fba-b253fa15319e	Roger de la Grene de Bulleye	husband to Alice	concerns manor of Bulleye, Gloucs.--W of Glouc, nr Highnam			Principal				Principal			M
Lambert de Trikingham	HCM 1736		a0b5d4e1-6f8a-4e79-9c94-e42bca68384f	a0b5d4e1-6f8a-4e79-9c94-e42bca68384f	Lambert de Trikingham, justices	justices				Adjudicator	Adjudicant						M
Alice wife of Roger de la Grene de Bulleye	HCM 1736		abe70ac9-6f32-44ce-9544-cb6ce2e1f89d	abe70ac9-6f32-44ce-9544-cb6ce2e1f89d	Alice his wife	his wife	wife to Roger de la Grene de Bulleye			Principal|Woman				Principal			W
William de Bereford	HCM 1736		b1756e1d-f22c-42d0-bc2e-c6a0f1d97203	b1756e1d-f22c-42d0-bc2e-c6a0f1d97203	William de Bereford',		king's justice			Adjudicator	Adjudicant						M
Elias de Bekynham	HCM 1736		b214cc5f-9420-49ab-9cdf-61002a6df7d7	b214cc5f-9420-49ab-9cdf-61002a6df7d7	Elias de Bekynham		king's justice			Adjudicator	Adjudicant						M
John de Acle	HCM 1736		e6cb9006-2ef5-4b59-8c55-7cb959da34ba	e6cb9006-2ef5-4b59-8c55-7cb959da34ba	John de Acle, chaplain	chaplain				Principal|Clerical	Clerical			Principal			M
William Howard	HCM 1736		ea3999f5-3c89-4332-b148-1936e77033a8	ea3999f5-3c89-4332-b148-1936e77033a8	William Howard'		king's justice			Adjudicator	Adjudicant						M
John Elyes	HCM 174		37e6fca3-721a-40f7-8a10-07b6f3e8be7e	37e6fca3-721a-40f7-8a10-07b6f3e8be7e	John Elys,					Witness					Witness		M
Walter de Hope	HCM 174		4ea3146d-0955-4b68-9bd3-1bd1c6161142	4ea3146d-0955-4b68-9bd3-1bd1c6161142	Walter de Hope		Hope Wolworth, i.e. Woolhope? or Hope under Dinmore, nr Leominster?			Witness|Scribe			Scribe		Witness		M
Robert Savage	HCM 174		7c20a225-0555-492b-b8d2-fe9032f6bdfd	7c20a225-0555-492b-b8d2-fe9032f6bdfd	Robert Sauage					Principal				Principal			M
lord(s) of the fee	HCM 174		2a5d63e8-feed-45c5-93a2-4a7591c47f67	949cae31-0858-4532-ac3f-cccf11642131	the fee					Office		Office					M
John de la Barewe	HCM 174		bad5fe33-931a-4cde-bb85-ec246d72e18b	9f198569-1a34-4d35-835d-0b7dea068a59	John de la Barwe					Neighbor	Neighbor						M
Walter the Fisherman of Rotherwas	HCM 174		ccf65e9a-6586-4bb1-bdf3-d7c85e9bd84b	ccf65e9a-6586-4bb1-bdf3-d7c85e9bd84b	Walter the fisherman (piscator) of Retherwas					Neighbor	Neighbor						M
Philip le Worrour	HCM 174		d19a2b84-a064-4302-80b0-a1e1d81c1821	d19a2b84-a064-4302-80b0-a1e1d81c1821	Phillip le Werour.					Principal				Principal			M
King Edward II	HCM 174		bc98edae-1fa3-4738-89bb-83efe2753b01	d4581268-48f2-45c8-8655-11affadc8472	king					Office		Office					M
Nicholas de Werham	HCM 174		092c6f4d-1e1c-4a53-a51a-aee531295660	dee9ac7a-f3ba-4d4e-b653-51b999e497dd	Nicholas de Werham					Witness					Witness		M
Adam le Porter	HCM 174		e76e3c35-83b6-4643-ad2c-d40778a96805	e76e3c35-83b6-4643-ad2c-d40778a96805	Adam le Porter, bailiff of the fee	bailiff of the fee				Witness|Agent	Agent				Witness		M
Walter Brond	HCM 174		e900dc03-d7d3-47c0-adbb-66e5fc697987	e900dc03-d7d3-47c0-adbb-66e5fc697987	Walter Brond					Witness					Witness		M
John le Werrour	HCM 174		72aa9723-3c96-4d1f-9ee5-c795aec9a255	fa4bd9d5-7d76-4c81-b1a0-346fe2483547	John le Werour					Neighbor	Neighbor						M
John le Smith's wife	HCM 1746		2bbfd40c-9b4d-43ea-9757-f9d2b1dc96d6	2bbfd40c-9b4d-43ea-9757-f9d2b1dc96d6	his wife					Principal|Woman|Office		Office		Principal			W
John Thoky de Breynton	HCM 1746		a55b39fe-bd7e-41e3-ba7e-9e2059c75df8	7e72492a-7df0-4132-9f99-11f820f0874a	John, abbot, and the convent of St. Peter's, Gloucester	abbot of St Peter's Gloucester				Principal|Clerical|Collective	Clerical			Principal			M
convent of St Peter's Gloucester	HCM 1746			aabade39-f8ba-481c-a646-3dda1233051f								Collective		Principal			
Walter le Calewe	HCM 1746		e8e58a26-8ad7-49b3-88de-cb434f79fb37	e8e58a26-8ad7-49b3-88de-cb434f79fb37	Walter le Calewe					Lease-Holder							M
John le Smith	HCM 1746		f6a09683-8a39-4c60-b85d-714994177063	f6a09683-8a39-4c60-b85d-714994177063	John le Smyth',					Principal				Principal			M
Ralph Hathewy	HCM 1747		187737b7-9831-4938-a36c-1a3d781c1105	187737b7-9831-4938-a36c-1a3d781c1105	Ralph Hathewy					Neighbor	Neighbor						M
Roger Edrich	HCM 1747		223dae8b-28d5-480e-a42e-c339f2ce4aa8	223dae8b-28d5-480e-a42e-c339f2ce4aa8	Roger Edryt'		cf HCM Hugh & Robert Edrich (is Roger a mistake for Robert?); cf Roger son of Edricus earlier			Witness|Scribe			Scribe		Witness		M
Richard de Boyfeld de Munstreworth	HCM 1747		30514833-3c05-425e-a319-b13fc253b179	30514833-3c05-425e-a319-b13fc253b179	Richard de Boyfeld of the manor of Ministrewurth'					Principal				Principal			M
William de Boyfeld	HCM 1747		39b1980f-eb9e-4385-b5a2-402b342f17ca	39b1980f-eb9e-4385-b5a2-402b342f17ca	William de Boyfeld		William de Boyfeld'			Witness					Witness		M
John de Clynton	HCM 1747		91a30f17-ff0b-4568-ad5a-e3de582f9ec7	91a30f17-ff0b-4568-ad5a-e3de582f9ec7	John de Clynton',					Neighbor	Neighbor						M
William Chaunt'el	HCM 1747		b1ab0a67-8d82-461c-a6fa-33f44f0380d3	b1ab0a67-8d82-461c-a6fa-33f44f0380d3	William Chaunt'el,					Witness					Witness		M
William de Southham	HCM 1747		b4444613-24e7-4cfd-94ac-37e68e9fc69e	b4444613-24e7-4cfd-94ac-37e68e9fc69e	William de Southham', burgess of Gloucester,	burgess of Gloucester				Principal				Principal			M
Roger de Munstreworth	HCM 1747		dc1d1824-248f-4ad7-b447-eb24df08d885	dc1d1824-248f-4ad7-b447-eb24df08d885	Roger de Ministrewurth'					Witness					Witness		M
William Colrugge de Aston	HCM 1747		975d2008-f6f1-4568-b975-6d0bd848960f	e5ddb117-f2d8-422d-8df6-ba86d5d56d09	William de Astone		formerly|1319|Munstreworth ; prob distinct from Wm de Ashtone of HCM 1613			Neighbor	Neighbor						M
Nicholas de Boyfeld	HCM 1747		17c41cb6-401d-41e5-8063-965b17b32dac	e8eb246f-7fae-4e17-9ac1-9876e5b7133e	Nicholas de Boyfeld'					Witness					Witness		M
Richard Wilkyn	HCM 1747		f6646744-003a-4c20-ad09-d67ff38bc189	f6646744-003a-4c20-ad09-d67ff38bc189	Richard Wylekyn					Neighbor	Neighbor						M
Matilda de Estenore	HCM 1750		0132b6b1-d70b-4d09-b1d0-8b8766a2869d	0132b6b1-d70b-4d09-b1d0-8b8766a2869d	Matilda de Estonor'.					Neighbor|Woman	Neighbor						W
Richard Berde de Ledbury	HCM 1750		9f19720f-e982-4eab-b37a-869d810d73f4	0184eed5-e71f-4713-a176-654b540c9777	Richard Beherd' of the same place		i.e. Richard Berde de Ledbury, husband to Alena			Principal				Principal			M
Walter de Weston	HCM 1750		d243cd64-fde0-4d9c-96f8-a2088cf70808	3e46cc67-75c5-46e5-8da8-d77a655c2285	Walter de Westone,					Witness					Witness		M
[William deleted]	HCM 1750		6fcff038-262a-4392-8172-7421bd8d315c	6fcff038-262a-4392-8172-7421bd8d315c	(William daipiep)					Witness					Witness		M
master and brethren of St Katherine's Hospital Ledbury	HCM 1750		6d701cad-af46-4190-8f2b-0296cfbd9b8c	7f653fe7-34d6-48c8-841f-65055ea5679f	brethren of the Hospital of St. Katherine of Ledebur',	master and brethren of St Katherine's Hospital Ledbury				Neighbor|Collective|Clerical	Clerical|Neighbor	Collective					M
Adam Benet of Ledbury	HCM 1750		a52bb40f-7c8d-4e49-b973-429744a9d90e	a52bb40f-7c8d-4e49-b973-429744a9d90e	Adem Beneth de Ledebur';		Berde, possibly?			Principal				Principal			M
Stephen Eseger	HCM 1750		c3d4825c-0fb7-41c2-bff8-17ae437c55d8	c3d4825c-0fb7-41c2-bff8-17ae437c55d8	Stephen Estker,					Witness					Witness		M
Roger Eseger	HCM 1750		a2b6efcc-3a10-4c59-af6c-b2de1a6f2b46	cbb622a5-0293-452e-a5ab-c32843cbd931	Roger Estker,					Witness					Witness		M
Henry le Skynnar	HCM 1750		daae24a6-5a96-43ad-8275-16168cc608f1	d910e856-8753-4c8c-81e7-4c966d5fc008	Henry the pelterer.					Witness|Scribe			Scribe		Witness		M
Henry de la Keldepirie	HCM 1750		e3c6603a-fae6-4c39-95de-8d2bf14d94c8	e3c6603a-fae6-4c39-95de-8d2bf14d94c8	Henry de la Keldepirie					Neighbor	Neighbor						M
Alena wife of Richard Berde de Ledbury	HCM 1750		5faab1e9-bd7f-4f83-a79e-1bf9e3095ca3	ee693867-aa22-4463-a9bf-393d214b901f	Alena, his wife	wife of Richard Berde de LEdbury				Principal|Woman		Husband		Principal			W
William le Broy	HCM 1750		ffcf3e24-6cfe-4646-8fad-fbd4d6a232b6	ffcf3e24-6cfe-4646-8fad-fbd4d6a232b6	William le Broy,		cf p. 302, 342			Witness					Witness		M
Richard Berde de Ledbury	HCM 1751		41755b06-332d-42cd-815d-2510bbbfe93f; 72c01206-f047-4b3a-ad63-a701b42fdc75	0184eed5-e71f-4713-a176-654b540c9777	Richard Perot de Ledebur'; Richard Berde de Ledebur'		husband to Alyna			Principal				Principal			M
Walter Caperun	HCM 1751		1bde28b8-f01b-42d6-9739-d817e38b587a	1bde28b8-f01b-42d6-9739-d817e38b587a	Walter Caperun					Witness					Witness		M
rector of Estenore	HCM 1751		1e83fa4e-6be8-4c98-a93c-528060cdb210	1e83fa4e-6be8-4c98-a93c-528060cdb210	rector of the church of Estenovere	rector of Estenore				Neighbor|Clerical|Office	Clerical|Neighbor	Office					M
Ralph Berde of Ledebury	HCM 1751		255ecefa-0b55-4a98-8e46-f3ebaf388103	4d96e178-f304-4303-87b7-30a884508036	Ralph Berde					Witness					Witness		M
Richard le Forster	HCM 1751		4e2fa7c2-4061-456f-86fd-c750892ba4b3	4e2fa7c2-4061-456f-86fd-c750892ba4b3	Richard le Forster,					Witness					Witness		M
William Crodele	HCM 1751		d4121b35-cb9b-41c8-a930-bad77496741f	d4121b35-cb9b-41c8-a930-bad77496741f	William Crodele					Neighbor	Neighbor						M
John de Underdoune	HCM 1751		d80e41a7-4ca0-417e-bf82-69042d51ec35	d80e41a7-4ca0-417e-bf82-69042d51ec35	John de Underdoune					Neighbor	Neighbor						M
Ralph le Botiler	HCM 1751		ad827e4b-88e7-4b16-a615-10cf6c725379	e6653378-6444-4952-86dd-ca98fa29b69c	Ralph le Botiler					Witness					Witness		M
Alena wife of Richard Berde de Ledbury	HCM 1751		ee693867-aa22-4463-a9bf-393d214b901f	ee693867-aa22-4463-a9bf-393d214b901f	Alyna, his wife	wife of Richard Berde de LEdbury				Principal|Woman		Husband		Principal			W
Roger le Skinnar	HCM 1751		7dcabc88-6fa8-4bae-8315-99358d20f381	fd59531b-c50b-43cc-94ac-49761bd4ec1d	Roger le Skynnar'					Witness|Scribe			Scribe		Witness		M
Henry de Orleton	HCM 1752		9f33a9f5-c091-4f7d-b1ec-4f65a5830eca	08309f15-2020-46d0-90c8-0dcfbde38723	Henry de Orletone,		bailiff of king in H with Phillip le Werrour and Roger Penk			Witness|Agent	Agent				Witness		M
William de Cirencester	HCM 1752		15c28993-4488-4640-84dd-89898bf46852	15c28993-4488-4640-84dd-89898bf46852	William de Cirescestre, goldsmith, of Hereford	goldsmith, of Hereford				Principal				Principal			M
Richard Thurgrym	HCM 1752		cbee9a5f-d3ed-4c7e-9de5-18c07587f59a	1ce8efd0-c4f3-4377-ba68-ce10b4981461	Richard Thurgrim,					Witness					Witness		M
William Godknave I	HCM 1752		f320870c-fa43-4e5c-aae3-36a23bb913fe	2ac2c7cc-3520-4513-8621-35dabf608dd6	William Godknave					Witness					Witness		M
William de Orleton	HCM 1752		335492a6-77d8-49f6-96a9-fb47c4740cf2	335492a6-77d8-49f6-96a9-fb47c4740cf2	William de Orletone.					Witness|Scribe			Scribe		Witness		M
Robert Carpenter	HCM 1752		39ed7e57-6f02-493a-9cb3-d1c4a55e1e4f	39ed7e57-6f02-493a-9cb3-d1c4a55e1e4f	Robert Carpentar'					Neighbor	Neighbor						M
William Inthehale	HCM 1752		00cbfee8-ecea-4172-9f12-942122409df8	3a74b1b9-671c-4856-ac92-459b33103cc7	William Inthehale					Neighbor	Neighbor						M
Roger Penk	HCM 1752		d1e16680-75e6-45d9-8185-d7daa3354f00	620d776e-ee05-4e28-a0f2-5c3be5ccb9a7	Roger Penk, then king's bailiffs at Hereford	then king's bailiffs at Hereford	with Henry Orelton and Phillip le Werrour			Witness|Agent	Agent				Witness		M
John de Seuenak	HCM 1752		6fa09cf3-fdae-40f4-b83a-f1cdc2eb160a	b5581852-7506-4bcf-9029-1609cc0a4015	John de Sevenok'					Neighbor	Neighbor						M
John de Rotherwas	HCM 1752		c2699ab6-a1e7-495e-a72d-49dff84c6ee8	c2699ab6-a1e7-495e-a72d-49dff84c6ee8	John de Retherwas, citizen of Hereford	citizen of Hereford				Principal				Principal			M
Philip le Worrour	HCM 1752		e38608f9-3a13-4ab1-b2ce-e18423734654	d19a2b84-a064-4302-80b0-a1e1d81c1821	Philip le Werrour,		baillif with Henry Orleton and Roger Penk for King in H			Witness|Agent	Agent				Witness		M
King Edward II	HCM 1752		0614f4be-bbaa-4c39-8355-8c1e1d28edf9	d4581268-48f2-45c8-8655-11affadc8472	king					Office		Office					M
Walter Thoky	HCM 1753		2ab50848-9fd3-4f85-817e-e09eaaaf3ce6	1219e619-86d8-47dc-b8db-7fb4cfe212cd	Walter Toky,		father to Thomas Toky			Principal				Principal			M
William de Mattesdone	HCM 1753		1302e211-9321-4f7a-a83a-8232360b08b0	1302e211-9321-4f7a-a83a-8232360b08b0	William de mattesdon',		rel to principal, John de Mattesdon de Upton St Leonard? cf Mattresdon, Matresdon, Mattysdon (dyers, of Snedon, Glouc; Upton St Leonards) p.1110			Witness|Scribe			Scribe		Witness		M
John de Brokworth'	HCM 1753		1d46c503-e9a6-4dff-af21-f702b1ab2011	1d46c503-e9a6-4dff-af21-f702b1ab2011	John de Brokworth',		vicinity of Gloucester			Witness					Witness		M
Thomas de Ledbury	HCM 1753		3dae5117-ff54-4f61-bdd0-3bd92e0b7385	3dae5117-ff54-4f61-bdd0-3bd92e0b7385	Thomas de Ledebury, burgess of the vill of Glouwester,	burgess of the vill of Glouwester,				Principal				Principal			M
Robert Passemer’	HCM 1753		4a126471-9fb1-4f2f-8b1b-4d5313bfaa7a	4a126471-9fb1-4f2f-8b1b-4d5313bfaa7a	Robert Passemer’					Witness					Witness		M
William le Clerk de Maisemore	HCM 1753		6f1265e6-1116-4731-a694-c9f2a8dfb545	708084c1-96e7-4253-8a10-94b1521ccbd4	William the chaplain de Mayesmor,					Principal|Clerical	Clerical			Principal			M
Walter Brownyng	HCM 1753		9f1f77f0-f004-49f9-8e77-ea062ae71e83	9f1f77f0-f004-49f9-8e77-ea062ae71e83	Walter Brownynz',					Witness					Witness		M
Walter Leuyot of Gloucester	HCM 1753		aa6f5958-3766-4c30-9a6c-5c0cd2765a95	aa6f5958-3766-4c30-9a6c-5c0cd2765a95	Walter Leuyot of Gloucester,					Principal				Principal			M
John le Rous	HCM 1753		c0b06338-2812-435d-b92e-6fc940e88ffc	ba2d99b2-463a-43fa-aedf-15139f7b581f	John le Rous					Witness					Witness		M
John de Mattesdone de Upton	HCM 1753		d25e28e0-9891-4c0d-9d43-a83841406ad8	d25e28e0-9891-4c0d-9d43-a83841406ad8	John de mattesdone de Opton';					Principal				Principal			M
Thomas Toky	HCM 1753		d6a0d047-274f-42b4-b489-b932587d4651	d6a0d047-274f-42b4-b489-b932587d4651	Thomas Toky son of Walter Toky	son of Walter Toky	son to Walter Toky			Principal				Principal			M
Walter de Womburne of Gloucester	HCM 1753		e9755a71-bf9a-4cca-ae3b-573c37f3c971	e9755a71-bf9a-4cca-ae3b-573c37f3c971	Walter de Womburne of the same vill		of Gloucester			Principal				Principal			M
Thomas de Mattesdone of Upton	HCM 1753		ed20732e-9808-4f26-8b80-85bbef705bdc	ed20732e-9808-4f26-8b80-85bbef705bdc	his father Thoma	father of John de Mattesdone of Upton	i.e. Thomas, father to John de Mattesdone de Opton'			Dead|Lease-holder	Lease-holder					Dead	M
John de Wyke	HCM 1754		4bb3a6a3-b57c-4f94-a329-457fae81248b	4bb3a6a3-b57c-4f94-a329-457fae81248b	John, prior of the cathedral church of Worcester, and the convent of the same place	prior and convent of Worcester	(frater) prior 1301-1317			Principal|Clerical|Collective	Clerical	Collective		Principal			M
John de Sancto Briavello	HCM 1754		8c4dff95-6329-4fb0-85ee-d38af13500d3	8c4dff95-6329-4fb0-85ee-d38af13500d3	John de Sancto Briavello, their fellow-monk	proxy for prior and convent of Worcester	frater|monk of Worcester|named proxy for prior and convent; link to John son of Hugh of St Briavel's?			Principal|Clerical|Agent	Clerical|Agent			Principal			M
convent of Worcester Cathedral	HCM 1754			aabade39-f8ba-481c-a646-3dda1233051fz								Collective		Principal			
Ralph Hathewy	HCM 1755		5af6eaad-e9c0-46e5-a311-4d936e56f127	187737b7-9831-4938-a36c-1a3d781c1105	Ralph Hathewy					Neighbor	Neighbor						M
Roger Brit	HCM 1755		2fa336e4-51c3-4597-9e50-7288d14e87ad	2fa336e4-51c3-4597-9e50-7288d14e87ad	Roger Brit.					Witness|Scribe			Scribe		Witness		M
Richard de Boyfeld de Munstreworth	HCM 1755		c7d0654d-355b-4413-a18b-708c41df8a4a	30514833-3c05-425e-a319-b13fc253b179	Richard de Boifeld'					Lease-holder	Lease-holder						M
William de Boyfeld	HCM 1755		cbb3e824-76cc-4107-8203-f52e67c2b23e	39b1980f-eb9e-4385-b5a2-402b342f17ca	William de Boifeld',		cf p.124, 135 (namesake, grandfather?)			Witness					Witness		M
John le Draper	HCM 1755		5a7b7742-b5a1-407d-a439-5f750bcfd6ff	5a7b7742-b5a1-407d-a439-5f750bcfd6ff	John le Draper, burgess of Gloucester,	burgess of Gloucester				Principal				Principal			M
John de Clynton	HCM 1755		59f681b7-acce-45d0-bb64-428e6f9d78e8	91a30f17-ff0b-4568-ad5a-e3de582f9ec7	John de Clynton’					Neighbor	Neighbor						M
William Chaunt'el	HCM 1755		54cac99a-92ea-43a1-bd93-35523cad641c	b1ab0a67-8d82-461c-a6fa-33f44f0380d3	William Chaunt'el,					Witness					Witness		M
William de Southham	HCM 1755		b81ca6aa-1dc3-422c-93ea-02870c15563d	b4444613-24e7-4cfd-94ac-37e68e9fc69e	William de Southham, burgess of Gloucester	burgess of Gloucester				Principal				Principal			M
Roger de Munstreworth	HCM 1755		ba43f516-6b38-4abb-b382-9663ea9f4ba7	dc1d1824-248f-4ad7-b447-eb24df08d885	et de Munstr*,		Roger de Munstr'			Witness					Witness		M
William Colrugge de Aston	HCM 1755		e5ddb117-f2d8-422d-8df6-ba86d5d56d09	e5ddb117-f2d8-422d-8df6-ba86d5d56d09	"William Colrugge de Aston"""		cf HCM 1747, Wm de Astone = same guy, same page			Neighbor	Neighbor						M
Nicholas de Boyfeld	HCM 1755		e8eb246f-7fae-4e17-9ac1-9876e5b7133e	e8eb246f-7fae-4e17-9ac1-9876e5b7133e	Nicholas de Boifeld',					Witness					Witness		M
Richard Wilkyn	HCM 1755		a22bac7e-840b-43ca-85da-c23db4edfa56	f6646744-003a-4c20-ad09-d67ff38bc189	Richard Wilkyn					Neighbor	Neighbor						M
Walter de Penebrugge	HCM 1766		91facbf2-fa81-403f-b45b-7e1489f19f3f	07fc174a-e4c4-460f-ad23-876557cae261	Walter, rector of the church of Byford,	rector of Byford,	Walter de Penebrugge = rector 1315, but gets Monnington 1316, so NOT him?			Agent|Clerical	Clerical|Agent						M
