QUOTE_TRANSCRIPTION	Common Name	LAT	LNG	TAGS	COMMENTS
Ledebury	Ledebury			Nominative	
Ledebur	Ledebury	52.03639	-2.42635	Nominative	
Ledebur	Ledebury	52.03639	-2.42635	Nominative	
Ledebury,	Ledebury	52.03639	-2.42635	Nominative	Ledbury, Herefordshire
Ledebury,	Ledebury			Nominative	
Lemhethe	Lemhethe			Given at	Lambeth
Lisle	Lisle	41.80114	-88.07479		
Little	Little	55.991318	-3.695616		
Llanthory-byGloucester	Llanthory-byGloucester				
Lodelowe	Lodelowe	52.37431	-2.71311	Given at	
Lodelowe	Lodelowe	52.37431	-2.71311	Nominative	
Lodelowe	Lodelowe	52.37431	-2.71311	Given at	
London	London	42.98339	-81.23304		
London	London	42.98339	-81.23304		
London	London	42.98339	-81.23304		
Londoniis	Londoniis				
Londoniis	Londoniis				
Londoniis	Londoniis				
London	London	42.98339	-81.23304	Given at	
London	London	51.50853	-0.12574	Given at	
London	London	51.50853	-0.12574	Given at	
London	London	51.50853	-0.12574	Given at	
London	London	51.50853	-0.12574	Given at	
London	London	42.98339	-81.23304	Given at	
London	London	51.50853	-0.12574	Given at	
Lugge	Lugge			Bridge	bridge
Lugge	Lugge			River	River or Waterway
Lugwardyn	Lugwardyn				
Lugwardyn	Lugwardyn				
Lugwardine	Lugwardyn				
Lullam	Lullam			Nominative	
Maddelye	Maddelye				
Malvern	Malvern	40.03622	-75.51381		
Marschfeld	Marschfeld				
Mersh	Mersh				
messuage and fifty-three acres were purchased of the same dominus Roger in the same town and eighteen acres were inherited  after the death of John de la Berne, father of the said John de la Berne, in the same town	messuage and fifty-three acres were purchased of the same dominus Roger in the same town and eighteen acres were inherited  after the death of John de la Berne, father of the said John de la Berne, in the same town			RB property	in Breinton
messuages, land, and rent in Breinton and Upton	messuages, land, and rent in Breinton and Upton			RB property	
messuages, mill, and land in Cloppeleye, Sevenhampton (Glouc.) and Whitbourne (Heref.)	messuages, mill, and land in Cloppeleye, Sevenhampton (Glouc.) and Whitbourne (Heref.)			RB property	several places
Molendino	Molendino			Nominative	
Monnington	Monnington			RB property	
Monitone	Monyton				
Monytone	Monyton			Nominative	
Nonyton'	Monyton			Nominative	Monnington?
Monyton'	Monyton			Nominative	Monnington-on-Wye
Moniton	Monyton			Nominative	Monnington on Wye
Nethereschelwyk	Nethereschelwyk				
Netherschelwyk	Nethereschelwyk				
Northgate	Northgate	39.25283	-84.59245		
Norton	Norton	51.55944	-2.165		
Norton	Norton	-17.88333	30.7		
Norton	Norton	-17.88333	30.7	RB property	
nostro capitulo Herefordensi	nostro capitulo Herefordensi			Building	that is, in our Chapter (House) at Hereford
Nyuelynhop’	Nyuelynhop’				
Oldewallesfeld	Oldewallesfeld			Property	
Old Radnor, Hereford diocese	Old Radnor, Hereford diocese			RB property	
Old Radnor	Old Radnor				
one acre and a half l ie in Marschfeld between ths land of ths said dean and chapter and ths lend of ths said chaplain	one acre and a half l ie in Marschfeld between ths land of ths said dean and chapter and ths lend of ths said chaplain			RB property	Marshfield
one acre and a half lie in Posemoresfurlong' between the land of the said dean and chapter and the land of the sai d chaplain of the altar mentioned and extending from the land of the said John de la Berne as far as Wlmaresgreve (usque ad hauciam que vocatur W.)	one acre and a half lie in Posemoresfurlong' between the land of the said dean and chapter and the land of the sai d chaplain of the altar mentioned and extending from the land of the said John de la Berne as far as Wlmaresgreve (usque ad hauciam que vocatur W.)			RB property	
one acre lies between the land of ths said dean and chapter and the land formerly of Emma le Norreys and extending as far as the town of Broyntone	one acre lies between the land of ths said dean and chapter and the land formerly of Emma le Norreys and extending as far as the town of Broyntone			RB property	Breinton
one acre lies between the lands of the said dean and chapter and extends from their lands as far as the land formerly of Adam de la Pounde	one acre lies between the lands of the said dean and chapter and extends from their lands as far as the land formerly of Adam de la Pounde			RB property	
one acre lies in foseaoresfurlonge between the land of the said John de la Berne and the way called grenewey and extends from the land of the said John as far as Wlmaresgreve	one acre lies in foseaoresfurlonge between the land of the said John de la Berne and the way called grenewey and extends from the land of the said John as far as Wlmaresgreve			RB property	
one acre lies in Tounfeld between the land of the said dean and chapter and the land of John Wyty and extends as far as the haucia of John le Schipward	one acre lies in Tounfeld between the land of the said dean and chapter and the land of John Wyty and extends as far as the haucia of John le Schipward			RB property	
one acre of land In Lugwardyn	one acre of land In Lugwardyn			RB proprerty	for RB's use as warden (custos) in procuring chaplains
one croft containing six acres of arable land  formerly held by Nicholas de la Calewe in the vill of Chirchebreynton' lying between the messuage of John Dark' and the land of the chaplain of St. Mary then in the church of St. Ethelbert of Hereford	one croft containing six acres of arable land  formerly held by Nicholas de la Calewe in the vill of Chirchebreynton' lying between the messuage of John Dark' and the land of the chaplain of St. Mary then in the church of St. Ethelbert of Hereford			RB property	in Breinton
one croft of six acres of arable land in the vill of Chirchebreynton formerly held by Nicholas de la Calewe	one croft of six acres of arable land in the vill of Chirchebreynton formerly held by Nicholas de la Calewe			RB property	in Breinton
one curtilage, one dovecot, and thirty-one acres of arable land in Chirchebroynton'	one curtilage, one dovecot, and thirty-one acres of arable land in Chirchebroynton'			RB property	that is, in or near Breinton
one half acre lies between the land of Hugh le Schipward and the land of the said chaplain,	one half acre lies between the land of Hugh le Schipward and the land of the said chaplain,			RB property	
one half acre lies between the land of the said dean and chapter and ths land of the said chaplain and extends as far as Brugge Wallesiche	one half acre lies between the land of the said dean and chapter and ths land of the said chaplain and extends as far as Brugge Wallesiche			RB property	Welsh Bridge
one messuage and arable land in the vill of Chirehebreynton	one messuage and arable land in the vill of Chirehebreynton			RB property	
Paris	Paris	39.85699	-84.79329		
Path’	Path’	34.4465	-82.39151	Nominative	
Pershore	Pershore	52.11163	-2.07586		
Posemoresfurlong	Posemoresfurlong				
prebendary of Hunderton,	prebendary of Hunderton,			RB property	
prebendary of Norton	prebendary of Norton				
Prestebury	Prestebury			Given at	Prestbury
Prestheye	Prestheye				
Prestheye	Prestheye				
Prestheye	Prestheye				
Preston-on-Stour	Preston-on-Stour				
prioratu sancti Rufi juxta Avynyonem	prioratu sancti Rufi juxta Avynyonem			Given at|Building	that is, the Priory of St Rufus beside Avignon
prioratu sancti Rufi juxta Avynionem	prioratu sancti Rufi juxta Avynyonem			Given at	the Augustinian Priory of St Rufus beside Avignon (just south of city); this is where AO often stays while in residence
prioratu sancti Rufi juxta Avynyonem	prioratu sancti Rufi juxta Avynyonem			Building|Given at	Priory of St Rufus beside Avignon
RBLR 2001 1320.2.28	RBLR 2001 1320.2.28	51.5	-0.11667	Given at	"Given at Westminster, per CPR (print, p427) although transcription has excluded this; ""Westminster"" appears in margin"
RBLR 3006 1330.11.7	RBLR 3006 1330.11.7			Given at	Document given at Hartlebury (like others on this day), per scan. Hartlebury = manor of Bishop of Worcester
RBLR 4503 1345.7.18<	RBLR 4503 1345.7.18<	52.05684	-2.71482	Given at	Document includes no indication of a Given at, but it is highly likely to have been Hereford considering all of these principals, so I have tagged as such pending correction|please also note that two further documents, no longer extant, are referred to within this one, dated at Sugwas (1318) and Shinfield (1320) respectively
RBLR 4504 1345.7.18<	RBLR 4504 1345.7.18<	51.21444	-0.80054	Given at	Doc undated and unlocated, but likely to be Given at Farnham in immediate aftermath of death of AO, so I'm tagging as such
Rygate	Reygate			Nominative	
Reygate	Reygate	51.23736	-0.20582	Nominative	
Reygate	Reygate	51.23736	-0.20582	Nominative	
Reygate	Reygate			Nominative	
Reygate	Reygate			Nominative	
Ridmarleye	Ridmarleye				
Rock	Rock	41.86676	-72.44953	Given at	Rock, in Worcestershire
Rogeri de la Hulle de	Rogeri de la Hulle de			Witness	
Romana Curia	Romana Curia				
CURIA ROMANA	Romana Curia				
Rook	Rook			Nominative	
Ros	Ros	51.91667	-2.56667	Given at	Ross on Wye
Rue in Pontinio	Rue in Pontinio			Given at	I think this is a place somewhere en route to / from Avignon
Saint James	Saint James	13.1942723	-59.63075117		
Salisbury	Salisbury	-34.76667	138.63333		
Salisbury	Salisbury	-34.76667	138.63333		
Scheluing	Scheluing			Nominative	
Schenyngfelde	Schenyngfelde			Given at	Shinfield, a favorite manor of Bishop of Hereford
Scheynton’	Scheynton’			Nominative	
Seuenoke	Seuenak			Nominative	
Seuenak'	Seuenak			Nominative	
Seuenak	Seuenak			Nominative	
Seuenak	Seuenak			Nominative	
Seuenak	Seuenak			Nominative	
Sevenak	Sevenak			Nominative	
Sevenhampton	Sevenhampton				
Sevenhampton	Sevenhampton				
Shenyngfeld	Shenyngfeld				
Shenyngfeld	Shenyngfeld			Given at	Shinfield|again, internal reference to RB being present at Shinfield on 1320.2.1
Sherborne	Sherborne	50.94599	-2.51776		
Sherborne	Sherborne	50.94599	-2.51776	Going to	
shrine of St. Thomas	shrine of St. Thomas			Building	
Shropshire	Shropshire				
six acres lie in the same field between the land of the lord bishop of Hereford and the land of the said John de la Berne and extending from the highway called herestreteswey as far as the highway of Wydeden'	six acres lie in the same field between the land of the lord bishop of Hereford and the land of the said John de la Berne and extending from the highway called herestreteswey as far as the highway of Wydeden'			RB property	
Somersete	Somersete			Nominative	
St. Augustine	St. Augustine	29.89469	-81.31452		
St. Ethelbert	St. Ethelbert				
St. Ethelbert	St. Ethelbert				
St. Ethelbert	St. Ethelbert				
St. Ethelbert	St. Ethelbert				
St. Ethelbert of	St. Ethelbert				
St. Ethelbert	St. Ethelbert				
St. Ethelbert of	St. Ethelbert				
St. Ethelbert	St. Ethelbert				
St. Ethelbert	St. Ethelbert				
St. James	St. James	18.38339243	-77.85687648		
St. Matthew	St. Matthew	51.51388279	-0.095475594		
St. Nicholas	St. Nicholas				
St. Oswald 's	St. Oswald 's				
St. Oswald	St. Oswald				
St. Paul 's Cathedral	St. Paul 's Cathedral	51.5137417	-0.098465147	Going to|Building	
St. Peter	St. Peter				
St. Peter	St. Peter				
St. Waynard	St. Waynard				
St. Wulstan	St. Wulstan				
Stebbenhithe	Stebbenhithe				not clear on relationship to this dating / location and that of larger document issued at Farnham, so I have removed the Given at tagging for now
Stildon	Stildon			Nominative	
street of the castle of Hereford	street of the castle of Hereford			Street	
Studley	Studley	52.27026	-1.89188		
Suanton'	Suanton'			Nominative	
Sugwas	Sugwas				
Sugwas	Sugwas			Given at	Stretton Sugwas, a manor of Bishop of Hereford|not sure how to handle this--no surviving doc except this one, but it places RB at Sugwas on 1318.3.27, so I'll add a Given at tag for that...
Swynefeud	Swynefeud			Nominative	Swinfield
Swynefeud	Swynefeud			Nominative	Swinfield
Swynefeud	Swynefeud			Nominative	Swinfield
Swynefeud	Swynefeud			Nominative	Swinfield
Swynefeud	Swynefeud			Nominative	
Swynefeud	Swynefeud			Nominative	Swinfield
Swynefeud	Swynefeud			Nominative	Swinfield
Swynefeud,	Swynefeud			Nominative	Swinfield
Swynefeud	Swynefeud			Nominative	Swinfield
Swynefeud,	Swynefeud			Nominative	Swinfield
Swynefeud	Swynefeud			Nominative	Swinfield
Swynefeud	Swynefeud			Nominative	Swinfield
Swynefeud	Swynefeud			Nominative	Swinfield
Swynefeud	Swynefeud			Nominative	Swinfield
Swynefeud	Swynefeud			Nominative	Swinfield
Swynefeud	Swynefeud			Nominative	Swinfield
Swynefeud,	Swynefeud			Nominative	Swinfield
Swynefeud	Swynefeud			Nominative	Swinfield
Swynesfeld'	Swynesfeld'			Nominative	Swinfield
Tame	Tame			Given at	Tamworth?
Tewkesbury	Tewkesbury	51.99244	-2.1601		
Thanet,	Thanet,	51.35	1.383333	Nominative	
the archdeaconry	the archdeaconry				
the archdeaconry of Gloucester	the archdeaconry of Gloucester			RB property	
the bishop's chapel	the bishop's chapel			Going to	
the buildings (domibus) of his archdeaconry and other appurtenances	the buildings (domibus) of his archdeaconry and other appurtenances			RB property	
the castle of dominus Adam, bishop of Winchester, at Faraham in the diocese of Winchester	the castle of dominus Adam, bishop of Winchester, at Faraham in the diocese of Winchester			Building	
he cemetery of the cathedral church of Worcester	the cemetery of the cathedral church of Worcester	52.18935	-2.22001		
the cemetery of the cathedral church of Worcester	the cemetery of the cathedral church of Worcester			Building	
the chapel of St. Katherine	the chapel of St. Katherine			Building	Near bishop's palace in Hereford
the chapter-house at Hereford	the chapter-house at Hereford			Building	
the chapter-house at Hereford	the chapter-house at Hereford	52.05684	-2.71482	Building	in Hereford
the chapter-house of the cathedral church of Hereford	the chapter-house of the cathedral church of Hereford	52.05684	-2.71482	Building|Given at	
the church of Aka	the church of Aka			RB property	Rock
the church of Aka	the church of Aka			RB property	Aka = Rock, a parish in Worcestershire (Hereford diocese)
the church of Aka	the church of Aka			RB property	Rock
the church of Alvechurch	the church of Alvechurch	52.35173	-1.96531	RB property	
the church of Hanbury-by-Droitwich	the church of Hanbury-by-Droitwich			RB proprerty	Hanbury = a parish / village near Droitwich, Worcestershire
the church of Ledebury	the church of Ledebury	52.03639	-2.42635	Nominative	Ledbury
the church of Monyton	the church of Moniton			RB property	Monnington on Wye
the church of Moniton'	the church of Moniton			RB property	Church of Monnington on Wye
the church of St. Ethelbert of Hereford	the church of St. Ethelbert of Hereford			Building	
the church of St. Ethelbert	the church of St. Ethelbert of Hereford			Building	
the church of St. Ethelbert of Hereford	the church of St. Ethelbert of Hereford			Building	
the Herefordshire manors of the see	the Herefordshire manors of the see			RB property	
the highway	the highway	37.595556	22.939167	Street	
the highway	the highway	37.595556	22.939167	Street	
the land of Roger de Breynton'	the land of Roger de Breynton			RB property	
the land of the said dominus Roger on both sides	the land of Roger de Breynton			RB property	
the land of the aforesaid Roger	the land of the aforesaid Roger	52.05684	-2.71482	RB property	
the lands of the said Roger	the lands of the said Roger	52.05684	-2.71482	RB property	
the meadow of the said Roger de Broynton'	the meadow of the said Roger de Broynton'			RB property	
the Papal Court	the Papal Court			Going to	Avignon
the prebend of Hunderton,	the prebend of Hunderton,			RB property	RB not mentioned but his death is implied by the grant of this property (however disputed per later simony charge) to another
the rights and appurtenances of the archdeaconry	the rights and appurtenances of the archdeaconry			RB property	
the said advowson and one acre of land	the said advowson and one acre of land			RB proprerty	that is, advowson of the Church of Lugwardyn, as noted above in this doc
the temporalities of the see	the temporalities of the see			RB property|o	of Hereford
the tenement of dominus John de Punda	the tenement of dominus John de Punda			Property	
the tenement of Robert de Somersete	the tenement of Robert de Somersete			Property	
thirteen acres lie in the field of Wydedene between the land of the chaplain of the altar of St. Mary who was for the time in the church of Hereford, and the land of John de la Berne and extending from the highway of Wydedene as far as the land of the dean and chapter of Hereford	thirteen acres lie in the field of Wydedene between the land of the chaplain of the altar of St. Mary who was for the time in the church of Hereford, and the land of John de la Berne and extending from the highway of Wydedene as far as the land of the dean and chapter of Hereford			RB property	
three messuages, a mill, a carucate of land and 6 acres of meadow, in Cloppeleye, Sevenhampton and Whitebourn	three messuages, a mill, a carucate of land and 6 acres of meadow, in Cloppeleye, Sevenhampton and Whitebourn			RB property	
Tib'ton	Tib'ton	50.90241	-3.49232	Nominative	Tiverton?
Tupsley	Topesleye				Tupley = suburb of Hereford, E/NE of city
Topesleye	Topesleye			Nominative	Tupsley?
Tornenton	Tornenton			Nominative	
Tounfeld	Tounfeld				
Tower of of London	Tower of London				
Tower of London	Tower of London			Building|Given at	
Tredington	Tredington				
twelve acres of arable land in the field of Wydeden' which he held at farm	twelve acres of arable land in the field of Wydeden' which he held at farm			Property	
two acres and a quarter of meadow lying in Prestheye near the meadow of the said Roger de Broynton' and extending from the pasture of the lord bishop of Hereford near the bridge of Lugge ss far as the water of Lugg	two acres and a quarter of meadow lying in Prestheye near the meadow of the said Roger de Broynton' and extending from the pasture of the lord bishop of Hereford near the bridge of Lugge ss far as the water of Lugg			RB property	
two acres lie in chirchecroft between the lands of the said chaplain of the altar mentioned and extending towards la goldhord	two acres lie in chirchecroft between the lands of the said chaplain of the altar mentioned and extending towards la goldhord			RB property	
two and a quarter acres of meadow in Prestheye	two and a quarter acres of meadow in Prestheye			RB property	
two messuages, a virgate and a half of land, 4 acres of meadow and 10s. of rent, in Breynton and Upton	two messuages, a virgate and a half of land, 4 acres of meadow and 10s. of rent, in Breynton and Upton				
two messuages, a virgate and a half of land, 4 acres of meadow, and 10s. of rent in Breynton and Upton	two messuages, a virgate and a half of land, 4 acres of meadow and 10s. of rent, in Breynton and Upton			RB property	in Breinton and Upton, near Hereford
Tybrihton	Tyberton	50.90241	-3.49232	Nominative	
Tybertone	Tyberton			Nominative	
Tyberton	Tyberton	52.0455	-2.90414	Nominative	
Upton	Upton	52.06258	-2.21802		
Usk	Usk	51.70347	-2.90332	Nominative	
ut proxime supra	ut proxime supra			Given at	that is, given at same place as docs above, i.e.|But neither this doc nor the one above it indicates WHERE, just when (Aug 3)...
ut supra	ut supra	51.21444	-0.80054	Given at	that is, at Farnham, like previous documents on this day
ut supra.	ut supra	51.21444	-0.80054	Given at	that is, at Farnham, like previous docs in this series
ut supra	ut supra	51.21444	-0.80054	Given at	Farnham (per above documents)
viro	viro	45.02637	12.22032		
Waerwent,	Waerwent,			Nominative	
Waltero Careless	Walter Charles				
Walterus de	Walterus de				
Welynton	Welynton			Nominative	
Wessington	Wessington	44.07916	-98.56954		
Westmonasterium	Westminster	51.5	-0.11667		Westminster|I have removed tag of Given at, because that applies to the document summonign clergy that is copied into register, not to the commission by Bishop which is given at Farnham
Westminster	Westminster	33.75918	-118.00673		
Westminster	Westminster	51.5	-0.11667	Given at	
Westminster	Westminster	51.5	-0.11667	Given at	
Westminster	Westminster	51.5	-0.11667	Given at	
Westminster	Westminster	51.5	-0.11667	Given at	
Westm’	Westminster	51.5	-0.11667	Given at	Westminster
Whitebourn	Whitbourne				
Whiteneye,	Whiteneye,			Nominative	Whitney
Willardesl	Willardesl			Nominative	
Willelmo de Strettone	Willelmo de Strettone				
Winchcomb	Winchcombe	51.95363	-1.96398		
Winchcombe	Winchcombe	51.95363	-1.96398		
Wynchecoumbe	Winchcombe	51.95363	-1.96398	Nominative	Winchcombe
Winchcombe	Winchcombe	51.95363	-1.96398	Going to	
Winchester	Winchester	51.06513	-1.3187		
Winchester	Winchester	51.06513	-1.3187		
Winchester	Winchester	51.06513	-1.3187		
Winchester	Winchester	51.06513	-1.3187		
Winchester	Winchester	51.06513	-1.3187		
Winchester	Winchester	51.06513	-1.3187		
Winchester	Winchester	51.06513	-1.3187		
Winchester	Winchester	51.06513	-1.3187		
Winchester	Winchester	51.06513	-1.3187	Nominative	
Winchester	Winchester	51.06513	-1.3187	Nominative	
Withington	Withington	51.832345	-1.956272	Given at	
Withington	Withington	51.832345	-1.956272	Given at	
Withington	Withington	51.832345	-1.956272	Given at	
Wlmaresgreve	Wlmaresgreve				
Wlmaresgreve	Wlmaresgreve				
Wolverlowe	Wolverlowe				
Worcester Cathedral	Worcester Cathedral	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001		
Worcester	Worcester	52.18935	-2.22001	Given at	
Wrohthale	Wrohthale				
Wydedene	Wydedene				
Wydedene	Wydedene				
Wydeden	Wydedene			Street	
Wygemore	Wygemore	52.31667	-2.85	Nominative	Wigmore, Herefordshire
Wyk	Wyk	52.26667	-2.15	Natural feature	
Wyk	Wyk	52.26667	-2.15	Nominative	Droitwich?
wynefeud,	Wynefeud			Nominative	Swinfield
Wyneston	Wyneston				
Wyngeham	Wyngeham			Given at	
Wyngeham	Wyngeham			Given at	
wyntoniensi	Wyntoniensis			Nominative	Winchester
Wyntoniensis	Wyntoniensis			Nominative	Diocese of Winchester
Wyntoniensis	Wyntoniensis			Nominative	Winchester
Yanewrth'	Yanewrth'			Nominative	
QUOTE_TRANSCRIPTION	Common Name	LAT	LNG	TAGS	COMMENTS
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Swynefeud	Swinfield			Nominative	Swinfield
Wynchecoumbe	Wynchecoumbe			Nominative	
Bos	Bosebury			Given at	Bosbury (a favorite manor of the Bishop of Hereford)
Kemeseye	Kemeseye			Nominative	
Swynefeud	Swinfield			Nominative	Swinfield
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
London	London	42.98339	-81.23304	Given at	
Bosebur	Bosebury			Given at	
Bosebur	Bosebury			Given at	
Kyngeston	Kingston			Nominative	Kingston St Mary in Somerset?
Lanthon	Lanton			Given at	
the convent of the same place	the convent of the Lanthon Primaa of the diocese of St. David's			Building	Lanthon Prima of the diocese of St. Davids
the highway	the highway			Street	
the land formerly of William Ploume	the land formerly of William Ploume			Property	
the land of Giles le deyare	the land of Giles le deyare			Property	
the land of the said dominus Hugh	the land of the said dominus Hugh			Property	Hugh de Brehousa
the land of John Pryde	the land of John Pryde			Property	
the land of John Throm	the land of John Throm			Property	
the land of Reginald Syward	the land of Reginald Syward			Property	
the land of the dean and chapter of Hereford	the land of the dean and chapter of Hereford			Property	
the land of the prebend of Gorewalle	the land of the prebend of Gorewalle			Property	
the land of Thomas Theobaud	the land of Thomas Theobaud			Property	
the land which belonged to John Lylie	the land which belonged to John Lylie			Property	
the land which belonged to Thomas Theobaud	the land which belonged to Thomas Theobaud			Property	
the land which belonged to William Ploume	the land which belonged to William Ploume			Property	
the monastery of Lanthon' Prima of the diocese of St. Davids	the monastery of Lanthon' Prima of the diocese of St. Davids			Building	
the pasture of the bishop of Hereford	the pasture of the bishop of Hereford			Property	
the pasture of the bishops two acres lay in Gaerlecroft	the pasture of the bishops two acres lay in Gaerlecroft			Property	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hungr	Hungr			Street	
land of John le Worrour	land of John le Worrour			Property	
land of the said Hugh	land of the said Hugh			Property	
Colcham	Colcham			Property	
de le Halle	de le Halle			Nominative	
Homptone	Homptone			Given at	
Homptone	Homptone			Landmark	
Homptone	Homptone			Nominative	
la Felde	la Felde			Nominative	
le Halle	le Hale			Nominative	
Wye	River Wye	51.18249	0.93678	Landmark	it's a river
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford.	Hereford	52.05684	-2.71482	Nominative	
Hoggesshawe	Hoggesshawe			Nominative	
la Barewe	la Barewe			Nominative	
Lanton	Lanton	44.70478	-1.03562	Nominative	
Logwardyn	Logwardyn			Nominative	
Pyon' Canonicorum	Pyon Canonicorum			Landmark	
Pyon’ Canonicorum	Pyon Canonicorum			Nominative	
Wythynton	Wythynton			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hoggesshawe,	Hoggesshawe			Nominative	
la Barewe	la Barewe			Nominative	
Lanton'	Lanton	44.70478	-1.03562	Nominative	
Logwardyn',	Logwardyn			Nominative	
Wythynton'	Wythynton			Nominative	
Bole	Bole	25.83892	104.11952	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hoggesshawe	Hoggesshawe			Nominative	
la Barewe	la Barewe			Nominative	
Lanton	Lanton	44.70478	-1.03562	Nominative	
Logwardyn	Logwardyn			Nominative	
Pyon' Canonicorum	Pyon Canonicorum			Landmark	
Pyon' Canonicorum	Pyon Canonicorum			Nominative	
Wythynton’	Wythynton			Nominative	
Brember	Brember			Nominative	
Brewos'	Brewos			Nominative	
Gower	Gower	39.61083	-94.5994	Nominative	
Ia Bere	Ia Bere			Nominative	
Ostrem	Ostrem			Given at	
Ostrem	Ostrem			Landmark	
Penres,	Penres			Nominative	
Roilly	Roilly			Nominative	
Brember	Brember			Nominative	
Brewosia	Brewos			Nominative	elsewhere, Breosa
Gower	Gower			Nominative	
Morgan	Morgan	41.03606	-111.67688	Given at	
Penres	Penres			Nominative	
Roily,	Roilly			Nominative	
Sengilton	Sengilton			Nominative	
Sweynes	Sweynes			Nominative	
the castle of Sweynes'	the castle of Sweynes'			Building	
Weston	Weston			Nominative	
Thame	Thame	51.7484	-0.97624	Given at	
Evesham	Evesham	52.09237	-1.94887	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Vienne	Vienne	45.524879	4.878693	Nominative	
Badelesmere	Badelesmere			Nominative	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Heiebur' near London	Highbury, near London	51.50853	-0.12574	Given at	Highbury, near London (now, a neighborhood in North London)
Salop	Salop			Nominative	
Almalia	Almalia			Nominative	
Breusa	Breusa			Nominative	
Canterbury	Canterbury	51.27904	1.07992	Nominative	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Kyngescote	Kyngescote			Nominative	
Norton	Nortone	-17.88333	30.7	Nominative	
Schorne	Schorn			Nominative	
the chapter of the greater church of Hereford	the chapter of the greater church of Hereford	52.05684	-2.71482	Building|Given at	
Wykkewane	Wykewane			Nominative	
bishop of Hereford	bishop of Hereford			Given at	
Breosa	Breosa			Nominative	
Cantilupo	Cantiplue			Nominative	
Caple	Caple			Nominative	
Glouc'	Glouc'	51.86568	-2.2431	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Aran	Aran			Nominative	
Barewe	Barewe			Nominative	
Cantilupo,	Cantiplue			Nominative	
Comminges	Comminges			Nominative	
Hereford	Hereford	52.05684	-2.71482	Nominative	
London	London	51.50853	-0.12574	Given at	
Aran	Aran			Nominative	
Bordeaux	Bordeaux			Given at	
Centilupo	Cantilupe			Nominative	Cantilupe
Cantilupo	Cantiplue			Nominative	
Comminges	Comminges			Nominative	
Hereford	Hereford	52.05684	-2.71482	Nominative	
London	London	51.50853	-0.12574	Nominative	
Mende	Mende			Nominative	
the church of Hereford	the church of Hereford	52.05684	-2.71482	Building	
Worcester	Worcester	52.18935	-2.22001	Nominative	
York	York	53.95763	-1.08271	Nominative	
Aran	Aran			Nominative	
Comminges	Comminges			Nominative	
England	England			Nominative	
London	London	51.50853	-0.12574	Nominative	
Mende	Mende			Nominative	
the chapter-house the cathedral church of London	the chapter-house the cathedral church of London	51.5137417	-0.098465147	Building	
Avignon	Avignon			Given at	
Bergamo	Bergamo			Nominative	
Cantulupo	Cantiplue			Nominative	
Gynes	Gynes			Nominative	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Orl'ton',	Orleton	52.3	-2.75	Nominative	
a certain shop, formerly belonging to Richard le tailour de Lugwardin	a certain shop, formerly belonging to Richard le tailour de Lugwardin			Building	
Aschtun	Aschtun			Nominative	
Aylineston	Aylineston			Nominative	
cruce,	cruce,	27.87656	-15.42798	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
le Hale	le Hale			Nominative	
Lugwardin	Logwardyn			Nominative	
Lodelawe	Lodelawe	52.37431	-2.71311	Nominative	Ludlow
Brocwardin	Brocwardin			Nominative	
Brunsope	Bruneshope			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
