Id	TYPE	Document Number	Doc_Year	QUOTE_TRANSCRIPTION	VOCAB_LABEL	LAT	LNG	Place_Type	Person_Gender	TAGS	Person_Named by	Role	Person_Job	COMMENTS
Gilbert, bishop of Annaghdown (Enachdunensis)	PERSON	HCM 2872	1310/11	Gilbert, bishop of Annaghdown (Enachdunensis)						Principal			bishop of Annaghdown (Enachdunensis)	
Gilbert Blod	PERSON	HCM 119, HCM 1485, HCM 1489, HCM 201, HCM 203, HCM 2873, HCM 2874, HCM 469, HCM 63, HCM 90	1308, circa 1314, 1308, 1315, 1311, 1312, 1305, 1316, 1317	Gilbert Blod						Witness		Witness	citizens	
Gilbert de Bolyngehope	PERSON	HCM 3001	1317/8	Gilbert de Bolyngehope						Witness		Witness		
Gilbert de Bruera	PERSON	HCM 2673	1308	Gilbert de Bruera						Principal			clerk	
Gilbert de la lowe	PERSON	HCM 946	1305	Gilbert de la lowe						Scribe		Witness		
Gilbert de Reygate	PERSON	HCM 758	1314	Gilbert de Raigate, rector of the church of Brugge						Witness		Witness	rector of the church of Brugge, clerk of the diocese of Hereford	aka Gilbert Reygate
Gilbert Ives	PERSON	HCM 2879	1317	Gilbert Ives						Witness		Witness		
Gilbert le Gamit' (Gaunt'?), bailiff of the fee of the hospital	PERSON	HCM 196	1316	Gilbert le Gamit' (Gaunt'?), bailiff of the fee of the hospital						Witness		Witness		
Giles, clerk, called the tailor (cissor), organ-keeper	PERSON	HCM 2594, HCM 2601, HCM 2750	1309, 1315, 1307	Giles, clerk, called the tailor (cissor), Giles, clerk, called the tailor, organ-keeper						Principal				
Giles le Deyare	PERSON	HCM 2096	1315	Giles le Deyare						Witness		Witness	le Deyare	
Giles le Ferur	PERSON	HCM 1734	1317	Giles le Ferur						Witness		Witness		
Given in the chapter-house at Hereford	PLACE	HCM 2463, HCM 2464	1309/10, 1317	Given in the chapter-house at Hereford				Building		Building|Given at		Given at		
Glouc'	PLACE	HCM 1438	1309	Glouc'	Gloucester	51.86568	-2.2431			Nominative		Nominative		
Gloucester	PLACE	HCM 1610, HCM 1610, HCM 1621, HCM 1622, HCM 1682, HCM 1683, HCM 2059, HCM 2217, HCM 2217, HCM 2251, HCM 2596, HCM 2874, HCM 758	1305, 1313, 1307, 1306/7, 1317/8, 1314, 1308, 1314, 1310, 1312, 1314	Gloucester, Gloucestria, Gloucester, Gloucestre, Gloucestria, Gloucestr'	Gloucester, Gloucester	51.86568, 51.86568	-2.2431, -2.2431			Given at, Nominative, Given at, Nominative, Given at, Nominative		Given at, Nominative, Given at, Nominative, Given at, Nominative		Gloucester
Gloucestershire	PLACE	HCM 1621	1313	Gloucestershire	Gloucestershire (England)					Nominative		Nominative		
Godfrey de la Leye	PERSON	HCM 352	1315	Godfrey de la Leye						Scribe		Witness	clerk	
Goodrich Castell’	PLACE	HCM 3215 A	1317	Goodrich Castell’						Given at		Given at		
Gorewalle	PLACE	HCM 2096	1315	Gorewalle						Nominative		Nominative		
Gower	PLACE	HCM 1311, HCM 1313, HCM 1768	1314, 1311, 1314	Gower	Gower, Gower Region (Wales), Gower	39.61083, 39.61083	-94.5994, -94.5994			Nominative		Nominative		
green way (viridam viam) of the king	PLACE	HCM 174	1312	green way (viridam viam) of the king				Street		Street				
Gregory, perpetual vicar of L	PERSON	HCM 1504	1309/10	Gregory, perpetual vicar of the church of Landesteffan						Principal			vicar of the church of Landesteffan	
Grene	PLACE	HCM 680	1310	Grene						Nominative		Nominative		
Gruff[ith] ap Oweyn	PERSON	HCM 1523	1314	Gruff[ith] ap Oweyn						Principal				
Guillaume Durand the Younger	PERSON	HCM 1441, HCM 1441, HCM 1442	1305, 1306	bishops of Mende and London						Collective|Office, Collective|Office|Principal	Collective	Principal	Bishop of Mende	
Guillelmus Testa	PERSON	HCM 1439	1308	Guillelmus Testa						Principal			archdeacon of Aran in the church of Comminges	
Gynes	PLACE	HCM 1443	1306	Gynes						Nominative		Nominative		
Gyse	PLACE	HCM 2996, HCM 670	1317, 1311	Gyues, Gyse	Guise	49.90055	3.62801			Nominative		Nominative		
Halstede	PLACE	HCM 1851	1308	Halstede						Nominative		Nominative		
Halton	PLACE	HCM 2145	1309	Halton	Halton	53.31667	-2.7			Nominative		Nominative		
Hamenays	PLACE	HCM 2870	1306	Hamenays						Nominative		Nominative		
Hamo de Sandwyco	PERSON	HCM 2072	1317	Hamon de Sandwyco						Principal			canons of the cathedral church of Hereford	Hamo de Sandwich
Harry de Penebrugge, knight	PERSON	HCM 946	1305	Harry de Penebrugge, knight						Witness		Witness	knight	
Harsecumb	PLACE	HCM 670	1311	Harsecumb						Nominative		Nominative		
Hengham	PLACE	HCM 1621, HCM 1736	1313, 1305	Hingham, Hengham	Hingham	52.57969	0.98422			Nominative		Nominative		
Henle	PLACE	HCM 181, HCM 1848, HCM 755	1310, 1315, 1317	Henle						Nominative		Nominative		
henor';	PLACE	HCM 2666	1305	henor';						Nominative		Nominative		
Henouere	PLACE	HCM 2583, HCM 2583, HCM 2584, HCM 2584, HCM 2589	1306, 1307	Henouere						Given at, Nominative, Given at, Nominative		Given at, Nominative, Given at, Nominative		
Henry de Derby	PERSON	HCM 1599	1307/8	Henry de Derby						Principal			vicar in spiritualities and temporalities of dominus Robert, archbishop of Canterbury	
Henry de Henor	PERSON	HCM 2675	1311	Henry de Henor						Principal				
Henry de Heyton	PERSON	HCM 378	1317	Henry de Heyton						Principal			clerk	
Henry de Lugwardyn	PERSON	HCM 469	1305	Henry de Lugwardyn						Witness		Witness		
Henry de Orleton	PERSON	HCM 1752, HCM 207, HCM 700, HCM 773	1311/2, 1312, 1311, 1311/2	Henry de Orletone, Henry de Orleton, Henry de Orletone						Witness		Witness	king's bailiffs at Hereford, bailiffs, bailiffs of the town of Hereford	bailiff of the town of Hereford
Henry de Schorn	PERSON	HCM 1417, HCM 1417, HCM 1443	1305, 1306	archdeacon of Hereford, Henry de Schorne, H. de Shorn						Office, Witness, Principal	Office	Witness	archdeacon of Hereford	Henry de Shorn
Henry de Underwode	PERSON	HCM 2879	1317	Henry de Underwode						Witness		Witness		
Henry de Wyke	PERSON	HCM 1657	1310/11	Henry de Wyke						Witness		Witness		
Henry le Bakare	PERSON	HCM 219	1317	Henry le Bakare						Scribe		Witness		
Henry le Waleys	PERSON	HCM 290	1312/3	Henry le Waleys						Witness		Witness		
Henry le Waleys de Magna Marcleye	PERSON	HCM 661	1305/6	Henry le Waleys de Magna Marcleye						Principal				
Henry le Yonge	PERSON	HCM 1264, HCM 1265, HCM 1281	1306	Henry le Yonge						Dead				
Henry le Yonge (jr.)	PERSON	HCM 1264	1306	Henry						Principal				Henry (le Yonge, Jr)? [son of Henry le Yonge]
Henry le Yonge (sr.)	PERSON	HCM 1264, HCM 1265	1306	Henry le Yonge, Henry						Dead, Principal				is this Henry Jr or Henry le Yonge senior? presuming latter, Henry le Yonge? [i.e. Henry, son of Henry le Yonge]
Henry the dyer	PERSON	HCM 196	1316	Henry the dyer						Witness		Witness		
Henthlan	PLACE	HCM 2463	1309/10	Henthlan.						Nominative		Nominative		
Herbert atte Mulle	PERSON	HCM 1683	1317/8	Herbert atte Mulle						Dead				
Herdemon	PLACE	HCM 700	1311	Herdemon						Nominative		Nominative		
Herdewyk	PLACE	HCM 589	1311	Herdewyk						Given at		Given at		
Hereford	PLACE	HCM 1003, HCM 1003, HCM 1023, HCM 1024, HCM 1025, HCM 119, HCM 1264, HCM 1264, HCM 1265, HCM 1281, HCM 1367, HCM 1368, HCM 1417, HCM 1438, HCM 1438, HCM 1439, HCM 1441, HCM 1443, HCM 1485, HCM 1485, HCM 1489, HCM 1489, HCM 150, HCM 153, HCM 1752, HCM 1752, HCM 1834, HCM 1836, HCM 1848, HCM 1851, HCM 1854, HCM 1929, HCM 1930, HCM 1931, HCM 196, HCM 1974, HCM 1975, HCM 203, HCM 2059, HCM 2059, HCM 207, HCM 2072, HCM 2072, HCM 209, HCM 2093, HCM 2093, HCM 2096, HCM 2096, HCM 2145, HCM 2151, HCM 2159, HCM 2159, HCM 218, HCM 218, HCM 2246, HCM 2251, HCM 2257, HCM 2260, HCM 2537, HCM 2580, HCM 2585, HCM 2586, HCM 2592, HCM 2594, HCM 2596, HCM 2601, HCM 2664, HCM 2665, HCM 2666, HCM 2666, HCM 2668, HCM 2668, HCM 2669, HCM 2669, HCM 2670, HCM 2670, HCM 2671, HCM 2671, HCM 2672, HCM 2672, HCM 2673, HCM 2674, HCM 2675, HCM 2676, HCM 2712, HCM 2713, HCM 2715, HCM 2718, HCM 2719, HCM 2720, HCM 2748, HCM 2749, HCM 2751, HCM 2779, HCM 2870, HCM 2871, HCM 2872, HCM 2873, HCM 2874, HCM 2874, HCM 2875, HCM 2875, HCM 2878, HCM 2879, HCM 290, HCM 2995, HCM 3001, HCM 3180, HCM 3198, HCM 405, HCM 412, HCM 597, HCM 608, HCM 608, HCM 609, HCM 63, HCM 661, HCM 681, HCM 700, HCM 755, HCM 758, HCM 773, HCM 773, HCM 90, HCM 946, HCM 946	1317, 1308, 1306, 1317, 1305, 1309, 1308, 1305, 1306, circa 1314, 1308, 1315, 1317, 1311/2, 1313, 1315, 1308, 1317, 1313, 1315, 1316, 1304/5, 1311, 1314, 1312, 1317, 1316, 1317/8, 1315, 1309, 1311, 1312, 1314, 1306, 1315/6, 1307, 1305, 1306, 1306/7, 1308, 1309, 1310, 1315, 1305, 1306, 1307, 1308, 1310, 1311, 1315/6, 1305, 1306, 1307, 1306, 1307, 1311, 1309, 1306, 1306/7, 1310/11, 1311, 1312, 1312/3, 1316, 1317, 1312/3, circa 1317, 1317/8, 1312, 1309/10, 1308, 1314, 1315/6, 1307, 1307/8, 1316, 1305/6, 1316/7, 1311, 1317, 1314, 1311/2, 1317, 1305	Hereford, Hereford., Hereford, Hereford', Hereford	Hereford, Hereford	52.05684, 52.05684	-2.71482, -2.71482			Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative		Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative, Given at, Nominative		
Hereford Cathedral	PLACE	HCM 2872, HCM 3001	1310/11, 1317/8	the said church, Hereford cathedral	Hereford	52.05684	-2.71482	Building		Building				Hereford Cathedrak
Heye	PLACE	HCM 559	1315/6	Heye						Nominative		Nominative		
Highbury, near London	PLACE	HCM 1368	1317	Heiebur' near London	London	51.50853	-0.12574			Given at		Given at		Highbury, near London (now, a neighborhood in North London)
high street	PLACE	HCM 196	1316	high street	Aldgate Street			Street		Street				
high street near the church of St. Peter	PLACE	HCM 746	circa 1310	high street near the church of St. Peter				Street		Street				
highway	PLACE	HCM 186	1309/10	highway	Alaska Highway			Street		Street				
Ho'tone	PLACE	HCM 593	1307/8	Ho'tone						Nominative		Nominative		
Hoggesshawe	PLACE	HCM 1264, HCM 1265, HCM 1281	1306	Hoggesshawe, Hoggesshawe,, Hoggesshawe						Nominative		Nominative		
Holeford	PLACE	HCM 559	1315/6	Holeford						Nominative		Nominative		
Homptone	PLACE	HCM 1247, HCM 1247, HCM 1247, HCM 1975	1315, 1311	Homptone, Hompton				Landmark		Given at, Landmark, Nominative		Given at, Nominative		
Hope	PLACE	HCM 174	1312	Hope	Hope	49.38299	-121.44144			Nominative		Nominative		
hospital of St. Catherine	PLACE	HCM 1658a	1315/6	hospital of St. Catherine				Building		Building				
houses	PLACE	HCM 2880	1317	houses						Property				
Howel vab	PERSON	HCM 1768	1314	Howel vab						Principal				
Hugh	PERSON	HCM 207, HCM 746	1312, circa 1310	Hugh						Principal, Scribe		Witness		
Hugh Bade	PERSON	HCM 1485	circa 1314	Hugh Bade						Principal				
Hugh called le Schipward	PERSON	HCM 755	1317	Hugh called le Schipward						Scribe		Witness		
Hugh de Breusa	PERSON	HCM 1417, HCM 469	1305	Hugh de Breusa, Hugh de Breuse						Witness, Principal		Witness	penitentiary of the church of Hereford	
Hugh de Breynton	PERSON	HCM 2093	1317/8	Hugh de Breynton						Principal			substitute proctor of Bartholomew the scribe of Hereford,	
Hugh de Lanton	PERSON	HCM 1264, HCM 1265, HCM 1281	1306	Hugh de Lanton						Witness		Witness		
Hugh de Monyton	PERSON	HCM 209, HCM 2096, HCM 218, HCM 412	1316, 1315, 1311, 1314	Hugh de Moniton, Hugh de Monyton, Hugh de Monytone, Hugh de Monyton						Witness, Principal		Witness	bailiffs of the king of England	
Hugh de Sothynton	PERSON	HCM 1734	1317	Hugh de Sothynton						Principal|Scribe		Principal		
Hugh de Thornhagh	PERSON	HCM 3155, HCM 3165, HCM 758	1314, 1317, 1314	Hugh de Thornhagh						Scribe			clerk of the diocese of York, notary public	clerk of the diocese of York, notary public
Hugh de Wormele	PERSON	HCM 153, HCM 209	1317, 1316	Hugh de Wormele						Witness		Witness		
Hugh Ives	PERSON	HCM 608	1307	Hugh Iues						Witness		Witness		aka Hugh Ives
Hugh le Rede	PERSON	HCM 564	1315/6	Hugh le Rede						Witness		Witness		
Hugh le Schypward	PERSON	HCM 2879, HCM 608	1317, 1307	Hugh le Schypward, Hugh le Shipward						Witness, Scribe		Witness		
Hugh Odierne	PERSON	HCM 1657	1310/11	Hugh Odierne						Witness		Witness		
Hugh son of Hugh Trone de Hereford	PERSON	HCM 153	1317	Hugh son of Hugh Trone de Hereford						Principal				
Hugh son of Philip	PERSON	HCM 1703	1317	Hugh son of Philip						Scribe				
Hugh son of William le Stedemon de Ros, clerk	PERSON	HCM 597	1315/6	Hugh son of William le Stedemon de Ros, clerk						Principal			clerk	
Hugh Troue	PERSON	HCM 1485, HCM 1489, HCM 2874, HCM 2876	circa 1314, 1308, 1312, 1313	Hugh Troue, Hugh Trone, Hugh Troue						Witness		Witness	bailiffs of the king at Hereford, citizens	
Hungr	PLACE	HCM 119	1308	Hungr				Street		Street				
Hunteleye	PLACE	HCM 1621	1313	Hunteleye						Nominative		Nominative		
Ia Bere	PLACE	HCM 1311	1314	Ia Bere						Nominative		Nominative		
Ievan ap Howel Vachan	PERSON	HCM 1768	1314	Ievan ap Howel Vachan						Principal				
in the chapter-house at Gloucester	PLACE	HCM 1746	1312	in the chapter-house at Gloucester	Gloucester	51.86568	-2.2431	Building		Building				
Ioelus de Herte launde	PERSON	HCM 383	1316	Ioelus de Herte launde						Witness		Witness		
Ipr	PLACE	HCM 209	1316	Ipr						Nominative		Nominative		
Isabel, wife of William brother of Walter de Thornbury	PERSON	HCM 589	1311	Isabel wife of the said William					Woman	Principal				that is, Isabel (de Thornbury?), wife of William (de Thornbury?) the brother of Walter de Thornbury
Ivellus de Hertlannde	PERSON	HCM 386	1305	Ivellus de Hertlannde						Witness		Witness		
J[ohn de Monmouth], bishop of Ll	PERSON	HCM 2159	1309	J[ohn de Monmouth], bishop of Llandaff						Principal			bishop of Llandaff,	
James de Berkeley	PERSON	HCM 758	1314	James de Berkeley						Principal			proctor of Richard, bishop of Herefor	
James de Henle	PERSON	HCM 755	1317	Dominus James de Henle						Principal			Canon of Hereford	Canon of Hereford
James de Henle, rector of the church of Ros	PERSON	HCM 181	1310	James de Henle, rector of the church of Ros						Principal				
John	PERSON	HCM 1417, HCM 1657, HCM 1658, HCM 1682, HCM 1683, HCM 1746, HCM 2096, HCM 218, HCM 3180	1305, 1310/11, 1315/6, 1306/7, 1317/8, 1312, 1315, 1311, 1312	John						Principal			archbishop of Canterbury, abbot, dean	
John, abbot of the convent of St Peter's, Gloucester	PERSON	HCM 1622	1307	John, abbot						Principal				John, Abbot of the convent of St Peter's, Gloucester
John, bishop of Llandaff	PERSON	HCM 1780, HCM 1780	1311	the bishop of Llandaff, John, bishop of Llandaff						Office, Principal	Office			John
John, dean of the church of Hereford	PERSON	HCM 2464	1317	John, dean of the church of Hereford						Principal				
John, prior, and convent of Wenlok	PERSON	HCM 746	circa 1310	John, prior, and convent of Wenlok						Principal				
John, prior of the cathedral church of Worcester	PERSON	HCM 1754	1314	John, prior of the cathedral church of Worcester						Principal			fellow-monk	
John, rector of the church of Penbray	PERSON	HCM 1504, HCM 1505	1309/10	John, rector of the church of Penbray, John, rector of the church of Penbray,						Principal			rector of the church of Penbray	
John, son of Roger de Bruneshop	PERSON	HCM 406	1308	John						Principal				son of Roger de Bruneshop
John [of Monmouth]	PERSON	HCM 623	1309	John [of Monmouth]						Principal				
John | son of] John de Fontyton	PERSON	HCM 2159	1309	John | son of] John de Fontyton						Principal			notary public	
John Alkin	PERSON	HCM 150, HCM 773	1315, 1311/2	John Alkyn, John Alkin						Dead, Witness		Witness		
John ate crose	PERSON	HCM 1918	1316	John ate crose						Witness		Witness		
John atte Mulle	PERSON	HCM 1682	1306/7	John atte Mulle						Principal				
John Bardulf	PERSON	HCM 2672	1307	John Bardulf						Principal			vicar of the church of Lugwardyn	
John Barwe	PERSON	HCM 2598	1311/2	John Barwe						Principal				
John Batun	PERSON	HCM 1529, HCM 1768, HCM 384	1315, 1314, 1315/6	John Batyn, John Batin, John Batun						Witness, Principal		Witness		
John Bele de Wydyngdon	PERSON	HCM 1679	1315	John Bele de Wydyngdon						Principal				
John Bordulf', perpetual vicar of the church of Lugwardin	PERSON	HCM 2715	1306	John Bordulf', perpetual vicar of the church of Lugwardin						Principal				
John Boter	PERSON	HCM 680	1310	John Boter						Witness		Witness		
John Bouhs	PERSON	HCM 3162	1306	John						Scribe				John Bouhs
John called Batun	PERSON	HCM 383	1316	John called Batun						Principal				
John Cayss	PERSON	HCM 1918	1316	John Cayss						Witness		Witness		
John Crok	PERSON	HCM 386	1305	John Crok						Witness		Witness		
John Dalderby	PERSON	HCM 1834, HCM 1851, HCM 2597, HCM 2598, HCM 2599, HCM 2600, HCM 2717, HCM 2721, HCM 2722, HCM 2723	1313, 1308, 1310, 1311/2, 1312, 1313, 1306/7, 1309, 1310/11, 1315	Lincoln, Bishops of Lincoln and London, Bishops of London and Lincoln, Bishops of Lincoln and London						Office, Collective|Principal	Office, Collective	Principal	Bishop of Lincoln	John Dalderby was Bishop of Lincoln 1300-1320, John Dalderby (?) was Bishop of Lincoln 1300-1320
John de Acle	PERSON	HCM 1736	1305	John de Acle						Principal			chaplain	
John de Almalia	PERSON	HCM 1417	1305	John de Almalia						Scribe			clerk of the diocese of Hereford and notary public	
John de Aqua Blanca	PERSON	HCM 1443, HCM 181, HCM 186, HCM 2072, HCM 2463, HCM 2674, HCM 2875, HCM 3198, HCM 432, HCM 597, HCM 758	1306, 1310, 1309/10, 1317, 1309/10, 1310, 1312/3, 1309/10, 1305, 1315/6, 1314	J., dean, J[ohn], dean, and chapter of the church of St. Ethelbert of Hereford, John de Aqua Blanca, dean of the church of St, Ethelbert of Hereford, John de Aqua blanca, John de Aqua Blanca, dean of Hereford, J[ohn], dean, John de Aqua Blanca, John de Aqua Blanea, John, dean, John de Aqua Blank', dean						Principal, Collective|Principal, Principal, Office|Principal, Principal	Collective, Office	Principal, Principal	dean of Hereford, dean, dean of the church of St, Ethelbert of Hereford, dean of Hereford, dean, dean of the church of St. Bthelbert of Hereford, Dean of Hereford	John de Aqua Blanca, Dean of Hereford, Any connection to https://en.wikipedia.org/wiki/Peter_of_Aigueblanche?, Dean of Hereford Cathedral|that is, John de Aqua Blanca (1278-1320), John de Aqua Blanca, Dean of Hereford, John de Aquablanca, Dean of Hereford, John de Aqua Blanca, Dean of Hereford
John de Baddesawe	PERSON	HCM 290, HCM 678, HCM 681	1312/3, 1314, 1316/7	John de Badeschawe, John de Badesshawe, John de Baddesawe						Witness		Witness		
John de Banwelle	PERSON	HCM 589	1311	John de Banwelle						Scribe		Witness		
John de Barewe	PERSON	HCM 1439, HCM 2464, HCM 2599, HCM 2667, HCM 2669, HCM 2673, HCM 2676, HCM 3180	1308, 1317, 1312, 1305, 1306, 1308, 1315/6, 1312	John de Barewe, John de Barwe, John de la Barewe, John de Barwe, John de Barewe						Principal, Principal			Medipernor, bailiff of the dean and chapter of Hereford;	Medipernor(?), aka John de Barewe, receiver (?) of the dean and chapter of Hereford, aka John de Barewe
John de Bordesleye	PERSON	HCM 405, HCM 406	1308	John de Bordesleye						Witness		Witness		
John de Braunford	PERSON	HCM 203, HCM 2873	1311	John de Braunford, John de Braunfort						Witness		Witness		
John de Bristol	PERSON	HCM 1610	1305	John de Bristoll						Principal				
John de Bromfeld	PERSON	HCM 2145, HCM 2667, HCM 2719	1309, 1305, 1307	John de Bromfeld, John de Bromfeld', clerk						Principal			clerks	
John de Brompton	PERSON	HCM 564	1315/6	John de Brompton						Scribe		Witness		
John de Brugge	PERSON	HCM 2879	1317	John de Brugge						Witness		Witness		
John de Bruneshop	PERSON	HCM 405	1308	John						Principal				de Bruneshop
John de Catfeld	PERSON	HCM 2876, HCM 758	1313, 1314	John de Catfeld						Scribe, Witness		Witness	clerks of the diocese of Hereford	
John de Clere	PERSON	HCM 2720	1307	John de Clere						Principal				
John de Clyntone	PERSON	HCM 670	1311	John de Clyntone						Witness		Witness		
John de Colonia	PERSON	HCM 3162	1306	John de Colonia						Witness		Witness	clerks	
John de Comberton	PERSON	HCM 2576, HCM 2581	1305	John de Comberton, John de Cumberton						Principal				
John de Credeleye	PERSON	HCM 290	1312/3	John de Credeleye						Witness		Witness		
John de Dudeleye	PERSON	HCM 196	1316	John de Dudeleye						Witness		Witness		
John de Grene	PERSON	HCM 680	1310	John de Grene						Witness		Witness		
John de Holeford	PERSON	HCM 559	1315/6	John de Holeford						Witness		Witness		
John de Homptone	PERSON	HCM 1247, HCM 1247	1315	John de Homptone						Dead, Witness		Witness		
John de Kemeseye	PERSON	HCM 1005, HCM 1024, HCM 1024, HCM 2159	1317, 1309	John de Kemeseye, treasurer of Hereford, Sohn de Kemeseye						Principal, Executor, Office, Witness	Office	Witness	treasurer of Hereford, treasurer in the aforesaid church of Hereford	
John de Kemesynge	PERSON	HCM 405, HCM 406, HCM 608	1308, 1307	John de Kemesinge, John de Kemesing, John de Kemesinge						Witness		Witness		
John de la Barewe	PERSON	HCM 1264, HCM 218, HCM 2713, HCM 608	1306, 1311, 1306, 1307	John de la Barewe, John de La Barewe, John de la Barew, John de la Barewe						Witness, Principal, Witness		Witness, Witness	bailiff of the dean and chapter of Hereford	
John de la Berne	PERSON	HCM 608	1307	John de la Berne						Witness		Witness		
John de la Felde	PERSON	HCM 290, HCM 608	1312/3, 1307	John de la Felde						Witness		Witness	bailiff of the bishop of Herefor	
John de la Maudeleyne	PERSON	HCM 1065	1316/7	John de la Maudeleyne						Principal				
John de la More	PERSON	HCM 589	1311	John de la More						Witness		Witness		
John de la Pounde	PERSON	HCM 203, HCM 2096	1311, 1315	John de la Pounde, the said chaplain and his successors						Nominative, Collective	Collective	Nominative		John de la Pounde and his successors
John de la Sale	PERSON	HCM 219	1317	John de la Sale						Witness		Witness	Richard de Cruce	
John de Ledeburi	PERSON	HCM 119, HCM 119	1308	baker, John de Ledeburi						Office, Witness	Office	Witness	baker	
John de Logwardyn	PERSON	HCM 1264	1306	John de Logwardyn						Witness		Witness		
John de Luwel	PERSON	HCM 219	1317	John de Luwel						Witness		Witness		
John de Maddeleye	PERSON	HCM 1489, HCM 2874	1308, 1312	John de Maddeleye, John de Maddeley						Witness		Witness	citizens	
John de Retherwas	PERSON	HCM 1752	1311/2	John de Retherwas						Principal			citizen of Hereford	
John de Ross	PERSON	HCM 1780, HCM 2159, HCM 2995, HCM 3008, HCM 758	1311, 1309, circa 1317, 1318-1324, 1314	the Court of Canterbury, John de Ros, John de Ros, archdeacon of Salop						Collective, Witness, Principal	Collective	Witness	Dean of Arches, archdeacon of Shropshire in the church of Hereford, clerk, archdeacon of Salop	John de Ross, aka John Ross
John de Sancto Briavello	PERSON	HCM 1754	1314	John de Sancto Briavello						Principal			fellow-monk	
John de Sandale	PERSON	HCM 2674	1310	J. de Sandale						Scribe				John de Sandale?
John de Sevenak	PERSON	HCM 2879, HCM 608	1317, 1307	John de Sevenak, John de Seuenak						Principal, Witness		Witness		
John de Straddel	PERSON	HCM 209	1316	John de Straddel						Principal				
John de Swinfield	PERSON	HCM 2159, HCM 2595	1309, 1309/10	John de Swenesfeld, John de Swynefeld						Witness, Principal		Witness	precentor, precentor of Hereford	precentor of Hereford
John de Whitteneye	PERSON	HCM 2597, HCM 2721, HCM 2722	1310, 1309, 1310/11	John de Whitteneye, John de Wytteneye, John de Wytteney						Principal, Scribe, Scribe|Proxy			clerk & proctor for dean and chapter of Hereford	clerk & proctor for dean and chapter of Hereford
John de Wormbrugg	PERSON	HCM 207	1312	John de Wormbrugg						Scribe		Witness		
John de Wythynton	PERSON	HCM 1264	1306	John de Wythynton						Witness		Witness		
John don’ le Graunt	PERSON	HCM 2464	1317	John don’ le Graunt									Medipernor	Medipernor(?)
John Elys	PERSON	HCM 174	1312	John Elys						Witness		Witness		
John Gille	PERSON	HCM 383, HCM 384	1316, 1315/6	John Gille						Witness		Witness		
John Helle	PERSON	HCM 1417, HCM 3001	1305, 1317/8	John Helle						Witness		Witness	chaplains, vicar in the church of Hereford	
John in the Felde	PERSON	HCM 670	1311	John in the Felde						Scribe				
John Iwayn son of William de Broumia	PERSON	HCM 678	1314	John Iwayn son of William de Broumia						Principal				
John Iweyn	PERSON	HCM 1311, HCM 1313, HCM 1523, HCM 1529, HCM 1529, HCM 1768, HCM 593, HCM 680, HCM 681	1314, 1311, 1314, 1315, 1314, 1307/8, 1310, 1316/7	John Iweyn, John Wyn, John Iweyn, John Yewan, John Iweyn, John Iwayn						Principal, Witness, Principal, Witness, Principal		Witness		Clerk
John le Beyr de Walinton	PERSON	HCM 287	1315/6	John le Beyr de Walinton						Witness		Witness		
John le Blak	PERSON	HCM 1417	1305	John le Blak						Witness		Witness	laymen	
John le Bole	PERSON	HCM 119, HCM 1264, HCM 1265, HCM 1281	1308, 1306	John le Bole, John de Bole						Scribe		Witness		
John le Bretun, formerly bishop of Hereford	PERSON	HCM 2151	1309	John le Bretun, formerly bishop of Hereford						Dead				
John le Clerk of Colewell	PERSON	HCM 352	1315	John le Clerk of Colewell						Witness		Witness		
John le Gurdlere	PERSON	HCM 196	1316	John le Gurdlere						Principal				
John le leche de Walsned	PERSON	HCM 287	1315/6	John le leche de Walsned						Principal				
John le Monk	PERSON	HCM 207	1312	John le Monk						Principal			chaplain	
John le Smyth	PERSON	HCM 1746	1312	John le Smyth						Principal				
John le Sopere	PERSON	HCM 1768	1314	John le Sopere						Witness		Witness	le Sopere,	
John le Werour	PERSON	HCM 219	1317	John le Werrur						Principal			chaplain	
John Lightfot	PERSON	HCM 1489, HCM 203, HCM 203, HCM 2873, HCM 405, HCM 406, HCM 63, HCM 90	1308, 1311, 1308, 1316, 1317	John Lightfoot, John Lyghtfot, John Lightfot, John Lichtfot, John Lightfot						Principal, Present, Witness, Dead		Witness	citizen of Hereford	
