Number,Alternate Numbering,General Doc Type,C&E Doc Type,Given At,Given At Certainty,Earliest Date,Latest Date,DATE,Date notes,Given at_old,COMMENTS,QUOTE_TRANSCRIPTION
HCM 600,HCM 600,GRANT,GRANT,"Walford, Ross-on-Wye, Herefordshire",Documented,1336-12-12T00:00:00Z,,"1536,  Thursday next after the Feast of the ,   Conception of the Virgin Mary |December 12]",,Walford,1336,"1536, Thursday next after the Feast of the ,  Conception of the Virgin Mary |December 12], GRANT"
HCM 604,HCM 604,GRANT,GRANT,"Walford, Ross-on-Wye, Herefordshire",Documented,1336-12-12T00:00:00Z,,"1536,  Thursday next after the Feast of ,    the Conception of the Virgin wary (December 12}",,walfora',1336,"1536, Thursday next after the Feast of ,   the Conception of the Virgin wary (December 12}, GRANT"
HCM 602,HCM 602,GRANT,GRANT,"Walford, Ross-on-Wye, Herefordshire",Documented,1337-01-06T00:00:00Z,,"1336/7,  the Feast of the Rpiphany [January 6)",,Walford,,"1336/7, the Feast of the Rpiphany [January 6), GRANT"
HCM 539,HCM 539,GRANT,GRANT,"Lower Bullingham (Lower Bollinghope), Herefordshire",Documented,1337-05-18T00:00:00Z,,"1337,  Sunday next before the Feast of St. thedbert the king {lay 18|",,Neotherboling- e,,"1337, Sunday next before the Feast of St. thedbert the king {lay 18|, GRANT"
HCM 98,HCM 98,GRANT,GRANT,"Hereford, Herefordshire",Documented,1337-06-25T00:00:00Z,,,,Hereford,,added manually
HCM 1300,HCM 1300,GRANT,GRANT,"Hereford, Herefordshire",Documented,1337-12-01T00:00:00Z,,"1337,  onday next after the Feast of ,   Saint Andrew the Apostle |December 1]",,dereford,,"1337, onday next after the Feast of ,  Saint Andrew the Apostle |December 1], GRANT"
HCM 560,HCM 560,GRANT,GRANT,"Gatsford, Brampton Abbotts, Ross-on-Wye, Herefordshire",Documented,1339-01-11T00:00:00Z,,1338/9 Monday next after the Feast of e Epiphany LJanuary 11).,,Gatesford’,location (1600 meters E of BA church) per PRO online help for John Asshe/Beatrice Eseger|prev ID in Worksop Nottms = mistaken,"1338/9 Monday next after the Feast of e Epiphany LJanuary 11)., GRANT,"
HCM 1524,HCM 1524,GRANT,GRANT,"Gloucester, St Peter's Abbey, Chapter House",Documented,1339-07-17T00:00:00Z,,"be Saturday in the Feast of Saint Kenelm,  ,   king and martyr (July 17]",,chapter-house of the monastery of Gloucester,,"be Saturday in the Feast of Saint Kenelm, ,  king and martyr (July 17], GRANT"
HCM 326,HCM 326,GRANT,GRANT,"Thinghill Grange, Withington, Herefordshire",Documented,1339-08-17T00:00:00Z,,"1339, August 17",,Parva Thinghulle,,"1339, August 17, GRANT"
HCM 644,HCM 644,GRANT,GRANT,"Upper Lyde Farm, Pipe and Lyde, Herefordshire",Documented,1339-11-22T00:00:00Z,,"1339,  Thursday next after the Feast of St. ,    Edmund [November 22].",,Luyde Muchegros.,doc has Luyde Muchegros; nr Lyde Arundel (aka Luyde Godefrey),"1339, Thursday next after the Feast of St. ,   Edmund [November 22]."
HCM 44,HCM 44,GRANT,GRANT,"Hereford, Herefordshire",Documented,1341-08-24T00:00:00Z,,zest Friday the Feast of St. Bartholomew e Apostle | August 24],,Hereford,,"zest Friday the Feast of St. Bartholomew e Apostle | August 24], GRANT"
HCM 154,HCM 154,GRANT,GRANT,"Hereford, Herefordshire",Documented,1342-07-12T00:00:00Z,,"1342,  Friday next after the Feast of the Translation of St. Thomas the Martyr (July 12].",,Hereford,,"1342, Friday next after the Feast of the Translation of St. Thomas the Martyr (July 12]., GRANT"
HCM 533,HCM 533,GRANT,GRANT,"Bromsberrow, Herefordshire",Documented,1343-02-04T00:00:00Z,,"1342/3,  Tuesday next after the Feast of    “7a ee balazioatice af tas Vingtn Kary Lrewuidy",,Bromesberwe,February 4,"1342/3, Tuesday next after the Feast of    “7a ee balazioatice af tas Vingtn Kary Lrewuidy, GRANT"
HCM 236,HCM 236,GRANT,GRANT,"Chesthunt, Herefordshire",Documented,1343-02-18T00:00:00Z,,"1342/3,  Tuesday next after the Feast of St. Valentine the martyr | February 18",,Chesthunt Herefordshire (NOT Hertfordshire),"This document appears to be a verbatim copy of HCM 250 (p.930), EXCEPT that this one does NOT include a clause RE rent (inserted prior to Given at clause)|Rent: 1 rose annually, given at the feast of the Nativity of St John the Baptist","HCM 236, 1342/3, Tuesday next after the Feast of St. Valentine the martyr | February 18, GRANT"
RBLR 4303,"RBLR 4303, HCM 1377",GRANT,GRANT,"Hereford, Herefordshire",Documented,1343-08-18T00:00:00Z,,1343.8.18,"1343,  Monday next after the Feast of the   Assumption of the blessed Virgin Mary L August 18]",Hereford,HCM 1377,"1343.8.18, GRANT"
HCM 286,HCM 286,GRANT,GRANT,"Little Hatfield, Herefordshire",Documented,1343-08-31T00:00:00Z,,"1343,  Sunday next after the Feast of the Deeoilation of St. John the Baptist (August 31)",,Hatfeld' Parva,"nr Hampton wafre (ps NOT Hatfield Yorkshire, NOT Hatfield Hertfordshire)","1343, Sunday next after the Feast of the Deeoilation of St. John the Baptist (August 31), GRANT"
HCM 147,HCM 147,GRANT,GRANT,Weobley Herefordshire,Documented,1345-02-16T00:00:00Z,,"1344/5,  Wednesday next after the Teast .   of 5t. Valentine (February 16)",,Webbel',,"1344/5, Wednesday next after the Teast .   of 5t. Valentine (February 16), GRANT"
HCM 217,HCM 217,GRANT,GRANT,"Cheltenham, Gloucestershire",Suggested,1345-07-15T00:00:00Z,,"1345,  Friday next before the Feast of ,   St. argeret the Virgin [July 15 |",,**,"given at reads ""C ... ham"" in typescript","1345, Friday next before the Feast of ,  St. argeret the Virgin [July 15 |, GRANT"
HCM 3215b,HCM 3215b,GRANT,GRANT,"Goodrich Castle, Herefordshire",Documented,1346-03-03T00:00:00Z,,"1345/6,  Friday the morrow of the Feast . or St. Chad the bishop [March 3].",,Castle Goodrich,,"1345/6, Friday the morrow of the Feast . or St. Chad the bishop [March 3]., GRANT"
HCM 1179,HCM 1179,GRANT,GRANT,"Preston-on-Wye, Herefordshire",Documented,1346-03-26T00:00:00Z,,"1346,  Sunday next after the Feast of the .   Annunciation of the Blessed wary [March 26]",,Preston,"village/manor in Forest of Dean, Gloucs., nr Herefords. border, 4 km S of Ledbury; disambiguate from Preston on Wye, Preston Court?","1346, Sunday next after the Feast of the .   Annunciation of the Blessed wary [March 26], GRANT"
HCM 1934,HCM 1934,GRANT,GRANT,"Charlecote Park, Warwickshire",Documented,1346-08-17T00:00:00Z,,"1346,  Thursday next after the Feast of the ,    Assumption of the Blessed Mary ( August 17",,Cervecote,,"1346, Thursday next after the Feast of the ,   Assumption of the Blessed Mary ( August 17, GRANT"
RBLR 4604,"RBLR 4604, HCM 360",GRANT,GRANT,"Hereford Cathedral, Chapter House",Documented,1346-09-14T00:00:00Z,,1346.9.14,,chapter-house at Hereford,"HCM 360; Handlist entry listing HCM R98a as RBLR 4604 = FAULTY, HCM R98a needs new RBLR #","1346.9.14, GRANT"
HCM 557,HCM 557,GRANT,GRANT,"Lyde Arundel (Lude Godfrey), Herefordshire",Documented,1346-10-22T00:00:00Z,,"1346,  Sunday next after the Feast of St. Luke the hLvangelist .vctober 22).",,Ludegodefray,October,"1346, Sunday next after the Feast of St. Luke the hLvangelist .vctober 22)., GRANT"
HCM 2289,HCM 2289,GRANT,GRANT,"Dinedor, Herefordshire",Documented,1346-11-02T00:00:00Z,,"1346,  Thursdey the morrow of the Feast of All Seints i.November 2",,Dunre.,Dunre = Dinador per Index,"1346, Thursdey the morrow of the Feast of All Seints i.November 2, GRANT"
HCM 2317,HCM 2317,GRANT,GRANT,"Hereford, Herefordshire",Documented,1347-05-14T00:00:00Z,,"1347,  Monday next after the Feast of the Ascension | May 14)",,Hereford,,"1347, Monday next after the Feast of the Ascension | May 14), GRANT"
HCM 246,HCM 246,GRANT,GRANT,"Woolhope, Herefordshire",Documented,1347-07-01T00:00:00Z,,"1347,  Sundey next after the Feast of St. ,   Peter and Ste Paul the Apostles (July 1).",,Hopewoluith',,"1347, Sundey next after the Feast of St. ,  Peter and Ste Paul the Apostles (July 1)., GRANT"
HCM 638,HCM 638,GRANT,GRANT,"Lyde Arundel (Lude Godfrey), Herefordshire",Documented,1347-07-02T00:00:00Z,,"1347,  Monday next after the Feast of the Apostles Peter and Peul | July 2]",,Luide Godefray,,"1347, Monday next after the Feast of the Apostles Peter and Peul | July 2], GRANT"
HCM 48,HCM 48,GRANT,GRANT,"Hereford, Herefordshire",Documented,1348-03-04T00:00:00Z,,"1347/8,  Tuesday next after the Feast of St. David tne Bishop LMarch 4]",,Hereford,,"1347/8, Tuesday next after the Feast of St. David tne Bishop LMarch 4], GRANT"
HCM 1790,HCM 1790,GRANT,GRANT,"Ledbury, Herefordshire",Documented,1349-03-12T00:00:00Z,,"1348/9,  Thursday,  the Feast of St. Gregory the Pope [March 12].",,Ledbury,,"1348/9, Thursday, the Feast of St. Gregory the Pope [March 12]., GRANT"
HCM 170,HCM 170,GRANT,GRANT,"Hereford, Herefordshire",Documented,1349-03-19T00:00:00Z,,"1348/9,  Thursday next before the Feast of St. Benedict the Abbot (March 19].",,Hereford,"??|Domini, which indicates all these guys are clerical, yes?","1348/9, Thursday next before the Feast of St. Benedict the Abbot (March 19]., Sis ii eT ”, GRANT"
HCM 1876,HCM 1876,GRANT,GRANT,"Gloucester, St Peter's Abbey, Chapter House",Documented,1349-03-25T00:00:00Z,,"349,  wednesday,  the Feast of the Annunciation of the blessed Mary LMareh 25]",,chapter-house at Gloucester,1349,"349, wednesday, the Feast of the Annunciation of the blessed Mary LMareh 25], GRANT"
HCM 171,HCM 171,GRANT,GRANT,"Hereford, Herefordshire",Documented,1349-05-01T00:00:00Z,,"1349,  Friday the Feast of St. Philip and ste Sames the Apostles | May 1]",,Hereford,"??|Domini, meaning all these guys are clerks, yes?","1349, Friday the Feast of St. Philip and ste Sames the Apostles | May 1], edad, GRANT"
HCM 433,HCM 433,GRANT,GRANT,"Canon Pyon, Herefordshire",Documented,1349-05-25T00:00:00Z,,"349,  Mondsey next after the Feast of St. Ethelbert,  king and martyr (May 25)",,Pyonya Canonicorum,1349,"349, Mondsey next after the Feast of St. Ethelbert, king and martyr (May 25), GRANT"
HCM 380,HCM 380,GRANT,GRANT,"Norton Canon, Herefordshire",Documented,1349-08-09T00:00:00Z,,"1349,  Sunday next before the Feast of St. Lawrence | August 9]",,Norton’.,,"1349, Sunday next before the Feast of St. Lawrence | August 9], GRANT"
HCM 1690,HCM 1690,GRANT,GRANT,"Gloucester, St Peter's Abbey, Chapter House",Documented,1349-11-10T00:00:00Z,,"1349,  Tuesdsy next after the Feast of St. Leonard |November 10].",,chapter-house at Gloucester,,"1349, Tuesdsy next after the Feast of St. Leonard |November 10]., GRANT"
HCM 241,HCM 241,GRANT,GRANT,"Hereford, Herefordshire",Documented,1349-12-12T00:00:00Z,,"1349,  Saturday next béfore the Feast of St. Lucia the Virgin | December 12]",,Hereford,,"1349, Saturday next béfore the Feast of St. Lucia the Virgin | December 12], GRANT"
HCM 1474,HCM 1474,GRANT,GRANT,"Hereford, Herefordshire",Documented,1350-04-08T00:00:00Z,,"1350, April 8",,Hereford,"GRANT, ?|grantor","1350, April 8, asta ohag, a"
HCM 710,HCM 710,GRANT,GRANT,"Hereford, Herefordshire",Documented,1350-12-30T00:00:00Z,,"1350,  Thursday next efter the Feast of the Nativity of our Lord {December 30]",,Hereford,,"1350, Thursday next efter the Feast of the Nativity of our Lord {December 30], GRANT"
HCM 556,HCM 556,GRANT,GRANT,"Burghill, Herefordshire",Documented,1351-01-12T00:00:00Z,,"1350/1,  Wednesday next before the Feast of St,  Hillary January 12)",,Burghull',,"1350/1, Wednesday next before the Feast of St, Hillary January 12), GRANT"
HCM 470,HCM 470,GRANT,GRANT,"Hereford, Herefordshire",Documented,1351-03-06T00:00:00Z,,"1350/1,  Sunday next after the Feast of ,   St. David the Bishop }march 6}",,Hereford,,"1350/1, Sunday next after the Feast of ,  St. David the Bishop }march 6}, GRANT"
HCM 192,HCM 192,GRANT,GRANT,"Hereford, Herefordshire",Documented,1351-06-28T00:00:00Z,,"1551,  Tuegday the Vigil of St. Peter and St. Paul jJune 28]",,Hereford,1351,"1551, Tuegday the Vigil of St. Peter and St. Paul jJune 28]"
RBLR 5104,RBLR 5104,GRANT,GRANT,"London, Westminster",Documented,1351-07-09T00:00:00Z,,1351.7.9,,,"CPR (Prebend of Hunderton granted [RB not mentioned, but benefice void by his death]","1351.7.9, Grant"
HCM 665,HCM 665,GRANT,GRANT,"Hereford, Herefordshire",Documented,1351-09-29T00:00:00Z,,"1351,  Michaelmas September 29",,Hereford,,"1351, Michaelmas September 29, GRANT"
HCM 60,HCM 60,GRANT,GRANT,"Hereford, Herefordshire",Documented,1351-10-02T00:00:00Z,,"1551,  Sunday next after the Feast of St,  ifichael |October 2.",,Hereford,1351,"1551, Sunday next after the Feast of St, ifichael |October 2., GRANT"
HCM 1587,HCM 1587,GRANT,GRANT,"Tenbury Wells, Worcestershire",Documented,1351-12-12T00:00:00Z,,"1351,  Mondey next after the Feast of St,  Nicholas the bishop (December 12]",,Temedebur',,"1351, Mondey next after the Feast of St, Nicholas the bishop (December 12], GRAN?"
HCM 346,HCM 346,GRANT,GRANT,Staverton Gloucestershire,Documented,1352-11-08T00:00:00Z,,"1352,  @ next after the Fesst of ,   All Saints |Noveaber |",,Stanerton',November 8,"1352, @ next after the Fesst of ,  All Saints |Noveaber |, GRANT"
HCM 200,HCM 200,GRANT,GRANT,"Hereford, Herefordshire",Documented,1353-02-07T00:00:00Z,,1352/3* Thursda y nex t afte r th e Feas t o f the Purificatio n o f th e Virgi n Mary February 7j .,,Hereford,,added manually
HCM 139,HCM 139,GRANT,GRANT,"Hereford, Herefordshire",Documented,1353-09-02T00:00:00Z,,13535 Monday next before the Feast of the Nativity of the Virgin Mary | September 2],,Hereford,1353,"13535 Monday next before the Feast of the Nativity of the Virgin Mary | September 2], GRANT"
HCM 1172,HCM 1172,GRANT,GRANT,"St Brides Wentloog, Le Wall' seabank",Documented,1353-10-27T00:00:00Z,,"1353,  Sunday next before the Feast of the Apostles Simon and-Jude (Oetober 27)",,le wali’,"nr St Bride's Wentloog, vicinity of Newport Wales","1353, Sunday next before the Feast of the Apostles Simon and-Jude (Oetober 27), GRANT"
HCM 1933,HCM 1933,GRANT,GRANT,"Ledbury, Herefordshire",Documented,1354-03-31T00:00:00Z,,"1354,  Monday next after the Feast of the aénnunciation of the Blessed Virgin Mary L March 31)",,Ledbury,,"1354, Monday next after the Feast of the aénnunciation of the Blessed Virgin Mary L March 31), GRANT"
HCM 507,HCM 507,GRANT,GRANT,"Hereford, Herefordshire",Documented,1355-07-06T00:00:00Z,,"1355,  Monday next before the Feast of the   Translation of St. Thomas the martyr (July 6]",,Hereford,,"1355, Monday next before the Feast of the   Translation of St. Thomas the martyr (July 6], GRANT"
HCM 408,HCM 408,GRANT,GRANT,"Hereford, Herefordshire",Documented,1360-05-23T00:00:00Z,,"1360,  Saturday the eve of Pentecost may 23",,Hereford,,"1360, Saturday the eve of Pentecost may 23, GRANT"
HCM 140,HCM 140,GRANT,GRANT,"Hereford, Herefordshire",Documented,1361-07-01T00:00:00Z,,"1361,  Thursday next after the Feast of ,   St. Peter and Paul,  the ipeatlen [aly 1]",,Hereford,"??, domini, so all these guys are clerical","1361, Thursday next after the Feast of ,  St. Peter and Paul, the ipeatlen [aly 1], saddeleye, as, GRANT"
HCM 2470,HCM 2470,GRANT,GRANT,"Hereford, Herefordshire",Documented,1361-08-11T00:00:00Z,,"1361,  August ils",,Hereford,August 11,"1361, August ils, GRANT"
HCM 666,HCM 666,GRANT,GRANT,"Sutton in Mardin manor, Sutton St Michael, Herefordshire",Documented,1361-09-06T00:00:00Z,,"1361,  Monday next before the Feast of the .   eo the Blessed Virgin wary | September. 6 |",,Sutton’ in the manor of Maurdyn,manor of,"1361, Monday next before the Feast of the .   eo the Blessed Virgin wary | September. 6 |, GRANT"
HCM 627,HCM 627,GRANT,GRANT,"Little Hope, Mordiford, Herefordshire",Documented,1361-09-20T00:00:00Z,,"13561,  Monday next efter the Feast of the Exaltation of the Holy Cross Septenber 20].",,chope,1361,"13561, Monday next efter the Feast of the Exaltation of the Holy Cross Septenber 20]., GRANT"
HCM 1804,HCM 1804,GRANT,GRANT,"Ledbury, Herefordshire",Documented,1361-09-28T00:00:00Z,,"1361,  Tuesday next before the Feast of ,   St. hichael [September 28].",,Ledbury,GRANT,"1361, Tuesday next before the Feast of ,  St. hichael [September 28]., GRAN?"
HCM 1753,HCM 1753,GRANT,GRANT,"Upton St Leonards, Gloucestershire",Documented,1361-10-25T00:00:00Z,,"1361,  Monday next before the Feast of the Apostles Simon and Jude [October 25]",,Opton',GRANT,"1361, Monday next before the Feast of the Apostles Simon and Jude [October 25], GRAN?"
HCM 760,HCM 760,GRANT,GRANT,"Ledbury, Herefordshire",Documented,1361-11-16T00:00:00Z,,"1361,  Tuesday the Feast of Saint Hdmund .   the archbishop | November 16|",,te,,"1361, Tuesday the Feast of Saint Hdmund .   the archbishop | November 16|, GRANT"
HCM 2077-em,HCM 2077-em,GRANT,GRANT,"Canon Pyon, Herefordshire",Documented,,1346-07-29T00:00:00Z,,,Pyonya Canonicorum?,"doc describes embedded doc as both a ""charter"" then a ""GRANT""--it's just one embedded doc though",added manually
HCM 2100-em,HCM 2100-em,GRANT,GRANT,"Hereford, Herefordshire",Documented,,1319-01-01T00:00:00Z,Saturday the viel of aia Edward II,,Hereford,"by royal license, (embedded doc)","GRANT, Saturday the viel of aia Edward II"
HCM 611,HCM 611,GRANT,GRANT IN EXCHANGE,"Warham, Herefordshire",Suggested,1290-01-01T00:00:00Z,1300-12-31T00:00:00Z,L Ind of 13th century.,approx,,land in Warham and people of vicinty,"L Ind of 13th century., GRANT IN EXCHANGE"
HCM 111,HCM 111,GRANT,GRANT in fee-farm,"Hereford, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,,"Late 13th. century, GRANT in fee-farm"
HCM 1274,HCM 1274,GRANT,GRANT in fee-farm,"Hereford, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,land in & people from Hereford (maybe Breynton?),"Late 13th. century, GRANT in fee-farm,"
HCM 1314,HCM 1314,GRANT,GRANT in fee-farm,"Breinton, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,lands in & people of Breinton (and Hereford),"Late 13th. century, GRANT in fee-farm,"
HCM 2057,HCM 2057,GRANT,GRANT in fee-farm,"Hereford, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,concerns same business (and some Madley people) as HCM 2054-56 but many Hereford witn = likely taken there,"Late 13th. century, GRANT in fee-farm,"
HCM 2198,HCM 2198,GRANT,GRANT in fee-farm,"Bishampton, Wychavon, Worcestershire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,,"Late 13th. century, GRANT in fee-farm"
HCM 226,HCM 226,GRANT,GRANT in fee-farm,"Breinton, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,land in & people of Breynton vicinity,"Late 13th. century, GRANT in fee-farm"
HCM 271,HCM 271,GRANT,GRANT in fee-farm,"Hope Bagot, Shropshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,mill at & lord of Hopebagard,"Late 13th. century, GRANT in fee-farm,"
HCM 296,HCM 296,GRANT,GRANT in fee-farm,"Hyde Farm, Stanford Bishop, Herefordshire",Suggested,1275-01-01T00:00:00Z,1325-12-31T00:00:00Z,Late 13th. ~ early 14th. century,approx,,"Stanford & Bromyard surnames; land in ""Netherida""","Late 13th. ~ early 14th. century, GRANT in fee-farm"
HCM 353,HCM 353,GRANT,GRANT in fee-farm,"Dewsall, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,"places incl Dewsall, Dewschurch (are these nearby?)","Late 13th. century, GRANT in fee~farm"
HCM 355,HCM 355,GRANT,GRANT in fee-farm,"Ledbury, Herefordshire",Suggested,1275-01-01T00:00:00Z,1316-12-31T00:00:00Z,end of 13th = early 14th cent. ante 1317.,end of 13th = early 14th cent ante 1317,,bailiff of Bp of H at Ledbury involved,"end of 13th = early 14th cent. ante 1317., GRANT in fee-farm,"
HCM 414,HCM 414,GRANT,GRANT in fee-farm,"Hereford, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,,"Late 13th. century, GRANT in fee-farm"
HCM 435,HCM 435,GRANT,GRANT in fee-farm,"Mora Canonicorum nr Hereford, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,land in and people of Mora Canonicorum (+ Hereford),"Late 13th. century, GRANT in fee-farm"
HCM 65,HCM 65,GRANT,GRANT in fee-farm,"Hereford, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th.century,approx,,land in Hereford suburb,"Late 13th.century, GRANT in fee-farm"
HCM 664,HCM 664,GRANT,GRANT in fee-farm,"Marden, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,manor of,"Late 13th. century, GRANT in fee-farm"
HCM 691,HCM 691,GRANT,GRANT in fee-farm,"Dewsall, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,,"Late 13th. century;, GRANT in fee-farm,"
HCM 693,HCM 693,GRANT,GRANT in fee-farm,"Dewsall, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,,"Late 13th. century, GRANT in fee-farm"
HCM 8,HCM 8,GRANT,GRANT in fee-farm,"Breinton, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,,"Late 13th. century, GRANT in fee-farm"
HCM 2020,HCM 2020,GRANT,GRANT in fee-farm,"Hereford, Herefordshire",Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,Leireg 1300.,approx,,"linked to HCM 2019 (same witnesses, land)","Leireg 1300., GRANT in fee-farm"
HCM 358,HCM 358,GRANT,GRANT in fee-farm,"Much Dewchurch, Herefordshire",Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,Leirca 1300,approx,,,"Leirca 1300, GRANT in fee-farm,"
HCM 359,HCM 359,GRANT,GRANT in fee-farm,"Much Dewchurch, Herefordshire",Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,\girea 2300,approx,,circa 1300,"\girea 2300, GRANT. in fee-farm"
HCM 426,HCM 426,GRANT,GRANT in fee-farm,"Pitchcombe, Gloucestershire",Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,circa 1300,approx,,,"girea 1300., GRANT in fee-farm,"
HCM 427,HCM 427,GRANT,GRANT in fee-farm,"Pitchcombe, Gloucestershire",Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,circa 1300,approx,,,"circa 1300, GRANT in fee-farm"
HCM 428,HCM 428,GRANT,GRANT in fee-farm,"Pitchcombe, Gloucestershire",Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,Leireg 1300.,approx,,,"Leireg 1300., GRANT in fee-farm"
HCM 430,HCM 430,GRANT,GRANT in fee-farm,"Pitchcombe, Gloucestershire",Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,i sirea 1300,approx,,,"i sirea 1300, GRANT in fee-farm"
HCM 497,HCM 497,GRANT,GRANT in fee-farm,"Hereford, Herefordshire",Documented,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,circa 1300,approx,,,"Lgires 1300, GRANT in fee-farm,"
HCM 531,HCM 531,GRANT,GRANT in fee-farm,"Bishampton, Wychavon, Worcestershire",Suggested,1290-01-01T00:00:00Z,1300-01-01T00:00:00Z,end of 13th century.,end of 13th century,,mistake for Henry; tagged below,"end of 13th century., GRANT in fee-farm, wet Hubert,"
HCM 694,HCM 694,GRANT,GRANT in fee-farm,"Dewsall, Herefordshire",Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,circa 1300,approx,,,"Lgirea 1300, GRANT in fee-farm"
HCM 1623,HCM 1623,GRANT,GRANT in fee-farm,"Gloucester, Gloucestershire",Documented,1290-08-13T00:00:00Z,,"1290,  Sunday next after the Feast of Saint Laurence | ?August 13].",,Gloucester.,,"1290, Sunday next after the Feast of Saint Laurence | ?August 13]., GRANT in fee-farm"
HCM 436,HCM 436,GRANT,GRANT in fee-farm,"Mora Canonicorum nr Hereford, Herefordshire",Suggested,1291-01-31T18:09:24Z,1291-02-27T18:09:24Z,"1290/1,  February.",,,,"1290/1, February., GRANT in fee-ferm"
HCM 81,HCM 81,GRANT,GRANT in fee-farm,"Warham, Herefordshire",Suggested,1291-12-29T00:00:00Z,,"1291,  4 Kel. January | December 29].",,,,"1291, 4 Kel. January | December 29]., GRANT in fee-farm"
HCM 607,HCM 607,GRANT,GRANT in fee-farm,"Warham, Herefordshire",Suggested,1292-07-03T00:00:00Z,,"1292,  5 Nones July July 3.",,,"OCR candidate, witnesses|same land & witn as prev","HCM 607, 1292, 5 Nones July July 3., GRANT in fee-farm,"
HCM 606,HCM 606,GRANT,GRANT in fee-farm,"Warham, Herefordshire",Suggested,1292-10-18T00:00:00Z,,"1292,  15 Kalends of November October 18.",,,"land in Warham and people of vicinity (Breynton, Hereford, Clehungre)","1292, 15 Kalends of November October 18., GRANT in fee-farm"
HCM 631,HCM 631,GRANT,GRANT in fee-farm,"Hereford, Herefordshire",Suggested,1293-04-19T00:00:00Z,,"1293,  13 Kslends of May | April 19.",,,field nr Lugwardine but people of H,"1293, 13 Kslends of May | April 19., GRANT in fee-farm"
HCM 37,HCM 37,GRANT,GRANT in fee-farm,"Breinton, Herefordshire",Documented,1295-07-05T00:00:00Z,,"1295,  Tuesday next efter the feast of St. beter and veul the Apostles |July 5]",,Breynton,this is bad OCR for latin of apothecary,"1295, Tuesday next efter the feast of St. beter and veul the Apostles |July 5], GRANT in fee-farm,, Me"
HCM 38,HCM 38,GRANT,GRANT in fee-farm,"Breinton, Herefordshire",Suggested,1295-07-05T00:00:00Z,,"Probably 1295,  July 5).",,,"???|bad OCR for Magister, bad OCR for ""the land of the said Roger, John, and John's brother Roger""--ie our principals","Probably 1295, July 5)., pasistes, GRAN? in feeferm, Badger sogets ohn"
HCM 1786,HCM 1786,GRANT,GRANT in fee-farm,"Ledbury, Herefordshire",Suggested,1300-01-01T00:00:00Z,1325-12-31T00:00:00Z,Barly 14th century.,early 14th century,,land in Ledbury,"Barly 14th century., eruanennin"
HCM 2200,HCM 2200,GRANT,GRANT in fee-farm,"Great Netherton, Ledbury, Herefordshire",Suggested,1300-01-01T00:00:00Z,1325-12-31T00:00:00Z,Early 14th century,LEerly 14th century},,land in and surnames of Netherton,"LEerly 14th century}., GRANT in fee-farm,"
HCM 279,HCM 279,GRANT,GRANT in fee-farm,RESEARCH,Uncertain,1300-01-01T00:00:00Z,1325-12-31T00:00:00Z,Early 14th century,approx,,"check names, other docs","Early 14th century, GRANT in fee-farm"
HCM 338,HCM 338,GRANT,GRANT in fee-farm,"Standish, Gloucestershire",Suggested,1300-01-01T00:00:00Z,1350-12-31T00:00:00Z,First helf 14th century.,approx,,1329|lands in and people of Standish,"First helf 14th century., GRANT in fee-farm, 1529, Sunday next before the Feast of St. Peter and St, Paul the Apostles June 25), RELEASE"
