ID,type,source,source_number,handlist_number,Label,date_text,date_notes,earliest_date,latest_date,NodeType
2475,grant,HCM,287,,HCM 287,"1315/6,  Saturday next before the Feast of St. Mary in Marcio [March 20]","",1316-03-20,"",Document
2476,grant,HCM,196,,HCM 196,"1316,  April 3.","",1316-04-03,"",Document
2477,grant,HCM,33,1603,RBLR 1603,1316.4.4,"",1316-04-04,"",Document
2478,grant,HCM,1169,,HCM 1169,"1316, July 16","",1316-07-16,"",Document
2479,grant,HCM,1918,,HCM 1918,"1316,  Monday in the vigil of the Feast of St. Bartholomew,  the apostle [August 23]","",1316-08-23,"",Document
2480,grant,HCM,63,,HCM 63,"1316,  Thursday next after the Feast of St.   Bartholomew the Apostle [August 26]","",1316-08-26,"",Document
2481,grant,HCM,209,,HCM 209,"1316,  Thursday the Feast of St. Katherine the Virgin [November 25]","",1316-11-25,"",Document
2482,grant,HCM,219,,HCM 219,"1317,  April 11.","",1317-04-11,"",Document
2483,grant,HCM,41,1736,RBLR 1736,1317.6.9,"",1317-06-09,"",Document
2484,grant,HCM,755,,HCM 755,"1317,  Friday the Feast of the Nativity of John the Baptist [June 24]","",1317-06-24,"",Document
2485,grant,HCM,3215a,,HCM 3215a,1317 the morrow of the Feast of the Assumption of the Blessed Mary [August 16],"",1317-08-16,"",Document
2486,grant,HCM,1703,,HCM 1703,"1317,  Friday,  the Feast of St. Jerome,  bishop and confessor [September 30]","",1317-09-30,"",Document
2487,grant,HCM,39,1804,RBLR 1804,1318.3.9,"1317/8,  Thursday next before the Feast of St. Gregory the Pope [March 9].",1318-03-09,"",Document
2488,grant,HCM,123,,HCM 123,"1318,  Thursday next after the Feast of ,   St,  Bernabas the Apostle |June 15].","",1318-06-15,"",Document
2489,grant,HCM,2051,,HCM 2051,"1318,  Sunday next after the Feast of St,  .   Faith the Virgin [October 8].","",1318-10-08,"",Document
2490,grant,HCM,1755,,HCM 1755,"1318/9,  Ash Wednesday | February 21","",1319-02-21,"",Document
2491,grant,HCM,25,1910,RBLR 1910,1319.11.4,"",1319-11-04,"",Document
2492,grant,HCM,306,,HCM 306,"|Early 14th century,  circa 1320|.",approx,1320-01-01,1320-12-31,Document
2493,grant,HCM,2882,,HCM 2882,"1319/20,  January 12. .","",1320-01-12,"",Document
2494,grant,HCM,1902,,HCM 1902,"1321,  Thursday next after the Feast of the Annunciation of the Virgin Mary LMarch 26].","",1321-03-26,"",Document
2495,grant,HCM,636,,HCM 636,"1321,  Thursday next before the Feast of    St. Ethelbert (May 14]","",1321-05-14,"",Document
2496,grant,HCM,2851,,HCM 2851,"1321,  3 Kale October | September 29.","",1321-09-29,"",Document
2497,grant,HCM,1260,,HCM 1260,"1522,  Sunday next after the Feast of St. ,   Bthelbert king and martyr |iiay 23].","",1322-05-23,"",Document
2498,grant,HCM,222,,HCM 222,"1322,  Monday in the week of Pentecost May 31","",1322-05-31,"",Document
2499,grant,HCM,1910,,HCM 1910,"1522,  Friday,  the Feast of St,  Barnabas ,   the Apostle sune 11).","",1322-06-11,"",Document
2500,grant,HCM,1899-em,,HCM 1899-em,"1322,  Wednesday in the i of the Nativity of St. John the Baptist |June 23].","",1322-06-23,"",Document
2501,grant,HCM,582,,HCM 582,"1322,  the Feast of the samen ee of the Blessed Virgin mary ‘|August 15].","",1322-08-15,"",Document
2502,grant,HCM,889,,HCM 889,"1323,  mele Oe Feast of St. Mark .   the Svengelist {afril 25].","",1323-04-25,"",Document
2503,grant,HCM,2466,,HCM 2466,"1324,  April 7.","",1324-04-07,"",Document
2504,grant,HCM,1750,,HCM 1750,"1324/5,  Monday next before the Feast of St. Gregory |Mareh 11]","",1325-03-11,"",Document
2505,grant,HCM,1798,,HCM 1798,"1326,  Tuesday next before the Feast of the .   Apostles Philipp and James LApril 29].","",1326-04-29,"",Document
2506,grant,HCM,392,,HCM 392,"L1327-1377?,  Edward III,  Sundey next after be Feast of the Annunciation of the Blessed } arye","approx year, approx day",1327-03-25,1377-03-25,Document
2507,grant,HCM,322,,HCM 322,"1227,  Thursday next after the Feast of Ethelbert (May 21].","",1327-05-21,"",Document
2508,grant,HCM,1329,,HCM 1329,"1327,  October 26.","",1327-10-26,"",Document
2509,grant,HCM,341,,HCM 341,"1329,  Monday next before the Feast of Sst. Dunstan the Archbishop (Mey 15].","",1329-05-15,"",Document
2510,grant,HCM,1194,,HCM 1194,"1329,  Sunday next after the Feast of the ,   Ascension of the Lord |June 4].","",1329-06-04,"",Document
2511,grant,HCM,2089-em1,3003-em1,RBLR 3003-em1,6 June 1330,"",1330-06-06,"",Document
2512,grant,HCM,2089-em2,3003-em2,RBLR 3003-em2,6 June 1330,"",1330-06-06,"",Document
2513,grant,HCM,395,,HCM 395,"1330/1,  Monday next after the Feast of the   Purification of the Blessed Mary the Virgin L February 4].","",1331-02-04,"",Document
2514,grant,HCM,1699,,HCM 1699,"1331 Thursdey next before the Feast of St,  Michael the Archangel | September 26]","",1331-09-26,"",Document
2515,grant,HCM,650,,HCM 650,"1331,  ante mutt before the Feast of St. ,   Dionysius martyr October 7]","",1331-10-07,"",Document
2516,grant,HCM,651,,HCM 651,1331 Tuesday next after the Feast of All .   Sa ts LNovember 5],"",1331-11-05,"",Document
2517,grant,HCM,1246,,HCM 1246,"1331,  smoeiey next before the Feast of St. Thomas Apostle | December 17]","",1331-12-17,"",Document
2518,grant,HCM,1487,,HCM 1487,"1331,  Sunday,  the Feast of Saint Thomas,  ,   martyr | December 29]","",1331-12-29,"",Document
2519,grant,HCM,397,,HCM 397,1333 Sunday next after the Feast of the «  Exalteation of the Holy Cross | September 15].,"",1333-09-15,"",Document
2520,grant,HCM,621,,HCM 621,"1333,  Wednesday next after the Feast of St. Clemens (November 24]","",1333-11-24,"",Document
2521,grant,HCM,66,,HCM 66,"1333/4,  Friday next after the Feast of St. Matthies the Apostle February 25].","",1334-02-25,"",Document
2522,grant,HCM,2170-em,,HCM 2170-em,"nones of July,  1334","",1334-07-07,"",Document
2523,grant,HCM,601,,HCM 601,"1336,  Thursdsy the Feast of St. Ambrose the Bishop LApril 4).","",1336-04-04,"",Document
2524,grant,,,3604,RBLR 3604,1336.4.15,"",1336-04-15,"",Document
2525,grant,HCM,1221,,HCM 1221,"1336,  Friday next after the Feast of St. Mark Evangelist | April 26].","",1336-04-26,"",Document
2526,grant,HCM,142,,HCM 142,"1336,  Monday next after the Feast of St. ,   Matthew the Apostle | September 23]","",1336-09-23,"",Document
2527,grant,HCM,600,,HCM 600,"1536,  Thursday next after the Feast of the ,   Conception of the Virgin Mary |December 12]","",1336-12-12,"",Document
2528,grant,HCM,604,,HCM 604,"1536,  Thursday next after the Feast of ,    the Conception of the Virgin wary (December 12}","",1336-12-12,"",Document
2529,grant,HCM,602,,HCM 602,"1336/7,  the Feast of the Rpiphany [January 6)","",1337-01-06,"",Document
2530,grant,HCM,539,,HCM 539,"1337,  Sunday next before the Feast of St. thedbert the king {lay 18|","",1337-05-18,"",Document
2531,grant,HCM,98,,HCM 98,"","",1337-06-25,"",Document
2532,grant,HCM,1300,,HCM 1300,"1337,  onday next after the Feast of ,   Saint Andrew the Apostle |December 1]","",1337-12-01,"",Document
2533,grant,HCM,560,,HCM 560,1338/9 Monday next after the Feast of e Epiphany LJanuary 11).,"",1339-01-11,"",Document
2534,grant,HCM,1524,,HCM 1524,"be Saturday in the Feast of Saint Kenelm,  ,   king and martyr (July 17]","",1339-07-17,"",Document
2535,grant,HCM,326,,HCM 326,"1339, August 17","",1339-08-17,"",Document
2536,grant,HCM,644,,HCM 644,"1339,  Thursday next after the Feast of St. ,    Edmund [November 22].","",1339-11-22,"",Document
2537,grant,HCM,44,,HCM 44,zest Friday the Feast of St. Bartholomew e Apostle | August 24],"",1341-08-24,"",Document
2538,grant,HCM,154,,HCM 154,"1342,  Friday next after the Feast of the Translation of St. Thomas the Martyr (July 12].","",1342-07-12,"",Document
2539,grant,HCM,533,,HCM 533,"1342/3,  Tuesday next after the Feast of    “7a ee balazioatice af tas Vingtn Kary Lrewuidy","",1343-02-04,"",Document
2540,grant,HCM,236,,HCM 236,"1342/3,  Tuesday next after the Feast of St. Valentine the martyr | February 18","",1343-02-18,"",Document
2541,grant,HCM,1377,4303,RBLR 4303,1343.8.18,"1343,  Monday next after the Feast of the   Assumption of the blessed Virgin Mary L August 18]",1343-08-18,"",Document
2542,grant,HCM,286,,HCM 286,"1343,  Sunday next after the Feast of the Deeoilation of St. John the Baptist (August 31)","",1343-08-31,"",Document
2543,grant,HCM,147,,HCM 147,"1344/5,  Wednesday next after the Teast .   of 5t. Valentine (February 16)","",1345-02-16,"",Document
2544,grant,HCM,217,,HCM 217,"1345,  Friday next before the Feast of ,   St. argeret the Virgin [July 15 |","",1345-07-15,"",Document
2545,grant,HCM,3215b,,HCM 3215b,"1345/6,  Friday the morrow of the Feast . or St. Chad the bishop [March 3].","",1346-03-03,"",Document
2546,grant,HCM,1179,,HCM 1179,"1346,  Sunday next after the Feast of the .   Annunciation of the Blessed wary [March 26]","",1346-03-26,"",Document
2547,grant,HCM,1934,,HCM 1934,"1346,  Thursday next after the Feast of the ,    Assumption of the Blessed Mary ( August 17","",1346-08-17,"",Document
2548,grant,HCM,360,4604,RBLR 4604,1346.9.14,"",1346-09-14,"",Document
2549,grant,HCM,557,,HCM 557,"1346,  Sunday next after the Feast of St. Luke the hLvangelist .vctober 22).","",1346-10-22,"",Document
2550,grant,HCM,2289,,HCM 2289,"1346,  Thursdey the morrow of the Feast of All Seints i.November 2","",1346-11-02,"",Document
2551,grant,HCM,2317,,HCM 2317,"1347,  Monday next after the Feast of the Ascension | May 14)","",1347-05-14,"",Document
2552,grant,HCM,246,,HCM 246,"1347,  Sundey next after the Feast of St. ,   Peter and Ste Paul the Apostles (July 1).","",1347-07-01,"",Document
2553,grant,HCM,638,,HCM 638,"1347,  Monday next after the Feast of the Apostles Peter and Peul | July 2]","",1347-07-02,"",Document
2554,grant,HCM,48,,HCM 48,"1347/8,  Tuesday next after the Feast of St. David tne Bishop LMarch 4]","",1348-03-04,"",Document
2555,grant,HCM,1790,,HCM 1790,"1348/9,  Thursday,  the Feast of St. Gregory the Pope [March 12].","",1349-03-12,"",Document
2556,grant,HCM,170,,HCM 170,"1348/9,  Thursday next before the Feast of St. Benedict the Abbot (March 19].","",1349-03-19,"",Document
2557,grant,HCM,1876,,HCM 1876,"349,  wednesday,  the Feast of the Annunciation of the blessed Mary LMareh 25]","",1349-03-25,"",Document
2558,grant,HCM,171,,HCM 171,"1349,  Friday the Feast of St. Philip and ste Sames the Apostles | May 1]","",1349-05-01,"",Document
2559,grant,HCM,433,,HCM 433,"349,  Mondsey next after the Feast of St. Ethelbert,  king and martyr (May 25)","",1349-05-25,"",Document
2560,grant,HCM,380,,HCM 380,"1349,  Sunday next before the Feast of St. Lawrence | August 9]","",1349-08-09,"",Document
2561,grant,HCM,1690,,HCM 1690,"1349,  Tuesdsy next after the Feast of St. Leonard |November 10].","",1349-11-10,"",Document
2562,grant,HCM,241,,HCM 241,"1349,  Saturday next béfore the Feast of St. Lucia the Virgin | December 12]","",1349-12-12,"",Document
2563,grant,HCM,1474,,HCM 1474,"1350, April 8","",1350-04-08,"",Document
2564,grant,HCM,710,,HCM 710,"1350,  Thursday next efter the Feast of the Nativity of our Lord {December 30]","",1350-12-30,"",Document
2565,grant,HCM,556,,HCM 556,"1350/1,  Wednesday next before the Feast of St,  Hillary January 12)","",1351-01-12,"",Document
2566,grant,HCM,470,,HCM 470,"1350/1,  Sunday next after the Feast of ,   St. David the Bishop }march 6}","",1351-03-06,"",Document
2567,grant,HCM,192,,HCM 192,"1551,  Tuegday the Vigil of St. Peter and St. Paul jJune 28]","",1351-06-28,"",Document
2568,grant,,,5104,RBLR 5104,1351.7.9,"",1351-07-09,"",Document
2569,grant,HCM,665,,HCM 665,"1351,  Michaelmas September 29","",1351-09-29,"",Document
2570,grant,HCM,60,,HCM 60,"1551,  Sunday next after the Feast of St,  ifichael |October 2.","",1351-10-02,"",Document
2571,grant,HCM,1587,,HCM 1587,"1351,  Mondey next after the Feast of St,  Nicholas the bishop (December 12]","",1351-12-12,"",Document
2572,grant,HCM,346,,HCM 346,"1352,  @ next after the Fesst of ,   All Saints |Noveaber |","",1352-11-08,"",Document
2573,grant,HCM,200,,HCM 200,1352/3* Thursda y nex t afte r th e Feas t o f the Purificatio n o f th e Virgi n Mary February 7j .,"",1353-02-07,"",Document
2574,grant,HCM,139,,HCM 139,13535 Monday next before the Feast of the Nativity of the Virgin Mary | September 2],"",1353-09-02,"",Document
2575,grant,HCM,1172,,HCM 1172,"1353,  Sunday next before the Feast of the Apostles Simon and-Jude (Oetober 27)","",1353-10-27,"",Document
2576,grant,HCM,1933,,HCM 1933,"1354,  Monday next after the Feast of the aénnunciation of the Blessed Virgin Mary L March 31)","",1354-03-31,"",Document
2577,grant,HCM,507,,HCM 507,"1355,  Monday next before the Feast of the   Translation of St. Thomas the martyr (July 6]","",1355-07-06,"",Document
2578,grant,HCM,408,,HCM 408,"1360,  Saturday the eve of Pentecost may 23","",1360-05-23,"",Document
2579,grant,HCM,140,,HCM 140,"1361,  Thursday next after the Feast of ,   St. Peter and Paul,  the ipeatlen [aly 1]","",1361-07-01,"",Document
2580,grant,HCM,2470,,HCM 2470,"1361,  August ils","",1361-08-11,"",Document
2581,grant,HCM,666,,HCM 666,"1361,  Monday next before the Feast of the .   eo the Blessed Virgin wary | September. 6 |","",1361-09-06,"",Document
2582,grant,HCM,627,,HCM 627,"13561,  Monday next efter the Feast of the Exaltation of the Holy Cross Septenber 20].","",1361-09-20,"",Document
2583,grant,HCM,1804,,HCM 1804,"1361,  Tuesday next before the Feast of ,   St. hichael [September 28].","",1361-09-28,"",Document
2584,grant,HCM,1753,,HCM 1753,"1361,  Monday next before the Feast of the Apostles Simon and Jude [October 25]","",1361-10-25,"",Document
2585,grant,HCM,760,,HCM 760,"1361,  Tuesday the Feast of Saint Hdmund .   the archbishop | November 16|","",1361-11-16,"",Document
2586,grant,HCM,2077-em,,HCM 2077-em,"","","",1346-07-29,Document
2587,grant,HCM,2100-em,,HCM 2100-em,Saturday the viel of aia Edward II,"","",1319-01-01,Document
2588,grant,HCM,611,,HCM 611,L Ind of 13th century.,approx,1290-01-01,1300-12-31,Document
2589,grant,HCM,111,,HCM 111,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2590,grant,HCM,1274,,HCM 1274,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2591,grant,HCM,1314,,HCM 1314,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2592,grant,HCM,2057,,HCM 2057,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2593,grant,HCM,2198,,HCM 2198,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2594,grant,HCM,226,,HCM 226,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2595,grant,HCM,271,,HCM 271,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2596,grant,HCM,296,,HCM 296,Late 13th. ~ early 14th. century,approx,1275-01-01,1325-12-31,Document
2597,grant,HCM,353,,HCM 353,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2598,grant,HCM,355,,HCM 355,end of 13th = early 14th cent. ante 1317.,end of 13th = early 14th cent ante 1317,1275-01-01,1316-12-31,Document
2599,grant,HCM,414,,HCM 414,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2600,grant,HCM,435,,HCM 435,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2601,grant,HCM,65,,HCM 65,Late 13th.century,approx,1275-01-01,1300-12-31,Document
2602,grant,HCM,664,,HCM 664,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2603,grant,HCM,691,,HCM 691,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2604,grant,HCM,693,,HCM 693,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2605,grant,HCM,8,,HCM 8,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2606,grant,HCM,2020,,HCM 2020,Leireg 1300.,approx,1290-01-01,1310-12-31,Document
2607,grant,HCM,358,,HCM 358,Leirca 1300,approx,1290-01-01,1310-12-31,Document
2608,grant,HCM,359,,HCM 359,girea 2300,approx,1290-01-01,1310-12-31,Document
2609,grant,HCM,426,,HCM 426,circa 1300,approx,1290-01-01,1310-12-31,Document
2610,grant,HCM,427,,HCM 427,circa 1300,approx,1290-01-01,1310-12-31,Document
2611,grant,HCM,428,,HCM 428,Leireg 1300.,approx,1290-01-01,1310-12-31,Document
2612,grant,HCM,430,,HCM 430,i sirea 1300,approx,1290-01-01,1310-12-31,Document
2613,grant,HCM,497,,HCM 497,circa 1300,approx,1290-01-01,1310-12-31,Document
2614,grant,HCM,531,,HCM 531,end of 13th century.,end of 13th century,1290-01-01,1300-01-01,Document
2615,grant,HCM,694,,HCM 694,circa 1300,approx,1290-01-01,1310-12-31,Document
2616,grant,HCM,1623,,HCM 1623,"1290,  Sunday next after the Feast of Saint Laurence | ?August 13].","",1290-08-13,"",Document
2617,grant,HCM,436,,HCM 436,"1290/1,  February.","",1291-01-31,1291-02-27,Document
2618,grant,HCM,81,,HCM 81,"1291,  4 Kel. January | December 29].","",1291-12-29,"",Document
2619,grant,HCM,607,,HCM 607,"1292,  5 Nones July July 3.","",1292-07-03,"",Document
2620,grant,HCM,606,,HCM 606,"1292,  15 Kalends of November October 18.","",1292-10-18,"",Document
2621,grant,HCM,631,,HCM 631,"1293,  13 Kslends of May | April 19.","",1293-04-19,"",Document
2622,grant,HCM,37,,HCM 37,"1295,  Tuesday next efter the feast of St. beter and veul the Apostles |July 5]","",1295-07-05,"",Document
2623,grant,HCM,38,,HCM 38,"Probably 1295,  July 5).","",1295-07-05,"",Document
2624,grant,HCM,1786,,HCM 1786,Barly 14th century.,early 14th century,1300-01-01,1325-12-31,Document
2625,grant,HCM,2200,,HCM 2200,Early 14th century,LEerly 14th century},1300-01-01,1325-12-31,Document
2626,grant,HCM,279,,HCM 279,Early 14th century,approx,1300-01-01,1325-12-31,Document
2627,grant,HCM,338,,HCM 338,First helf 14th century.,approx,1300-01-01,1350-12-31,Document
2628,grant,HCM,354,,HCM 354,"Barly 14th century,  ante 1317.",approx,1300-01-01,1316-12-31,Document
2629,grant,HCM,516,,HCM 516,Early 14th century.,early 14th century,1300-01-01,1325-12-31,Document
2630,grant,HCM,537,,HCM 537,Early 14th century.,early 14th century,1300-01-01,1325-12-31,Document
2631,grant,HCM,93,,HCM 93,Barly 14th century.,early 14th century,1300-01-01,1325-12-31,Document
2632,grant,HCM,382,,HCM 382,"1304,  day of St,  Edmund,  King November 20","",1304-11-20,"",Document
2633,grant,HCM,432,,HCM 432,"1305,  Wednesday next after the Feast of St. Edmund Archbishop [November 17]","",1305-11-17,"",Document
2634,grant,HCM,1682,,HCM 1682,"1306/7,  Feast of St. Benedict the abbot [March 21]","",1307-03-21,"",Document
2635,grant,HCM,186,,HCM 186,"1309/10,  Saturday next after the Feast of the Purification of the Blessed Mary [February 7].","",1310-02-07,"",Document
2636,grant,HCM,1313,,HCM 1313,"1311,  Friday in the Vigil of the Feast of the Apostles Philipp and James [April 30]","",1311-04-30,"",Document
2637,grant,HCM,384,,HCM 384,"1315/6,  Tuesday next after the Feast of St. Valentine [February 17].","",1316-02-17,"",Document
2638,grant,HCM,383,,HCM 383,"1316,  Wednesday next after the Feast of St. Bartholomew [August 25].","",1316-08-25,"",Document
2639,grant,HCM,1734,,HCM 1734,"1317,  8 Ides October [October 8]","",1317-10-08,"",Document
2640,grant,HCM,1683,,HCM 1683,"1317/8,  Feast of St. Benedict the abbot [March 21]","",1318-03-21,"",Document
2641,grant,HCM,1747,,HCM 1747,"1318/9,  Noinceday next after the Feast ,   of the Purification of the Blessed Mary | February 7","",1319-02-07,"",Document
2642,grant,HCM,323,,HCM 323,"1321,  Tuesday next after the Feast of St. Edmund the Archbishop LNovember 17","",1321-11-17,"",Document
2643,grant,HCM,367,,HCM 367,"1322,  Sunday next_before the Feast of the .   Ascension of the Lord |May 15)","",1322-05-15,"",Document
2644,grant,HCM,1486,,HCM 1486,"1323,  Sunday,  the Feast of Saint ,   Dyonisius [October 9]","",1323-10-09,"",Document
2645,grant,HCM,238,,HCM 238,"1324,  Monday next after the Feast of St. .   James the Apostle | July 30).","",1324-07-30,"",Document
2646,grant,HCM,1723,,HCM 1723,"1333,  Saturday,  the Feast of the Apostles Philly and James [May 1)","",1333-05-01,"",Document
2647,grant,HCM,1471,,HCM 1471,"1334,  Friday next after the Feast of Saint Mark the Evangelist (April 29]","",1334-04-29,"",Document
2648,grant,HCM,97,,HCM 97,"1337,  Wednesday the Feast of St,  Barnabas the Apostle jJune 11","",1337-06-11,"",Document
2649,grant,HCM,99,,HCM 99,1337. Wednesday next after the Feast of the   Nativity of St. John the Baptist [June 25).,"",1337-06-25,"",Document
2650,grant,HCM,182,,HCM 182,"1340,  Friday next after the Feast of the ,   Passton of Peter and Paul the Apostles L? June ie 1","",1340-06-30,"",Document
2651,grant,HCM,250,,HCM 250,"1342/3,  Tuesdey next efter the Feast of St. ,   Valentine the martyr | February 18]","",1343-02-18,"",Document
2652,grant,HCM,82,,HCM 82,"1349/50,  Friday the Feast of St. Gregory,  Pope [March 12|","",1350-03-12,"",Document
2653,grant,HCM,275,,HCM 275,"1350,  Monday next before the Feast   of St,  iichael the Archengel (September 27]","",1350-09-27,"",Document
2654,grant,HCM,183,,HCM 183,"1351,  ednesday next before the Feast .   of St,  Ethelbert May 18)","",1351-05-18,"",Document
2655,grant,HCM,104,,HCM 104,"1356,  Monday next after the Feast of the ,   Annuneiation of St. Mary the Virgin (March 28)","",1356-03-28,"",Document
2656,grant,HCM,1292,,HCM 1292,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2657,grant,HCM,2074,,HCM 2074,"1282,  the Feast of the Exaltation of the Holy Cross i,  September 14)","",1282-09-14,"",Document
2658,grant,HCM,746,,HCM 746,[circa 1310].,circa 1310,1310-01-01,1310-12-31,Document
2659,grant,HCM,492,,HCM 492,"1327,  October 18.","",1327-10-18,"",Document
2660,grant,HCM,1885,,HCM 1885,"1350,  Wednesday in the Feast of St. ,   Augustine,  archbishop {May 26","",1350-05-26,"",Document
2661,grant,,,3603,RBLR 3603,1336.4.15,"",1336-04-15,"",Document
2662,grant|confirmation|quitclaim,HCM,2305,,HCM 2305,"1303,  April 1.","",1303-04-01,"",Document
2663,grant|quitclaim,HCM,2298,,HCM 2298,"1302/3,  the day of St. Valentine the Martyr | February 14}","",1303-02-14,"",Document
2664,indulgence,HCM,1447,,HCM 1447,|girea 1520.,approx,1320-01-01,1320-12-31,Document
2665,indulgence,HCM,571,,HCM 571,"1282/3,  4 Ides of Jenuary January 10.","",1283-01-10,"",Document
2666,indulgence,HCM,1420,,HCM 1420,"1284/5,  4 Non. January Jenuary 2","",1285-01-02,"",Document
2667,indulgence,HCM,1423,,HCM 1423,"1285,  4 Non. May. [May 4].","",1285-05-04,"",Document
2668,indulgence,HCM,1422,,HCM 1422,"1285,  7 Ides May [May 9].","",1285-05-09,"",Document
2669,indulgence,HCM,1424,,HCM 1424,"1286,  5 Kal,  May [april 27)","",1286-04-27,"",Document
2670,indulgence,HCM,1425,,HCM 1425,"1289,  13 Kal. August LJuly 20.","",1289-07-20,"",Document
2671,indulgence,HCM,2872,1101,RBLR 1101,1311.1.12,"1310/11,  Tuesday next after the Feast of the Epiphany [Jan. 12].",1311-01-12,"",Document
2672,indulgence,HCM,1427,,HCM 1427,"1318,  17 Kal,  October September 15.","",1318-09-15,"",Document
2673,indulgence,HCM,1429,,HCM 1429,"1520,  11 Kal,  November October 22","",1320-10-22,"",Document
2674,indulgence,HCM,1430,,HCM 1430,"1320,  11 Kal,  November [October 22)","",1320-10-22,"",Document
2675,indulgence,HCM,1428,,HCM 1428,"1320,  10 Kal,  November October 23","",1320-10-23,"",Document
2676,indulgence,HCM,1431,,HCM 1431,"1321,  18 Kal. May  April 14.","",1321-04-14,"",Document
2677,indulgence,HCM,1421,,HCM 1421,"1324,  7 Ides April jspril 7.","",1324-04-07,"",Document
2678,indulgence,HCM,1432,,HCM 1432,"1327,  April 26.","",1327-04-26,"",Document
2679,indulgence,HCM,1433,,HCM 1433,"1328,  April 7.","",1328-04-07,"",Document
2680,indulgence,HCM,1426,,HCM 1426,"1291,  April 15.","",1291-04-15,"",Document
2681,indulgence,,,4901,RBLR 4901,1349.2.24,"",1349-02-24,"",Document
2682,indulgence,,,5002,RBLR 5002,1350.4.7,"",1350-04-07,"",Document
2683,inspeximus/confirmation,HCM,1061,,HCM 1061,"1295, April 9","",1295-04-09,"",Document
2684,inspeximus/confirmation,HCM,2161,,HCM 2161,"1309,  June 10.","",1309-06-10,"",Document
2685,inspeximus/confirmation,,,3204-em2,RBLR 3204-em2,17 July],"",1332-07-17,"",Document
2686,inspeximus/confirmation,HCM,2291,,HCM 2291,"1346,  November 3.","",1346-11-03,"",Document
2687,inspeximus/confirmation,,,5102,RBLR 5102,1351.5.12,"",1351-05-12,"",Document
2688,inspeximus/confirmation,HCM,2735,,HCM 2735,"1355, June 16","",1355-06-16,"",Document
2689,inspeximus/confirmation,HCM,2837,,HCM 2837,"1282,  Kal. Sept. Sept. 1.","",1282-09-01,"",Document
2690,inspeximus/confirmation,HCM,1339,,HCM 1339,"1282,  Non. November November 5.","",1282-11-05,"",Document
2691,inspeximus/confirmation,HCM,308,,HCM 308,Late 13th. - early 14th.century,approx,1275-01-01,1325-12-31,Document
2692,inspeximus/confirmation,HCM,2246,,HCM 2246,"1312, December 28","",1312-12-28,"",Document
2693,inspeximus/confirmation,HCM,2262,,HCM 2262,"1312, December 28","",1312-12-28,"",Document
2694,inspeximus/confirmation,HCM,2096,,HCM 2096,"1315, May 25","",1315-05-25,"",Document
2695,inspeximus/confirmation,HCM,2100,,HCM 2100,"1319,  April 13.","",1319-04-13,"",Document
2696,inspeximus/confirmation,HCM,1892,,HCM 1892,"1322/3,  February 14","",1323-02-14,"",Document
2697,inspeximus/confirmation,HCM,1899,,HCM 1899,"1324, April 6","",1324-04-06,"",Document
2698,inspeximus/confirmation,HCM,2932e,,HCM 2932e,mid 14th century,approx,1325-01-01,1375-12-31,Document
2699,inspeximus/confirmation,HCM,2089,3003,RBLR 3003,"1330, July 1",date of inspeximus,1330-07-01,"",Document
2700,inspeximus/confirmation,HCM,1872,,HCM 1872,circa 1333,approx,1333-01-01,1333-12-31,Document
2701,inspeximus/confirmation,HCM,2170,,HCM 2170,"1334,  6 Ides of July July 10","",1334-07-10,"",Document
2702,inspeximus/confirmation,HCM,2690,4902,RBLR 4902,1349.6.8,"",1349-06-08,"",Document
2703,inspeximus/confirmation,HCM,2469,,HCM 2469,"1358,  Monday next after the Feast of the ,   Annunciation [March 26]","",1358-03-26,"",Document
2704,inspeximus/confirmation,HCM,555,,HCM 555,"1358,  Wonday next efter the Feast of the annunciation of the Blessed Virgin |March 26).","",1358-03-26,"",Document
2705,inspeximus/confirmation,HCM,2456,,HCM 2456,"1360,  Monday next after the Feast of St,  ,   John the Baptist [June 29","",1360-06-29,"",Document
2706,institution,HCM,2886,,HCM 2886,Lgires 1324 - 1332.,approx,1324-01-01,1332-12-31,Document
2707,institution,HCM,2991,,HCM 2991,"1324, July 16","",1324-07-16,"",Document
2708,institution,,,3208,RBLR 3208,1332.11.20,"",1332-11-20,"",Document
2709,institution,,,3303,RBLR 3303,1333.8.29,"",1333-08-29,"",Document
2710,institution,,,1908,RBLR 1908,1319.9.8,"",1319-09-08,"",Document
2711,institution,,,3106,RBLR 3106,1331.6.21,"",1331-06-21,"",Document
2712,institution,,,2601,RBLR 2601,1326.9.8,"",1326-09-08,"",Document
