Document Number,Alternate Numbering,Doc Type,Given At,Given At Certainty,Earliest Date,Latest Date,DATE,Date notes,Given at_old,COMMENTS,QUOTE_TRANSCRIPTION
HCM 1730,HCM 1730,COMMISSION,Hereford,Documented,1354-08-29T00:00:00Z,,"1354,  August 29°",,Hereford,,"1354, August 29°, COMMISSION"
HCM 1732,"RBLR 0801, HCM 1732",GRANT,(Hereford),Suggested,1300-01-01T00:00:00Z,1325-12-31T00:00:00Z,Karly 14th century.,approx,,ALSO in RBLR|land in Presteye but RB & Bart Lespicer both Hereford based,"Karly 14th century., GRANT"
HCM 1734,HCM 1734,GRANT in fee-farm,Ledbury,Documented,1317-10-08T00:00:00Z,,"1317,  8 Ides October [October 8]",,Ledbury,,"1317, 8 Ides October [October 8], GRANT in fee-farm"
HCM 1736,HCM 1736,FINAL CONCORD,Westminster Palace,Documented,1305-07-01T00:00:00Z,,"1305,  Octave of the Feast of St. John the Baptist [July 1]",,king's court at Westuinster,,"1305, Octave of the Feast of St. John the Baptist [July 1], FINAL CONCORD"
HCM 174,HCM 174,GRANT,(Hereford),Suggested,1312-11-07T00:00:00Z,,"1312,  Tuesday the morrow after the Feast of St. Leonard the Abbot [November 7].",,Hereford,,"1312, Tuesday the morrow after the Feast of St. Leonard the Abbot [November 7]., GRANT"
HCM 1746,HCM 1746,LEASE,chapter-house at Gloucester St Peter's,Documented,1312-07-24T00:00:00Z,,"1312,  the Vigil of St. James the Apostle [July 24]",,chapter-house at Gloucester,,"1312, the Vigil of St. James the Apostle [July 24], LEASE"
HCM 1747,HCM 1747,GRANT in fee-farm,Minsterworth Gloucestershire,Documented,1319-02-07T00:00:00Z,,"1318/9,  Noinceday next after the Feast ,   of the Purification of the Blessed Mary | February 7",,Ministrewurth,,"1318/9, Noinceday next after the Feast ,  of the Purification of the Blessed Mary | February 7, GRANT in fee-farm"
HCM 1750,HCM 1750,GRANT,Ledbury,Documented,1325-03-11T00:00:00Z,,"1324/5,  Monday next before the Feast of St. Gregory |Mareh 11]",,Ledbury,,"1324/5, Monday next before the Feast of St. Gregory |Mareh 11], GRANT."
HCM 1751,HCM 1751,GRANT,(Ledbury),Suggested,1305-06-19T00:00:00Z,,"1305,  Saturday next after the Feast of the Holy Trinity [June 19]",,Ledbury,,"1305, Saturday next after the Feast of the Holy Trinity [June 19], GRANT"
HCM 1752,HCM 1752,GRANT,Hereford,Documented,1312-01-08T00:00:00Z,,"1311/2,  Saturday next before the Feast of St. Hilary [January 8]",,Hereford,,"1311/2, Saturday next before the Feast of St. Hilary [January 8], GRANT"
HCM 1753,HCM 1753,GRANT,Upton St Leonards Gloucestershire,Documented,1361-10-25T00:00:00Z,,"1361,  Monday next before the Feast of the Apostles Simon and Jude [October 25]",,Opton',GRANT,"1361, Monday next before the Feast of the Apostles Simon and Jude [October 25], GRAN?"
HCM 1754,HCM 1754,LETTERS OF PROXY,chapter-house at Worcester,Documented,1314-07-03T00:00:00Z,,"1314,  5 Non. July [July 3].",,chapter-house at Worcester,,"1314, 5 Non. July [July 3]., LETTERS OF PROXY"
HCM 1755,HCM 1755,GRANT,Minsterworth Gloucestershire,Documented,1319-02-21T00:00:00Z,,"1318/9,  Ash Wednesday | February 21",,Munstr’,,"1318/9, Ash Wednesday | February 21, GRANT"
HCM 1766,HCM 1766,RECEIPT,Leominster,Documented,1321-03-14T00:00:00Z,,"1320/1,  Saturdey next after the Feast of St. Gregory,  confessor (March 14]",,Leominster,,"1320/1, Saturdey next after the Feast of St. Gregory, confessor (March 14], RECEIPT"
HCM 1767,HCM 1767,WRIT,Westminster,Documented,1332-01-27T00:00:00Z,,"1331/2,  January 27.",,Westminster,,"1331/2, January 27., WRIT"
HCM 1767-em1,HCM 1767-em1,ENDORSEMENT,(Hereford),Suggested,1332-05-10T00:00:00Z,,three weeks after Easter in the year 1332,,Hereford,the endorsement = sheriff of H's RETURN or response to the original writ,"ENDORSEMENT, three weeks after Easter in the year 1332"
HCM 1767-em2,HCM 1767-em2,ADDITION TO WRIT,Westminster,Documented,1332-07-09T00:00:00Z,,deted 9 July 1332,,Westminster,,"addition, deted 9 July 1332"
HCM 1768,HCM 1768,GRANT,Swansea,Documented,1314-11-27T00:00:00Z,,"1314,  Wednesday next after the Feast of St. Katherine,  virgin and martyr [November 27]",,Sweynes,,"1314, Wednesday next after the Feast of St. Katherine, virgin and martyr [November 27], Grant,"
HCM 1769,HCM 1769,WRIT,Faxfleet Hall Yorkshire East Riding,Documented,1323-07-10T00:00:00Z,,"1323,  July 10.",,Faxflete,"formerly Faxfleet Preceptory, owned by Knights Templar til 1308; Ed II takes possession in 1322","1323, July 10., WRIT"
HCM 178,HCM 178,AGREEMENT,Hereford,Documented,1333-04-28T00:00:00Z,,"1333,  Wednesday next after the Feast of St. Mark the Evangelist (April 28)",,deref,,"1333, Wednesday next after the Feast of St. Mark the Evangelist (April 28), AGREEMENT"
HCM 1780,HCM 1780,DEFINITIVE SENTENCE,London church of St Mary of Arches,Documented,1311-12-07T00:00:00Z,,"1311,  December 7.",,church of the Blessed Mary of the Arches,,"1311, December 7., DEFINITIVE SENTENCE"
HCM 1786,HCM 1786,GRANT in fee-farm,(Ledbury),Suggested,1300-01-01T00:00:00Z,1325-12-31T00:00:00Z,Barly 14th century.,early 14th century,,land in Ledbury,"Barly 14th century., eruanennin"
HCM 1790,HCM 1790,GRANT,Ledbury,Documented,1349-03-12T00:00:00Z,,"1348/9,  Thursday,  the Feast of St. Gregory the Pope [March 12].",,Ledbury,,"1348/9, Thursday, the Feast of St. Gregory the Pope [March 12]., GRANT"
HCM 1798,HCM 1798,GRANT,Ledbury,Documented,1326-04-29T00:00:00Z,,"1326,  Tuesday next before the Feast of the .   Apostles Philipp and James LApril 29].",,Ledbury,,"1326, Tuesday next before the Feast of the .   Apostles Philipp and James LApril 29]., GRANT"
HCM 1799,HCM 1799,QUITCLAIM,(Ledbury),Suggested,1326-05-12T00:00:00Z,,"1326,  Monday next after the Feast of St. John ante portem latinam (May 12).",,,"QUITCLAIM of lands in HCM 1798, same witnesses","1326, Monday next after the Feast of St. John ante portem latinam (May 12)., ‘ Seen"
HCM 18,HCM 18,GRANT,(Breinton),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,"people of and land in Breynton, next to cemetary|secondarily Hereford","Late 13th. century, GRAN?"
HCM 1800,HCM 1800,GRANT,(Ledbury),Suggested,1300-01-01T00:00:00Z,1325-12-31T00:00:00Z,Rarly 4th century| °,approx,land in and people of Ledbury,early 14th century,"Rarly 4th century| °, GRANT"
HCM 1803,HCM 1803,QUITCLAIM,Ledbury,Documented,1333-03-17T00:00:00Z,,"1332/3,  Cotuantay went ter the Feast ,   of St. Gregory the Pope |March 17].",,Ledbury,,"1332/3, Cotuantay went ter the Feast ,  of St. Gregory the Pope |March 17]., QUITCLAIM"
HCM 1804,HCM 1804,GRANT,Ledbury,Documented,1361-09-28T00:00:00Z,,"1361,  Tuesday next before the Feast of ,   St. hichael [September 28].",,Ledbury,GRANT,"1361, Tuesday next before the Feast of ,  St. hichael [September 28]., GRAN?"
HCM 1809,HCM 1809,MANDATE,Kyreci' Wald,Documented,1287-03-29T00:00:00Z,,"1287,  4 Kal. April [March 29]",,Kyreci' wald,"is this Kyre Wyard (Cureward?), Worcestershire?|mandate = from Archd of Chester, commissary of Archbp of York, so check these locales?","1287, 4 Kal. April [March 29], MANDATE"
HCM 181,HCM 181,LEASE,chapter-house at Hereford,Documented,1310-10-26T00:00:00Z,,"1310,  Monday next before the Feast of All Saints [October 26]",,chapter-house at Hereford,,"1310, Monday next before the Feast of All Saints [October 26], LEASE"
HCM 1815,HCM 1815,QUITCLAIM,(Ledbury),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,land deal involving Ledbury St Katherine's,"Late 13th. century}, QUITCLAIM,"
HCM 1816,HCM 1816,NOTARIAL INSTRUMENT,Avignon residence of John de Ross,Documented,1324-06-01T00:00:00Z,,"1324,  June l",,Avignon in the lodging of the said dominus John de Ros,,"1324, June l,, NOTARIAL INSTRUMENT"
HCM 1817,HCM 1817,ORDINANCE,chapter-house at Hereford,Documented,1330-04-10T00:00:00Z,,"1530,  April 10.",,chapter-house at Hereford,1330,"1530, April 10., ORDINANCE"
HCM 1819,HCM 1819,RECEIPT,Hereford,Documented,1318-06-19T00:00:00Z,,"1318,  Monday next after the Feast of the ,   Holy trinity fdune 19|",,Hereford,RECEIPT,"1518, Monday next after the Feast of the ,  Holy trinity fdune 19|,, RECEIET"
HCM 182,HCM 182,GRANT in fee-farm,Hereford,Documented,1340-06-30T00:00:00Z,,"1340,  Friday next after the Feast of the ,   Passton of Peter and Paul the Apostles L? June ie 1",,Hereford,,"1340, Friday next after the Feast of the ,  Passton of Peter and Paul the Apostles L? June ie 1, GRANT in fee-farm"
HCM 1820,HCM 1820,LETTERS PATENT,Westminster,Documented,1355-01-29T00:00:00Z,,"1354/5,  January 29.",,Westminster,,"1354/5, January 29., LETTERS PATENT"
HCM 1822,HCM 1822,PAPAL BULL,Avignon,Documented,1323-06-03T00:00:00Z,,"1323,  3 Non,  Junii |June 3|.",,Avignon,,"1323, 3 Non, Junii |June 3|., PAPAL BULL"
HCM 1826,HCM 1826,STATUTES,chapter-house at Gloucester St Peter's,Documented,1301-10-10T00:00:00Z,,"1301,  6 Id. October | October 10",,chapter-house,,"1301, 6 Id. October | October 10, STATUTES,"
HCM 1827,HCM 1827,NOTARIAL INSTRUMENT,(chapter-house at Hereford),Suggested,1282-11-12T00:00:00Z,,"1282,  November 12",,,"letter from D&C of H, and contains ref to reception there of another letter","1282, November 12,, NOTARIAL INSTRUMENT"
HCM 1828,HCM 1828,PRECEPT,La Rochelle Aquitaine France,Documented,1292-08-20T00:00:00Z,,"?1292. (20 Ed. I. 7),  August 20.",,Rothel' (or Rochel'),"where was Ed I on 8.20.1292? (probably La Rochelle, Aquitaine)","?1292. (20 Ed. I. 7), August 20., PRECEPT"
HCM 183,HCM 183,GRANT in fee-farm,(Hereford),Suggested,1351-05-18T00:00:00Z,,"1351,  ednesday next before the Feast .   of St,  Ethelbert May 18)",,,land in & people of Hereford city,"1351, ednesday next before the Feast .   of St, Ethelbert May 18), GRANT in fee-farm"
HCM 1834,HCM 1834,MANDATE,(Hereford),Suggested,1313-04-20T00:00:00Z,,"1313,  12 Kal. May [April 20]",,Hereford,"mandate of D&C of H, reflecting actions taken in chapter","1313, 12 Kal. May [April 20], MANDATE"
HCM 1834-em,HCM 1834-em,MANDATE,London,Documented,1313-02-26T00:00:00Z,,4 Kal. March 1312/13,,London,"(embedded doc), (embedded doc)","mandate, 4 Kal. March 1312/13"
HCM 1836,HCM 1836,SURVEY,Diddlebury Shropshire,Documented,1315-11-06T00:00:00Z,,"1315,  Thursday,  the Feast of St. Leonard the Confessor [November 6]",,Dudelebury,parish adjacent to or paired with Longestaunton,"1315, Thursday, the Feast of St. Leonard the Confessor [November 6], SURVEY"
HCM 1848,HCM 1848,ACCOUNT,(Hereford),Suggested,1315-12-17T00:00:00Z,,"1315,  Wednesday next after the Feast of St. Lucia,  the virgin [December 17]",,Hereford,"canons of H, appt by D&C H","1315, Wednesday next after the Feast of St. Lucia, the virgin [December 17], ACCOUNT"
HCM 1851,HCM 1851,NOTARIAL INSTRUMENT,London St Paul's,Documented,1308-07-01T00:00:00Z,,"1308,  July 1",,St. Paul's London,,"1308, July 1, NOTARIAL INSTRUMENT"
HCM 1854,HCM 1854,MANDATE,Westminster,Documented,1317-06-10T00:00:00Z,,"1317,  June 10",,Westminster,,"1317, June 10, MANDATE"
HCM 1855,HCM 1855,NOTARIAL INSTRUMENT,London St Paul's,Documented,1303-10-04T00:00:00Z,,"1303,  October 4",,St. Paul's London,,"1303, October 4,, NOTARIAL INSTRUMENT"
HCM 1858,HCM 1858,PAPAL BULL,Avignon,Documented,1320-01-26T00:00:00Z,,"1319/20,  7 Kal. February |January 26|",,Avignon,,"1319/20, 7 Kal. February |January 26|,, PAPAL BULL"
HCM 186,HCM 186,GRANT in fee-farm,chapter-house at Hereford,Documented,1310-02-07T00:00:00Z,,"1309/10,  Saturday next after the Feast of the Purification of the Blessed Mary [February 7].",,chapter-house at Hereford,,"1309/10, Saturday next after the Feast of the Purification of the Blessed Mary [February 7]., GRANT in fee-farm"
HCM 1862,HCM 1862,MANDATE,Westminster,Documented,1332-09-20T00:00:00Z,,"1332,  September 20.",,Westminster,,"1332, September 20., MANDATE o"
HCM 1863,HCM 1863,INQUISITION,Gloucester,Documented,1332-10-12T00:00:00Z,,"1332,  October 12",,Gloucester.,,"1332, October 12,, INQUISITION"
HCM 1866,HCM 1866,DEFEASANCE,Pendock Malvern Hills Worcestershire,Documented,1361-05-20T00:00:00Z,,"1361,  Thursday next after the Feast of St. Dunstan LMay 20).",,Pendok'.,,"1361, Thursday next after the Feast of St. Dunstan LMay 20)., DEFEASANCE"
HCM 1870,HCM 1870,BOND,Hereford,Documented,1333-03-13T00:00:00Z,,"1332/3,  Saturday. next after the Feast of St. Gregory the Pope [March 13].",,Hereford,,"1332/3, Saturday. next after the Feast of St. Gregory the Pope [March 13]., BOND"
HCM 1871,HCM 1871,LEASE,Norton Canon Herefordshire,Documented,1333-07-29T00:00:00Z,,"1333,  Thursdey next after the Feast of St. James (July 29).",,Norton’ Canonicorum,,"1333, Thursdey next after the Feast of St. James (July 29)., LEASE"
HCM 1872,HCM 1872,INSPEXIMUS and CONFIRMATION,(chapter-house at Hereford),Suggested,1333-01-01T00:00:00Z,1333-12-31T00:00:00Z,circa 1333,approx,,"embedded doc (GRANT in fee-farm, earlier but no date or given at) needs ADDING","circa 1333,, INSPEXIMUS and CONFIRMATION, GRANT in fee-farm,"
HCM 1873,HCM 1873,RECEIPT,Hereford,Documented,1298-06-16T00:00:00Z,,"1298,  Monday the Feast of the saints end martyrs Curig and Julitte (June 16}.",,Hereford,,"1298, Monday the Feast of the saints end martyrs Curig and Julitte (June 16}., RECEIPT"
HCM 1876,HCM 1876,GRANT,chapter-house at Gloucester St Peter's,Documented,1349-03-25T00:00:00Z,,"349,  wednesday,  the Feast of the Annunciation of the blessed Mary LMareh 25]",,chapter-house at Gloucester,1349,"349, wednesday, the Feast of the Annunciation of the blessed Mary LMareh 25], GRANT"
HCM 1877,HCM 1877,GRANT,(Research),Uncertain,1300-01-01T00:00:00Z,1399-12-31T00:00:00Z,14th century.,14th century,,"land at la Ryme, people of Blundesdon Gay, la Wyke, Heydon' wyke, Wydihe' doun","14th century., GRANT"
HCM 1879,HCM 1879,LEASE,chapter-house at Hereford,Documented,1333-06-11T00:00:00Z,,"1333,  Friday the Feast of St. Barnabas the Apostle LJune 11].",,chapter-house at Hereford,,"1333, Friday the Feast of St. Barnabas the Apostle LJune 11]., LEASE"
HCM 1881,HCM 1881,LEASE,chapter-house at Gloucester St Peter's,Documented,1340-05-24T00:00:00Z,,"1340,  wednesday in the Vigil of the Feast of the Ascension of our Lord iMay 24].",,chapter-house at Gloucester,,"1340, wednesday in the Vigil of the Feast of the Ascension of our Lord iMay 24]., LEASE"
HCM 1885,HCM 1885,GRAST,chapter-house at Gloucester St Peter's,Documented,1350-05-26T00:00:00Z,,"1350,  Wednesday in the Feast of St. ,   Augustine,  archbishop {May 26",,a at Gloucester,GRANT,"1350, Wednesday in the Feast of St. ,  Augustine, archbishop {May 26, GRAST"
HCM 1887,HCM 1887,LEASE,chapter-house at Gloucester St Peter's,Documented,1350-04-11T00:00:00Z,,"50,  Sunday,  the Feast of St. Guthlac ,   Meets 11]",,chapter-house at Gloucester,"1350, April 11","50, Sunday, the Feast of St. Guthlac ,  Meets 11], LEASE"
HCM 1892,HCM 1892,INSPEXIMUS and CONFIRMATION,Sugwas Court Herefordshire,Documented,1323-02-14T00:00:00Z,,"1322/3,  February 14",,Sugwas,"this date for Inpsex & confirm, INSPEXIMUS AND CONFIRMATION","1322/3, February 14,, INGSPSXIMUS and CONFLRMATION"
HCM 1892-em,HCM 1892-em,LEASE,chapter-house at Hereford,Documented,1317-07-23T00:00:00Z,,Saturday next before the Feast of St. James the oe in the year 1317,,rere at Hereford,(embedded doc),"LEASE, Saturday next before the Feast of St. James the oe in the year 1317"
HCM 1898,HCM 1898,LEASE,chapter-house at Gloucester St Peter's,Documented,1303-05-20T00:00:00Z,,"1303,  Monday next after the Feast of St,  ,    Dunsten,  bishop and confessor j|May 20].",,chapter-house at Gloucester,,"1303, Monday next after the Feast of St, ,   Dunsten, bishop and confessor j|May 20]., LEASE"
HCM 1899,HCM 1899,INSPEXIMUS and CONFIRMATION,chapter-house at Hereford,Documented,1324-04-06T00:00:00Z,,"1324,  April 6",,chapter-house of Hereford,"this date for Inspex, subdivide","1324, April 6,, INSPEXIMUS AND CONFIXMATION"
HCM 1899-em,HCM 1899-em,GRANT,Ledbury,Documented,1322-06-23T00:00:00Z,,"1322,  Wednesday in the i of the Nativity of St. John the Baptist |June 23].",,Ledbury,,"1322, Wednesday in the i of the Nativity of St. John the Baptist |June 23]., GRANT"
HCM 19,HCM 19,GRANT,(Breinton),Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,Legirca 1300.,approx,,land at & people of Breynton|secondarily Hereford,"Legirca 1300., GRANT"
HCM 1900,HCM 1900,MANDATE,Gloucester,Documented,1283-04-11T00:00:00Z,,"1283,  Palm Sunday April 11",,Gloucester.,,"1283, Palm Sunday April 11,, MANDATE"
HCM 1901,HCM 1901,REQUEST,London,Documented,1300-06-10T00:00:00Z,1350-06-10T00:00:00Z,"First helf 14th century,  June 10.","approx year, exact day",London,check other docs for Bartholomew Badlesmere London location (Highbury as Suggested),"First helf 14th century, June 10., REQUEST"
HCM 1902,HCM 1902,GRANT,Ledbury,Documented,1321-03-26T00:00:00Z,,"1321,  Thursday next after the Feast of the Annunciation of the Virgin Mary LMarch 26].",,Ledbury,,"1321, Thursday next after the Feast of the Annunciation of the Virgin Mary LMarch 26]., GRANT"
HCM 1903,HCM 1903,LEASE,Rudford Gloucestershire,Documented,1357-03-19T00:00:00Z,,"1356/7,  Sunday next before the Feast of the | Amnunelation of the Blessed Mery LMareh 19",,Rodeforde,"presuming this is Rudford (halfway between Highnam & Tibberton, NW of G); Haslem (rector = principal) in vicinity","1356/7, Sunday next before the Feast of the | Amnunelation of the Blessed Mery LMareh 19, LEASE f"
HCM 1904,HCM 1904,LEASE,Ledbury,Documented,1341-12-17T00:00:00Z,,"1341,  Monday next before the Feast of St. Thomas the Apostle . December 17",,Ledbury,,"1341, Monday next before the Feast of St. Thomas the Apostle . December 17, LEASE"
HCM 1908,HCM 1908,LEASE,chapter-house at Hereford,Documented,1324-09-17T00:00:00Z,,"1324,  September 17.",,chapter-house at Hereford,,"1324, September 17., LEASE"
HCM 1910,HCM 1910,GRANT,Ledbury,Documented,1322-06-11T00:00:00Z,,"1522,  Friday,  the Feast of St,  Barnabas ,   the Apostle \sune 11).",,Ledbury,1322,"1522, Friday, the Feast of St, Barnabas ,  the Apostle \sune 11)., GRANT"
HCM 1911,HCM 1911,LETTER,(Unknown),Uncertain,1275-01-01T00:00:00Z,1325-12-31T00:00:00Z,|Late 13th = early 14th century.,|Late 13th = early 14th century.,,"anonymous letter sent to HC, no other placenames","|Late 13th = early 14th century., LETTER"
HCM 1916,HCM 1916,LIST OF DUES,(Norton Canon Herefordshire),Suggested,1300-01-01T00:00:00Z,1399-12-31T00:00:00Z,? 14th century,14th century,,"LIST OF DUES for [manor of] Norton, does this imply a list of names?|secondarily = given at Hereford|lots of Norton Manors, eg Presteigne, Herefords.","? 14th century, LIS?, dues for the right of pannage"
HCM 1918,HCM 1918,GRANT,Ledbury,Documented,1316-08-23T00:00:00Z,,"1316,  Monday in the vigil of the Feast of St. Bartholomew,  the apostle [August 23]",,Ledbury,,"1316, Monday in the vigil of the Feast of St. Bartholomew, the apostle [August 23], GRANT"
HCM 192,HCM 192,GRANT,Hereford,Documented,1351-06-28T00:00:00Z,,"1551,  Tuegday the Vigil of St. Peter and St. Paul jJune 28]",,Hereford,1351,"1551, Tuegday the Vigil of St. Peter and St. Paul jJune 28]"
HCM 1924,HCM 1924,MANDATE,Boughton-under-Blean Kent,Documented,1318-07-09T00:00:00Z,,"1318,  7 1a,  July duly 9.",,Bokton',"unclear where: Boughton-under-Blean, diocese of Canterbury per Index; Bp of Winchester=writes letter but is he poss at Buckton Castle Stalybridge Manchester?","1318, 7 1a, July duly 9., MANDATE"
HCM 1925,"RBLR 4701, HCM 1925",NOTARIAL INSTRUMENT,(Hereford residence of Roger de Breynton),Suggested,1347-01-01T00:00:00Z,1347-12-31T00:00:00Z,1347,,,cf HCM 1072|probably Hereford but secondary possibility = Bosbury,"1347, NOTARIAL INSTRUMENT"
HCM 1928,HCM 1928,MEMORANDUM,(Monmouth Priory),Suggested,1347-01-01T00:00:00Z,1347-12-31T00:00:00Z,11347,,,1347|memo from prior of Monmouth,"11347, MEMORANDUM"
HCM 1929,HCM 1929,LETTER,Westminster,Documented,1313-11-07T00:00:00Z,,"1313,  November 7",,Westminster,,"1313, November 7, LETTER"
HCM 1930,HCM 1930,MANDATE,Westminster,Documented,1313-10-07T00:00:00Z,,"1313,  October 7.",,Westminster,,"1313, October 7., MANDATE"
HCM 1931,HCM 1931,LETTER,Bosbury Herefordshire Bishops Palace Old Court Farm,Documented,1315-05-21T00:00:00Z,,"1315,  12 Kal. June [May 21]",,Bosebury,date of main doc,"1315, 12 Kal. June [May 21], LETTER"
HCM 1931-em,HCM 1931-em,ROYAL LETTER,Thundersley Essex,Documented,1315-05-14T00:00:00Z,,14 May 1315,,Thonderlee,"(embedded doc), (embedded doc)","royal letter, 14 May 1315"
HCM 1932,HCM 1932,COMMISSION,Hereford,Documented,1353-12-01T00:00:00Z,,"1353,  December 1",,Hereford,,"1353, December 1, COMMISSION"
HCM 1933,HCM 1933,GRANT,Ledbury,Documented,1354-03-31T00:00:00Z,,"1354,  Monday next after the Feast of the aénnunciation of the Blessed Virgin Mary L March 31)",,Ledbury,,"1354, Monday next after the Feast of the aénnunciation of the Blessed Virgin Mary L March 31), GRANT"
HCM 1934,HCM 1934,GRANT,Charlecote Park Warwickshire,Documented,1346-08-17T00:00:00Z,,"1346,  Thursday next after the Feast of the ,    Assumption of the Blessed Mary ( August 17",,Cervecote,,"1346, Thursday next after the Feast of the ,   Assumption of the Blessed Mary ( August 17, GRANT"
HCM 1938,HCM 1938,RECEIPT,Hereford,Documented,1337-02-01T00:00:00Z,,"1336/7,  February 1.",,Hereford,,"1336/7, February 1., RECEIPT"
HCM 1940,HCM 1940,FINDINGS,(Research),Uncertain,1287-01-01T00:00:00Z,1287-12-31T00:00:00Z,1287 |,approx,,"Jury findings, involving Roger Mortimer & rector of Dilewe; search places assoc with Juror names?","1287 |, FINDINGS"
HCM 195,HCM 195,RELEASE,Hereford,Documented,1301-05-13T00:00:00Z,,"1301,  Saturday after the feast of the Ascension of the Lord | May 13]",,Hereford,,"1301, Saturday after the feast of the Ascension of the Lord | May 13], RELEASE"
HCM 196,HCM 196,GRANT,Hereford,Documented,1316-04-03T00:00:00Z,,"1316,  April 3.",,Hereford,,"1316, April 3., GRANT"
HCM 1974,HCM 1974,GRANT,(Hereford),Suggested,1305-02-12T00:00:00Z,,"1304/5,  February 12.",,Hereford,property & people of Hereford city,"1304/5, February 12., GRANT"
HCM 1975,HCM 1975,APPROBATION,Bosbury Herefordshire Bishops Palace Old Court Farm,Documented,1311-10-30T00:00:00Z,,"1311,  3 Kal. Nov. [October 30].",,Bosebury,CREATE embedded doc (HCM 1975-em) = AGREEMENT from 1289.2.28 [no given at but (Hereford) = [suggested],"1311, 3 Kal. Nov. [October 30]., APPROBATION"
HCM 20,HCM 20,GRANT,(Breinton),Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,circa 1300,approx,,"principal = shepherd of Breynton, other people = Breynton & Hereford regulars|secondary option Hereford","Lgdrea 1300, GRANT, 1322/3, Thursday next after the Feast of the Purification of the Virgin Mary |February 7|, GRANT [????]"
HCM 200,HCM 200,GRANT,Hereford,Documented,1353-02-07T00:00:00Z,,1352/3* Thursda y nex t afte r th e Feas t o f the Purificatio n o f th e Virgi n Mary February 7j .,,Hereford,,added manually
HCM 201,HCM 201,GRANT,(Hereford),Suggested,1315-10-11T00:00:00Z,,"1315,  October 11.",,Hereford,land in Hereford nr church of St Nicholas,"1315, October 11., GRANT"
HCM 2019,HCM 2019,BOND,(Hereford),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. ceatury,approx,,Hereford people & places,"Late 13th. ceatury, BOND"
HCM 2020,HCM 2020,GRANT in fee-farm,(Hereford),Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,Leireg 1300.,approx,,"linked to HCM 2019 (same witnesses, land)","Leireg 1300., GRANT in fee-farm"
HCM 203,"RBLR 1106, HCM 203",RELEASE,Hereford,Documented,1311-06-28T00:00:00Z,,"1311,  Monday next after the Feast of the Nativity of John the Baptist [June 28]",,Hereford,ALSO in RBLR,"1311, Monday next after the Feast of the Nativity of John the Baptist [June 28], RELEASE"
HCM 204,HCM 204,RELEASE,(Hereford),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,"tenement in Wrouthale (index says ""Aubrey Street"" [i.e. Hereford]""","Late 13th. century, RELEASE"
HCM 2050,HCM 2050,TESTIMONY,Colwall Herefordshire,Documented,1291-08-26T00:00:00Z,,"1291,  Sunday next after the Feast of St.   ‘i 7 Bartholomew the Apostle | August 26)",,Colewell,"just to be clear: there's a typo in C&E typescript p.588, wherein this document (actually HCM 2050; dated 1291) appear incorrectly as ""HCM 2650""; however, the real HCM 2650 appears on C&E typescript p.598 (1294)","HCM 2050, 1291, Sunday next after the Feast of St.   ‘i 7 Bartholomew the Apostle | August 26), TESTIMONY"
HCM 2051,HCM 2051,GRANT,chapter-house at Hereford,Documented,1318-10-08T00:00:00Z,,"1318,  Sunday next after the Feast of St,  .   Faith the Virgin [October 8].",,chapter-house at Hereford,,"1318, Sunday next after the Feast of St, .   Faith the Virgin [October 8]., GRANT"
HCM 2052,HCM 2052,DUPLICATE,(chapter-house at Hereford),Suggested,1298-02-25T00:00:00Z,,"1297/8,  the morrow of the Feast of St. Mathias the Apostle | February 25",,,duplicate of HCM #772 = ORDINANCE of D&C of H,"1297/8, the morrow of the Feast of St. Mathias the Apostle | February 25, DUPLICATE of 772"
HCM 2053,HCM 2053,GRANT,(Hereford),Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,circa 1300,approx,,deal involving D&C & clerk of D&C,"Leirea 1300., GRANT"
HCM 2054,HCM 2054,GRANT,(Cublington Madley Herefordshire),Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,circa 1300,approx,,people of and land in Coblinton,"circa 1300, GRANT,"
HCM 2055,HCM 2055,GRANT,(Cublington Madley Herefordshire),Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,circa 1300,approx,,see HCM 2054,"circa 1300, GRANT,"
HCM 2056,HCM 2056,GRANT,(Cublington Madley Herefordshire),Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,circa 1300,approx,,see HCM 2054-2055,"circa 1300, GRANT"
HCM 2057,HCM 2057,GRANT in fee-farm,(Hereford),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,concerns same business (and some Madley people) as HCM 2054-56 but many Hereford witn = likely taken there,"Late 13th. century, GRANT in fee-farm,"
