Document Number,Normalized text,QUOTE_TRANSCRIPTION,Alternate Numbering,UUID,Person ID,Supplemental naming,COMMENTS,TAGS,Unhandled Tags 2,Clerical?,Patronymic?,Named by,Scribe,Principal,Witness,Dead,Gender
HCM 170,William de Penreth,William de Penret,,9d9ca60c-80d8-4523-89f9-1b607532d653,44c5dd27-6906-466b-8a81-6f48c27b8c6a,,,Neighbor,Neighbor,,,,,,,,M
HCM 170,Richard Pere,chard Pere,,4d2cb65c-5d29-4d42-b527-2fd32b07cd23,4d2cb65c-5d29-4d42-b527-2fd32b07cd23,,seems to be VCH,Principal|Clerical,,True,,,,Principal,,,M
HCM 170,King Edward III,the kings,,6e405a65-7611-41bb-a937-294d1ad26530,518568ab-fc48-4fe9-9c26-659db6090111,,,,,,,,,,,,
HCM 170,John King,"John le Kyng',",,4f786303-6bc7-4658-8663-823d1e089912,6db74f6a-edda-43c5-9684-830945168b5e,,,Witness,,,,,,,Witness,,M
HCM 170,Robert de Preston,Robert de freston,,c183d2bb-9cdc-436a-8e25-a9958ea346a6,703e3220-5cb2-43fd-acab-78ab405337bc,,Preston not Freston,Principal|Clerical,,True,,,,Principal,,,M
HCM 170,Richard Hamond,"fichard Hemmond, bailiff of the kings",,a50cce87-7cb1-4925-91d7-ccd20ce2715c,a50cce87-7cb1-4925-91d7-ccd20ce2715c,bailiff of the kings,,Witness|Agent,Agent,,,,,,Witness,,M
HCM 170,John Bade,"John Baad, chaplein",,4415fc8e-82b4-424a-9797-2bb40fe1634a,a705b6dc-359d-45b3-ad16-31243e432731,chaplein,"vicinity of Bertonstreet, like refs to him later",Neighbor|Clerical,Neighbor,True,,,,,,,M
HCM 170,Ranulf le Putter,"Renulf le putter,",,ba5ee9e4-69cc-44a4-a659-36922cf48972,ba5ee9e4-69cc-44a4-a659-36922cf48972,,vch?,Principal,,,,,,Principal,,,M
HCM 170,John de Norton mercer,John de Norton',,7c41091c-eac7-428f-8782-3f0dc20133e3,c135778c-f402-4a17-a3f1-202668a7a0b4,,,Witness,,,,,,,Witness,,M
HCM 170,John Sanmon',John Sanmon',,d42d4033-cb2c-4740-b9ef-a0e18addca19,d42d4033-cb2c-4740-b9ef-a0e18addca19,,,Witness,,,,,,,Witness,,M
HCM 170,Simon de Radenore,Symon de Radenore,,2d163400-7df3-4d15-bf15-f9b32b7309c0,e4efc3d2-0169-4ef0-a45a-6b4c57cded73,,"Simon and all his co-principals are styled domini, so they seem certain to be lesser clerks / vicars / chaplains",Principal|Clerical,,True,,,,Principal,,,M
HCM 170,Walter de Huleford,Walter de Huleford',,f3505d25-c9f4-4cf9-bc27-5f4ee7813e0a,f3505d25-c9f4-4cf9-bc27-5f4ee7813e0a,,,Principal|Clerical,,True,,,,Principal,,,M
HCM 170,John le Boghiere,John le Boghiere,,f57d1a6c-6c62-459b-9b36-df294dfc2106,f57d1a6c-6c62-459b-9b36-df294dfc2106,,,Witness,,,,,,,Witness,,M
HCM 1702,Henry de Marewent,Henry of Marewent;,,dd4cab8e-c319-41c0-9da3-a43c45b0ff8d,098d45bf-b8e7-4bcc-85ff-ef6f649745cf,husband to Edith,,Dead|Lease-holder,Lease-holder,,,,,,,Dead,M
HCM 1702,Walter Thoky,"“alter Thoky,",,11f1b317-0c38-4cfa-a25f-757a4e1ff0dc,1219e619-86d8-47dc-b8db-7fb4cfe212cd,,,Witness,,,,,,,Witness,,M
HCM 1702,Henry del Oke of Hucclecote,Henry del Oke,,34ba8370-6b80-4bcd-833c-45061fa48255,34ba8370-6b80-4bcd-833c-45061fa48255,,"prob Noak Court, Hucclecote, Gloucester and not Okle Clifford nr Newent",Witness,,,,,,,Witness,,M
HCM 1702,Walter the Clerk of Maysmore,Walter the clerk of Maysmor*,,3344f821-b6d3-40d1-b220-cfc7edf9bd9c,4d14601a-148b-4a65-a14d-906b78f8ce1f,,,Witness|Scribe|Clerical,,True,,,Scribe,,Witness,,M
HCM 1702,Walter de Bannebury,Walter de Bannebur’,,587458d4-6b7c-489d-bfdc-d8833df6af74,587458d4-6b7c-489d-bfdc-d8833df6af74,,,Witness,,,,,,,Witness,,M
HCM 1702,Richard of Byseleye,Richard of Byseleye,,67507e19-c283-40ff-a2ba-227578654162,67507e19-c283-40ff-a2ba-227578654162,,"vicinity of Hardpurie Marewent; cf Walter Byseleye, carpenter, bailiff in HCM 179, p. 1074, 1385",Lease-holder,Lease-holder,,,,,,,,M
HCM 1702,Richard Mile of Brockhampton,Richard Mile,,83b5c130-c329-42f5-bb95-0738b734247a,d3d6c842-d063-44ee-9bee-5d65fcc15a10,,"Gloucester doc; bishampton, marewent, maismore, hardpury nominatives",Witness,,,,,,,Witness,,M
HCM 1702,John le Bole,John le Bele,,4bb0d3d9-874b-4a48-995a-59fa83c75af4,87261177-69cf-4a0a-80f0-ed7da547be29,,,Witness,,,,,,,Witness,,M
HCM 1702,William de Marewent,"William, brother and heir of the said Henry",,9a11f183-5ef2-4cbd-a8e3-e5e23b79c301,9a11f183-5ef2-4cbd-a8e3-e5e23b79c301,brother of Henry,brother and heir to Henry of Marewent,Principal,,,,,,Principal,,,M
HCM 1702,Edith de Marewent,"Sdith, widow of Henry of Marewent;",,a14c5765-e5a3-4ab9-b921-413f5e5d4047,a14c5765-e5a3-4ab9-b921-413f5e5d4047,widow of Henry of Marewent,,Principal|Woman,,,,,,Principal,,,W
HCM 1702,William de Radenhale,William de Redenhale,,da1334c9-59d1-4872-b893-2f961baa3e4d,da1334c9-59d1-4872-b893-2f961baa3e4d,,"cf John, clerk, pp. 817, 832, 848, 854, 855",Witness,,,,,,,Witness,,M
HCM 1703,William Carbonel,William Carbonel,,3bec0f32-4e9d-4781-b35c-3297b9ae022b,3bec0f32-4e9d-4781-b35c-3297b9ae022b,,,Witness,,,,,,,Witness,,M
HCM 1703,Alan Plotemo’,Alan Plotemo’,,59a9e90f-c4ac-4eea-9321-f95bb8b3497d,59a9e90f-c4ac-4eea-9321-f95bb8b3497d,,,Witness,,,,,,,Witness,,M
HCM 1703,Walter de Turford,Walter of Turford,,63c12a29-1ffc-4d0d-ad9a-5dc75c356b2d,63c12a29-1ffc-4d0d-ad9a-5dc75c356b2d,,"nr Overton, vicinity of Ludlow",Principal,,,,,,Principal,,,M
HCM 1703,Hugh Bosse of Turford,Hugh son of Philip,,71724d59-a34b-46a7-ba3c-b3dda2ead56b; e1d1f5a8-09d8-495f-bf00-033529691c4c,71724d59-a34b-46a7-ba3c-b3dda2ead56b,son of Philip,,Neighbor,Neighbor,,,Parent,Scribe,,Witness,,M
HCM 1703,Philip Bosse of Turford,Philip Bosse of Turford,,7bf7a2b2-2717-4a60-938d-998abf11062f; b2884225-3bca-4c4d-b6e8-56cc50fe1a61,7bf7a2b2-2717-4a60-938d-998abf11062f,father to Hugh,,Principal,,,True,,,Principal,,,M
HCM 1703,Robert Culbel,Robert Culbel,,a26c71e8-935a-4b5d-95cc-7fcadfbedb72,a26c71e8-935a-4b5d-95cc-7fcadfbedb72,,,Witness,,,,,,,Witness,,M
HCM 1703,Thomas lord of Overton,"Thomas, lord of Overton'",,bacc9d7d-72cb-48a3-87cf-c689ed342172,bacc9d7d-72cb-48a3-87cf-c689ed342172,lord of Overton,"Overton = nr Richard's Castle, s. of Ludlow",Witness,,,,,,,Witness,,M
HCM 1703,Walter Iudas,Walter Iudas,,d161f9b4-7855-4661-9923-a51a58e76bac,d161f9b4-7855-4661-9923-a51a58e76bac,,distinct from Walter de Turford,Neighbor,Neighbor,,,,,,,,M
HCM 1703,Stephen the Smith,Stephen the smith,,ea768e15-c3e9-423b-8567-ca412af857e8,ea768e15-c3e9-423b-8567-ca412af857e8,,,Neighbor,Neighbor,,,,,,,,M
HCM 1708,dean of Gloucester,dean of Gloucester,,0097c974-0e2a-4943-a141-5e74e2755c07,0097c974-0e2a-4943-a141-5e74e2755c07,dean of Gloucester,,Clerical|Witness,,True,,,,,Witness,,M
HCM 1708,Richard Mordepury chaplain of Gloucester,"Richard ssh ronan? chaplain. of Gloucester, and executor of the will of the late Williom Bokynghem of the same",,1efaef86-6aa0-4e43-87ec-3a843a9aef03,1efaef86-6aa0-4e43-87ec-3a843a9aef03,chaplain of Gloucester|executor of William Bokynghem of Gloucester,"Richard .....rdepury [Mordepury?], chaplain of Gloucester",Principal|Agent|Clerical,Agent,True,,,,Principal,,,M
HCM 1708,William Specke,"William Specke, clerks.",,43c42efd-0e3d-48d7-91b3-df9ef2e3376c,43c42efd-0e3d-48d7-91b3-df9ef2e3376c,clerk,"receives letters of attorney from Richard ..Ronan, chaplain (with Robert Mapilton, clerk) to become co-exec for Willam Bokyngham de Gloucester",Principal|Clerical|Agent,Agent,True,,,,Principal,,,M
HCM 1708,William Bokynghem of Gloucester,Williom Bokynghem of the same,,6d207ce2-211b-4cb8-9d1f-d0f745319797,6d207ce2-211b-4cb8-9d1f-d0f745319797,,ie of Gloucester|William Bokyngham,Dead,,,,,,,,Dead,M
HCM 1708,Robert de Mapilton’,Robert de Mapilton’,,98344a8e-d713-45f1-aa1c-42b90b1d8cb3,98344a8e-d713-45f1-aa1c-42b90b1d8cb3,,"clerk|receives letters of attorney (with Wm Specke, clerk) to be executor for Wm Bokyngham of Gloucester",Principal|Clerical|Agent,Agent,True,,,,Principal,,,M
HCM 171,John de Aka,John de Rok',,3aaa56c5-eafe-4635-961e-43cf4304f9ca,082be708-79ef-4e89-8217-2911c7f6a253,,listed among other VC of HC,Principal|Clerical,,True,,,,Principal,,,M
HCM 171,Thomas de Driffeld,"Thomas de Driffeld', bailiff",,0b50a2ee-dbfb-4f4c-b6e3-e0388a282666,0b50a2ee-dbfb-4f4c-b6e3-e0388a282666,bailiff,,Witness|Agent,Agent,,,,,,Witness,,M
HCM 171,William the Dyer of Hereford,William the dyer,,9077c98c-c5a7-44fb-a65c-178c1ec4b0a9,1d34642b-0448-474d-809e-061c210d8f2e,,"land formerly of; cf Dyer, Dyare, Deyer",Neighbor,Neighbor,,,,,,,,M
HCM 171,John de Lywode,John de Lyvodes clerk,,6de924a7-5753-4530-98a6-f4118bbee2e1,350a269b-22e9-4192-aa69-6fe6f0a67792,clerk,,Witness|Clerical,,True,,,,,Witness,,M
HCM 171,Richard de Brochwardyn,Richard de Brokwardyn,,3b08747f-9cb0-4f58-9b97-e082d2cb31db,5151b8f9-518c-4797-82e7-0d3aa1e8c25c,,formerly,Lease-holder,Lease-holder,,,,,,,,M
HCM 171,Richard le Baker,Richard le Baker,,77eb32d8-b5dd-4330-99f3-65e83def0836,77eb32d8-b5dd-4330-99f3-65e83def0836,,,Principal|Clerical,,True,,,,Principal,,,M
HCM 171,William de Clehungre,Willism de Clehangr',,b9f00fc5-6738-401d-954c-87503be80468,844b802b-074f-4a23-b03e-46a38ecba4b9,,,Witness,,,,,,,Witness,,M
HCM 171,Nicholas de Troye baker of Hereford,Nicholas the baker and citizen of Hereford,,3ab4f582-9b10-49cf-aed0-fde098669d74,9db8c127-d7c2-4213-b76b-bc521d08d9b0,,"former husband of Margery (or at least, she's his ""relict"" [legal remnant, widow]",Dead,,,,,,,,Dead,M
HCM 171,Hugh de Maddeleye,Hugh de Maddeley,,e3c25611-ebeb-4e8e-a648-4926c6a767fb,9ffb34ed-d580-478e-a181-c5c9d9fe965b,,,Neighbor,Neighbor,,,,,,,,M
HCM 171,Margery wife of Nicholas (de Troye) the Baker of Hereford,"Margery, relict of Nicholas the baker and citizen of Hereford",,b3bf9003-2399-4f52-abba-b15afd1cab88,b3bf9003-2399-4f52-abba-b15afd1cab88,relict of Nicholas the baker and citizen of Hereford,"relict = legal remnant, i.e. widow",Principal|Woman,,,,,,Principal,,,W
HCM 171,Ranulf le Putter,Renulf le putter’,,11cbcf4e-ded4-429f-9c9a-a0e121412f9b,ba5ee9e4-69cc-44a4-a659-36922cf48972,,cf richard le poter?,Principal|Clerical,,True,,,,Principal,,,M
HCM 171,Henry Levioth,Henry Levioth(?),,cc002141-7923-4920-88c5-f40cfa08e6eb,cc002141-7923-4920-88c5-f40cfa08e6eb,,,Witness|Scribe,,,,,Scribe,,Witness,,M
HCM 171,William de Wormbrugge,william de Wwormbrug,,cf7c8532-a1ba-4f07-9970-c6f1233befa6,e2d9669f-fb09-4527-8ad1-f4c40d24a23b,,"cf C&E p.1046, 1129",Principal|Clerical,,True,,,,Principal,,,M
HCM 171,Simon de Radenore,Symon de Radenore,,4866b64a-d8fe-47e6-8b56-243309e17af7,e4efc3d2-0169-4ef0-a45a-6b4c57cded73,,,Principal|Clerical,,True,,,,Principal,,,M
HCM 171,Walter de Huleford,"Walter de Huloford',",,1bb220a4-1d50-4138-b83b-78c93c4e0fcf,f3505d25-c9f4-4cf9-bc27-5f4ee7813e0a,,,Principal|Clerical,,True,,,,Principal,,,M
HCM 1711,John de Thormerton,"John de Thormerton', priest of the diocese of Worcester",,213d026b-10c9-4373-914e-a969dd739357,213d026b-10c9-4373-914e-a969dd739357,priest of the diocese of Worcester,,Principal|Clerical,,True,,,,Principal,,,M
HCM 1711,Gaucelin de Jean cardinal bishop of Albano,"Gaucelin, bishop of Albano",,a36bcb5e-b753-476d-a9d3-2b955c28a8ff,a36bcb5e-b753-476d-a9d3-2b955c28a8ff,cardinal bishop of Albano,,Clerical|Adjudicator|Principal,Adjudicant,True,,,,Principal,,,M
HCM 1711,Adam de Orleton,"bishop of Worcester,",,040deb95-1394-4d05-9130-102bb39138b5,ce859ac7-0532-43e2-9359-1f495b0beefb,Bishop of Worcester,,Principal|Clerical|Office,,True,,Office,,Principal,,,M
HCM 1713,Godfrey Morice,Godfrey Morice,,2bbf743d-6ab6-4944-b053-f72266510b6b,2bbf743d-6ab6-4944-b053-f72266510b6b,husband to Matilda,,Principal,,,,,,Principal,,,M
HCM 1713,Alan de Plukenet,Alen de Plukenet,,52134712-a164-4a3d-8593-26077dd1c384,52134712-a164-4a3d-8593-26077dd1c384,,former husband to Sibyl,Dead,,,,,,,,Dead,M
HCM 1713,Sybil wife of Alan de Plukenet,"Sibyl, widow of sms Alen de Plukenet",,d86a8dea-6aa6-4c49-8341-9608bb53d5d0,d86a8dea-6aa6-4c49-8341-9608bb53d5d0,widow of sms Alen de Plukenet,widoe of Alen de Plukenet,Principal|Woman,,,,,,Principal,,,W
HCM 1713,Matilda wife of Godfrey Morice,Matilda his wife,,e3ef7769-50d3-452b-8bda-d43a96feb524,e3ef7769-50d3-452b-8bda-d43a96feb524,,wife to Godfrey Morice,Principal|Woman,,,,,,Principal,,,W
HCM 1719,John Cays,"John Cayss,",,0df0c477-7a75-4555-bf52-8f9304bbcbea,0df0c477-7a75-4555-bf52-8f9304bbcbea,,,Witness,,,,,,,Witness,,M
HCM 1719,rector of the Upper Hall Ledbury,"rector of the gupertor aula of Ledebur',",,2ce76370-e964-4669-b112-5f5c5b033dcd,2ce76370-e964-4669-b112-5f5c5b033dcd,rector of the Upper Hall Ledbury,,Clerical|Office|Neighbor,Neighbor,True,,Office,,,,,M
HCM 1719,Geoffrey de la Wode of Ledbury,Geoffrey de la Wode of Ledebur's,,3c2cd0df-0c05-4701-a6a0-751868d32c82,3c2cd0df-0c05-4701-a6a0-751868d32c82,,,Principal,,,,,,Principal,,,M
HCM 1719,William de la Pole of Ledbury,"William de la Pole,",,4a9ad27b-5dcf-4c97-b8d3-54b52feba82e,4a9ad27b-5dcf-4c97-b8d3-54b52feba82e,,vill of Ledbury,Witness|Scribe,,,,,Scribe,,Witness,,M
HCM 1719,Ralph Berde of Ledbury,Ralph Berde,,4d96e178-f304-4303-87b7-30a884508036; ac816226-0820-4367-a77c-524143ea2d89,4d96e178-f304-4303-87b7-30a884508036,,,Neighbor,Neighbor,,,,,,Witness,,M
HCM 1719,William Woderoue of Estenore,William Woderoue,,551513af-ba90-4a1d-b66b-0939c25eddab,551513af-ba90-4a1d-b66b-0939c25eddab,,vicinity Ledbury,Principal,,,,,,Principal,,,M
HCM 1719,Isabel Russel,"Isabel Russel,",,a5dd88b6-874c-4e74-bec5-2ec94a5ddd56,a5dd88b6-874c-4e74-bec5-2ec94a5ddd56,,,Neighbor|Woman,Neighbor,,,,,,,,W
HCM 1719,Ralph le Botiler,po le Bottlar,,597a125e-e001-42cc-95d5-593d11b02efd,e6653378-6444-4952-86dd-ca98fa29b69c,,Ralphn le Bottler,Witness,,,,,,,Witness,,M
HCM 1719,Roger le Skinnar,Roger le 3k :,,fd59531b-c50b-43cc-94ac-49761bd4ec1d,fd59531b-c50b-43cc-94ac-49761bd4ec1d,,le Skinnar',Witness,,,,,,,Witness,,M
HCM 1720,Richard Pruddomme,"Richard Pruddomme,",,32727c30-8b42-46a1-91e6-bab4f0d56d16,32727c30-8b42-46a1-91e6-bab4f0d56d16,,,Witness|Scribe,,,,,Scribe,,Witness,,M
HCM 1720,William de Quenton of Atherstone,"William de Quenton',",,f44701e9-d9fd-442b-95fa-73c3418b096d,7c82ea6b-4190-4ced-9dfa-887d8b92dd50,,,Witness,,,,,,,Witness,,M
HCM 1720,John de Baleshale,"John de Baleshale,",,a9c3216a-8188-401f-8248-25d1bec2aa89,a9c3216a-8188-401f-8248-25d1bec2aa89,,,Principal,,,,,,Principal,,,M
HCM 1720,Elias de Wynecote,Blias de Wynecote,,e26785f6-bfb9-45c3-a74b-74a2751e7f8d,e26785f6-bfb9-45c3-a74b-74a2751e7f8d,,Elias|father to William,Dead,,,,,,,,Dead,M
HCM 1720,John de Shokereswelle of Clifford Chaumbrer on the Stour,"John de Schokereswelle,",,e65e92ff-8c32-4ee4-affd-42f180b6c04a,e65e92ff-8c32-4ee4-affd-42f180b6c04a,,,Witness,,,,,,,Witness,,M
HCM 1720,William de Wynecote,"William, son and heir of Elias de Wynecote",,ee312693-104b-4a2f-af82-06952a7cc8fa,ee312693-104b-4a2f-af82-06952a7cc8fa,son and heir of Elias de Wynecote,,Principal,,,,,,Principal,,,M
HCM 1721,Thomas de Hemenhale,"Thomas, bishop of Worcester,",,c72ed4f0-8c96-47c0-b0d2-7b21e49bda50,c72ed4f0-8c96-47c0-b0d2-7b21e49bda50,bishop of Worcester,Thomas Hemehale,Principal|Clerical,,True,,,,Principal,,,M
HCM 1721,Richard de Leye,"Richerd de Leye, rector of the church of Durseleye in the diocese of Worcester;",,ed65116e-a450-464e-b647-fa4dfb0da1b6,ed65116e-a450-464e-b647-fa4dfb0da1b6,rector of the church of Durseleye in the diocese of Worcester;,cf Richard de la Leye (though he is Colwall Hereford diocese based)?,Principal|Clerical,,True,,,,Principal,,,M
HCM 1723,Richard Berde de Ledbury,"Richard Berde,",,0184eed5-e71f-4713-a176-654b540c9777,0184eed5-e71f-4713-a176-654b540c9777,,,Witness,,,,,,,Witness,,M
HCM 1723,Walter de Weston,Walter de \ieston',,7093198b-816b-4ac0-8e41-22103eb032f6,3e46cc67-75c5-46e5-8da8-d77a655c2285,,,Witness,,,,,,,Witness,,M
HCM 1723,Ralph Berde of Ledbury,"Ralph Berde,",,5617c3d2-c176-4ed0-8fd4-418b872ef585,4d96e178-f304-4303-87b7-30a884508036,,,Principal,,,,,,Principal,,,M
HCM 1723,master and brethren of St Katherine's Hospital Ledbury,the brethren of the said —,,2afad123-cdaf-4573-8ea8-2b54dab0a176,7f653fe7-34d6-48c8-841f-65055ea5679f,master and brethren of St Katherine's Hospital Ledbury,"of the said hospital, i.e. Hospital of St Kath of Ledbury",Principal|Collective|Clerical|Neighbor,Neighbor,True,,Collective,,Principal,,,M
HCM 1723,John Whiting,~~ Whiting,,85bbd00a-3ceb-49ce-bdaf-13cd65eb5b34,85bbd00a-3ceb-49ce-bdaf-13cd65eb5b34,,John Whiting',Witness,,,,,,,Witness,,M
HCM 1723,Ralph le Botiler,Ralph le Botiler.,,b780fc12-0aa1-4d16-9496-c68e5279fb8a,e6653378-6444-4952-86dd-ca98fa29b69c,,,Witness|Scribe,,,,,Scribe,,Witness,,M
HCM 1723,Stephen le Young,"oeaptes le Yunge, Master of the Hospital of Saint Katherine of Ledebury",,f331a219-246a-49b7-af97-1b0de1e09589,f331a219-246a-49b7-af97-1b0de1e09589,Master of the Hospital of Saint Katherine of Ledebury,,Principal|Clerical,,True,,,,Principal,,,M
HCM 1723,William Scharp,William Scharp,,f436a5e0-7d44-4d1c-b0b4-ce6f8d138ed9,f436a5e0-7d44-4d1c-b0b4-ce6f8d138ed9,,William Scharp,Witness,,,,,,,Witness,,M
HCM 1724,Walter de Cruce,"Walter de Cruece,",,0a4500fd-dfb4-4d39-bbdf-f20d7468ddff,0a4500fd-dfb4-4d39-bbdf-f20d7468ddff,,,Witness,,,,,,,Witness,,M
HCM 1724,John Scharp de Ledbury I,John Scharp,,0d447437-a69c-4901-8afe-78aab9355d7d,0d447437-a69c-4901-8afe-78aab9355d7d,magister,(magister),Neighbor|Clerical,Neighbor,True,,,,,,,M
HCM 1724,Walter de Abenhale,Walter de Abbynhal,,13e26fdb-c6ad-441d-9c85-c89515fa7cda,13e26fdb-c6ad-441d-9c85-c89515fa7cda,,dominus but unclear if clerical,Neighbor,Neighbor,,,,,,,,M
HCM 1724,John de Lydeneye,John de Lydeneye,,76d0ac24-c63e-4f93-9fb4-59d3a09e4e73,b1c10ad2-124a-40d2-9d2a-84cb8bfb9d4b,,John de Lydeneye,Witness|Scribe,,,,,Scribe,,Witness,,M
HCM 1724,Richard Whyting of Ledbury junior,"Richard whytyng',",,890f5278-2380-474b-968b-ffd4e553e376,c3ae7fd4-8b14-43d5-981e-4082438bd2b4,,,Witness,,,,,,,Witness,,M
HCM 1724,Stephen le Young,"Stephen le Ioeuene, Master of the Hospital of Saint Katherine of Ledebur', and the brethren of the same place",,c643ff27-567f-494a-9a53-6a7829ac67ba,f331a219-246a-49b7-af97-1b0de1e09589,"Master of the Hospital of Saint Katherine of Ledebur', and the brethren of the same place",i.e. Stephen the Young,Principal|Collective|Clerical,,True,,Collective,,Principal,,,M
HCM 1724,Thomas the Miller of Ledbury,Thomas the miller of Ledebur'.,,fb0ed0f9-f5cd-4c34-9c88-388ca75eadbf,fb0ed0f9-f5cd-4c34-9c88-388ca75eadbf,,,Principal,,,,,,Principal,,,M
HCM 1729,Ralph Berde of Ledbury,"Ralph called Berde of Ledebur',",,dcf9ed36-bb6b-435c-b200-c493fd735372,4d96e178-f304-4303-87b7-30a884508036,,,Principal,,,,,,Principal,,,M
HCM 1729,master and brethren of St Katherine's Hospital Ledbury,brethren of the Hospital,,76cdfc8c-e54b-4373-b755-9ac1f98c7033,7f653fe7-34d6-48c8-841f-65055ea5679f,master and brethren of St Katherine's Hospital Ledbury,of St Katherine of Ledbury,Principal|Collective|Clerical,,True,,Collective,,Principal,,,M
HCM 1729,Stephen le Young,"peuple le Yunge, Master of the Hospital of Saint Katherine of Ledebur'",,fc360595-dff5-437b-bc2c-cc476f718b4c,f331a219-246a-49b7-af97-1b0de1e09589,Master of the Hospital of Saint Katherine of Ledebur',Stephen the Young,Principal|Clerical,,True,,,,Principal,,,M
HCM 1730,dean of Hereford (vacant),dean of the said cathedral church,,5e1e5ec3-bf13-4c74-a93e-b1dd128b0ffd,5e1e5ec3-bf13-4c74-a93e-b1dd128b0ffd,dean of Hereford (vacant),currently vacant,Office|Clerical,,True,,Office,,,,,M
HCM 1730,Thomas Belamy,"Thomas BKelamy, clerk, rector of the church  of \odecestre,.",,a0c1cb0c-923f-4991-83e4-871bc1f5d581,a0c1cb0c-923f-4991-83e4-871bc1f5d581,"clerk, rector of the church  of \odecestre,.","commissioned to induct new master of St Kath's Hospital|Thomas Belamy, clerk, rector of the church of Wodecestre",Principal|Clerical|Agent,Agent,True,,,,Principal,,,M
HCM 1730,dean and chapter of Hereford,Chapter of the cathedral church of Hereford,,18ce3dc0-3845-4a2b-9d9d-808e65d87839,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Collective|Clerical,,True,,Collective,,Principal,,,M
HCM 1730,William le Brut,"william le Brutt', chaplain",,dcfc1414-26de-4230-9217-5882ce887747,dcfc1414-26de-4230-9217-5882ce887747,master of St Katherine's Ledbury|chaplain,inducted as Master of Hospital of St Kath of Ledbury,Principal|Clerical,,True,,,,Principal,,,M
HCM 1732,Henry de Orleton,"henry de Orletone,","RBLR 0801, HCM 1732",08309f15-2020-46d0-90c8-0dcfbde38723,08309f15-2020-46d0-90c8-0dcfbde38723,,,Witness,,,,,,,Witness,,M
HCM 1732,Richard de Swinfield,bishop of Hereford,"RBLR 0801, HCM 1732",0d75305d-89af-4da3-b7ba-6421a1a97da3,1eb4933c-65f8-40fc-9eb8-7a62800229b5,bishop of Hereford,"Swinfield or Orleton, depending on year",Neighbor|Clerical|Office,Neighbor,True,,Office,,,,,M
HCM 1732,Bartholomew le Spicer,Bartholomew le ispecer of Hereford,"RBLR 0801, HCM 1732",8487a74d-3974-4ab6-b760-808585634f3d,1ff1abc6-e1a7-43f7-9391-15e8c95f8388,,Bart le Especer,Principal,,,,,,Principal,,,M
HCM 1732,Hugh Ives,Guch Ives,"RBLR 0801, HCM 1732",ef016f63-1bca-4ebd-8ddb-01b7d36a186e,390befae-2021-452f-8345-7a7acb12d117,,,Witness,,,,,,,Witness,,M
HCM 1732,William Inthehale,“illiam Ithenhale,"RBLR 0801, HCM 1732",e2c6ad32-9940-4673-bd59-4577d46e8573,3a74b1b9-671c-4856-ac92-459b33103cc7,,"William Ithenhale [i.e., in the Hale]",Witness,,,,,,,Witness,,M
HCM 1732,Roger de Breynton,"koger de Breyntone, clerk","RBLR 0801, HCM 1732",1bd15dbb-15bd-4391-928a-411e2460523c,724d1018-4ff9-463e-a762-59080c540d53,clerk,,Principal|Clerical,,True,,,,Principal,,,M
HCM 1732,John le Bole,"John le Bole, clerk,","RBLR 0801, HCM 1732",3735a891-2bab-4708-97a3-650157ce2501,87261177-69cf-4a0a-80f0-ed7da547be29,clerk,,Witness|Scribe|Clerical,,True,,,Scribe,,Witness,,M
HCM 1732,John de la Felde,John de elde,"RBLR 0801, HCM 1732",46a84688-39c5-4dde-b405-e154fc095286,8c0a8469-c649-4985-947b-e6bc21844f83,,John de la Felde,Witness,,,,,,,Witness,,M
HCM 1732,Hugh le Shipward,Hugh le Shipward,"RBLR 0801, HCM 1732",df9bb464-3039-491f-890a-0d95fd727961,91e93f81-6053-43a3-bf49-ea605cdc7f2b,,,Witness,,,,,,,Witness,,M
HCM 1732,John de la Barewe,John de la Barewe,"RBLR 0801, HCM 1732",cbc22142-999b-446e-aeaf-5de25ee26f64,9f198569-1a34-4d35-835d-0b7dea068a59,,,Witness,,,,,,,Witness,,M
HCM 1732,John de Seuenak,John de Sevensk,"RBLR 0801, HCM 1732",5addb5df-5d7c-4424-8db7-309ac7a3165d,b5581852-7506-4bcf-9029-1609cc0a4015,,John de Sevenak',Witness,,,,,,,Witness,,M
HCM 1732,John Helle,John Helle chaplain of the altar of the Bless in the cathedral church of liereford,"RBLR 0801, HCM 1732",b5f7bc58-4de8-48c4-816f-d6f82e08d156,b5f7bc58-4de8-48c4-816f-d6f82e08d156,chaplain of the altar of the Blessed Mary in the cathedral church of Hereford,,Neighbor|Clerical,Neighbor,True,,,,,,,M
HCM 1732,dean and chapter of Hereford,dean and chopter of Hereford,"RBLR 0801, HCM 1732",39268514-890b-4db9-b81e-f0a56c50e80b,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Neighbor|Collective|Clerical,Neighbor,True,,Collective,,,,,M
HCM 1732,Nicholas Iweyn,"Nicholas Iweyn,","RBLR 0801, HCM 1732",30c89369-df6f-43cd-96ff-c48203149710,ce5dd8ed-33a0-4b82-a707-443d9c63a386,,,Witness,,,,,,,Witness,,M
