Document Number	Doc Type	Given At	Earliest Date	Latest Date	DATE	Date notes	Given at_old	COMMENTS	QUOTE_TRANSCRIPTION
HCM 1834-em	MANDATE	London	1313-02-26T00:00:00Z		4 Kal. March 1312/13		London	(embedded doc), (embedded doc)	mandate, 4 Kal. March 1312/13
HCM 1836	SURVEY	Dudelebury	1315-11-06T00:00:00Z		1315,  Thursday,  the Feast of St. Leonard the Confessor [November 6]		Dudelebury		1315, Thursday, the Feast of St. Leonard the Confessor [November 6], SURVEY
HCM 1848	ACCOUNT	Hereford	1315-12-17T00:00:00Z		1315,  Wednesday next after the Feast of St. Lucia,  the virgin [December 17]		Hereford		1315, Wednesday next after the Feast of St. Lucia, the virgin [December 17], ACCOUNT
HCM 1851	NOTARIAL INSTRUMENT	St. Paul's London	1308-07-01T00:00:00Z		1308,  July 1		St. Paul's London		1308, July 1, NOTARIAL INSTRUMENT
HCM 1854	MANDATE	Westminster	1317-06-10T00:00:00Z		1317,  June 10		Westminster		1317, June 10, MANDATE
HCM 1855	NOTARIAL INSTRUMENT	St. Paul's London	1303-10-04T00:00:00Z		1303,  October 4		St. Paul's London		1303, October 4,, NOTARIAL INSTRUMENT
HCM 1858	PAPAL BULL	Avignon	1320-01-26T00:00:00Z		1319/20,  7 Kal. February |January 26|		Avignon		1319/20, 7 Kal. February |January 26|,, PAPAL BULL
HCM 186	GRANT in fee-farm	chapter-house at Hereford	1310-02-07T00:00:00Z		1309/10,  Saturday next after the Feast of the Purification of the Blessed Mary [February 7].		chapter-house at Hereford		1309/10, Saturday next after the Feast of the Purification of the Blessed Mary [February 7]., GRANT in fee-farm
HCM 1862	MANDATE	Westminster	1332-09-20T00:00:00Z		1332,  September 20.		Westminster		1332, September 20., MANDATE o
HCM 1863	INCUISITION	Gloucester.	1332-10-12T00:00:00Z		1332,  October 12		Gloucester.		1332, October 12,, INQUISITION
HCM 1866	DEFEASANCE	Pendok'.	1361-05-20T00:00:00Z		1361,  Thursday next after the Feast of St. Dunstan LMay 20).		Pendok'.		1361, Thursday next after the Feast of St. Dunstan LMay 20)., DEFEASANCE
HCM 1870	BOND	Hereford	1333-03-13T00:00:00Z		1332/3,  Saturday. next after the Feast of St. Gregory the Pope [March 13].		Hereford		1332/3, Saturday. next after the Feast of St. Gregory the Pope [March 13]., BOND
HCM 1871	LEASE	Norton’ Canonicorum	1333-07-29T00:00:00Z		1333,  Thursdey next after the Feast of St. James (July 29).		Norton’ Canonicorum		1333, Thursdey next after the Feast of St. James (July 29)., LEASE
HCM 1872	INSPEXIMUS AND CONFIRMATION		1333-01-01T00:00:00Z	1333-12-31T00:00:00Z	circa 1333	approx		split, or skip it since neither are dated or have Given ats?	circa 1333,, INSPEXIMUS and CONFIRMATION, GRANT in fee-farm,
HCM 1873	RECEIPT	Hereford	1298-06-16T00:00:00Z		1298,  Monday the Feast of the saints end martyrs Curig and Julitte (June 16}.		Hereford		1298, Monday the Feast of the saints end martyrs Curig and Julitte (June 16}., RECEIPT
HCM 1876	GRANT	chapter-house at Gloucester	1349-03-25T00:00:00Z		349,  wednesday,  the Feast of the Annunciation of the blessed Mary LMareh 25]		chapter-house at Gloucester	1349	349, wednesday, the Feast of the Annunciation of the blessed Mary LMareh 25], GRANT
HCM 1877	GRANT		1300-01-01T00:00:00Z	1399-12-31T00:00:00Z	14th century.	14th century			14th century., GRANT
HCM 1879	LEASE	chapter-house at Hereford	1333-06-11T00:00:00Z		1333,  Friday the Feast of St. Barnabas the Apostle LJune 11].		chapter-house at Hereford		1333, Friday the Feast of St. Barnabas the Apostle LJune 11]., LEASE
HCM 1881	LEASE	chapter-house at Gloucester	1340-05-24T00:00:00Z		1340,  wednesday in the Vigil of the Feast of the Ascension of our Lord iMay 24].		chapter-house at Gloucester		1340, wednesday in the Vigil of the Feast of the Ascension of our Lord iMay 24]., LEASE
HCM 1885	GRAST	a at Gloucester	1350-05-26T00:00:00Z		1350,  Wednesday in the Feast of St. ,   Augustine,  archbishop {May 26		a at Gloucester	GRANT	1350, Wednesday in the Feast of St. ,  Augustine, archbishop {May 26, GRAST
HCM 1887	LEASE	chapter-house at Gloucester	1350-04-11T00:00:00Z		50,  Sunday,  the Feast of St. Guthlac ,   Meets 11]		chapter-house at Gloucester	1350, April 11	50, Sunday, the Feast of St. Guthlac ,  Meets 11], LEASE
HCM 1892	INGSPSXIMUS and CONFLRMATION	Sugwas	1323-02-14T00:00:00Z		1322/3,  February 14		Sugwas	this date for Inpsex & confirm, INSPEXIMUS AND CONFIRMATION	1322/3, February 14,, INGSPSXIMUS and CONFLRMATION
HCM 1892-em	LEASE	rere at Hereford	1317-07-23T00:00:00Z		Saturday next before the Feast of St. James the oe in the year 1317		rere at Hereford	(embedded doc)	LEASE, Saturday next before the Feast of St. James the oe in the year 1317
HCM 1898	LEASE	chapter-house at Gloucester	1303-05-20T00:00:00Z		1303,  Monday next after the Feast of St,  ,    Dunsten,  bishop and confessor j|May 20].		chapter-house at Gloucester		1303, Monday next after the Feast of St, ,   Dunsten, bishop and confessor j|May 20]., LEASE
HCM 1899	INSPEXIMUS AND CONFIRMATION	chapter-house of Hereford	1324-04-06T00:00:00Z		1324,  April 6		chapter-house of Hereford	this date for Inspex, subdivide	1324, April 6,, INSPEXIMUS AND CONFIXMATION
HCM 1899-em	GRANT	Ledbury	1322-06-23T00:00:00Z		1322,  Wednesday in the i of the Nativity of St. John the Baptist |June 23].		Ledbury		1322, Wednesday in the i of the Nativity of St. John the Baptist |June 23]., GRANT
HCM 19	GRANT		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	Legirca 1300.	approx			Legirca 1300., GRANT
HCM 1900	MANDATE	Gloucester.	1283-04-11T00:00:00Z		1283,  Palm Sunday April 11		Gloucester.		1283, Palm Sunday April 11,, MANDATE
HCM 1901	REQUEST	London	1300-06-10T00:00:00Z	1350-06-10T00:00:00Z	First helf 14th century,  June 10.	approx year, exact day	London		First helf 14th century, June 10., REQUEST
HCM 1902	GRANT	Ledbury	1321-03-26T00:00:00Z		1321,  Thursday next after the Feast of the Annunciation of the Virgin Mary LMarch 26].		Ledbury		1321, Thursday next after the Feast of the Annunciation of the Virgin Mary LMarch 26]., GRANT
HCM 1903	LEASE f	Rodeforde	1357-03-19T00:00:00Z		1356/7,  Sunday next before the Feast of the | Amnunelation of the Blessed Mery LMareh 19		Rodeforde		1356/7, Sunday next before the Feast of the | Amnunelation of the Blessed Mery LMareh 19, LEASE f
HCM 1904	LEASE	Ledbury	1341-12-17T00:00:00Z		1341,  Monday next before the Feast of St. Thomas the Apostle . December 17		Ledbury		1341, Monday next before the Feast of St. Thomas the Apostle . December 17, LEASE
HCM 1908	LEASE	chapter-house at Hereford	1324-09-17T00:00:00Z		1324,  September 17.		chapter-house at Hereford		1324, September 17., LEASE
HCM 1910	GRANT	Ledbury	1322-06-11T00:00:00Z		1522,  Friday,  the Feast of St,  Barnabas ,   the Apostle \sune 11).		Ledbury	1322	1522, Friday, the Feast of St, Barnabas ,  the Apostle \sune 11)., GRANT
HCM 1911	LETTER		1275-01-01T00:00:00Z	1325-12-31T00:00:00Z	|Late 13th = early 14th century.	|Late 13th = early 14th century.			|Late 13th = early 14th century., LETTER
HCM 1916	LIS?	Norton (manor of)	1300-01-01T00:00:00Z	1399-12-31T00:00:00Z	? 14th century	14th century		LIST OF DUES, does this imply a list of names?	? 14th century, LIS?, dues for the right of pannage
HCM 1918	GRANT	Ledbury	1316-08-23T00:00:00Z		1316,  Monday in the vigil of the Feast of St. Bartholomew,  the apostle [August 23]		Ledbury		1316, Monday in the vigil of the Feast of St. Bartholomew, the apostle [August 23], GRANT
HCM 192		Hereford	1351-06-28T00:00:00Z		1551,  Tuegday the Vigil of St. Peter and St. Paul jJune 28]		Hereford	1351	1551, Tuegday the Vigil of St. Peter and St. Paul jJune 28]
HCM 1924	MANDATE	Bokton'	1318-07-09T00:00:00Z		1318,  7 1a,  July duly 9.		Bokton'		1318, 7 1a, July duly 9., MANDATE
HCM 1925	NOTARIAL INSTRUMENT		1347-01-01T00:00:00Z	1347-12-31T00:00:00Z	1347				1347, NOTARIAL INSTRUMENT
HCM 1928	MEMORANDUM		1347-01-01T00:00:00Z	1347-12-31T00:00:00Z	11347			1347	11347, MEMORANDUM
HCM 1929	LETTER	Westminster	1313-11-07T00:00:00Z		1313,  November 7		Westminster		1313, November 7, LETTER
HCM 1930	MANDATE	Westminster	1313-10-07T00:00:00Z		1313,  October 7.		Westminster		1313, October 7., MANDATE
HCM 1931	LETTER	Bosebury	1315-05-21T00:00:00Z		1315,  12 Kal. June [May 21]		Bosebury	date of main doc	1315, 12 Kal. June [May 21], LETTER
HCM 1931-em	royal letter	Thonderlee	1315-05-14T00:00:00Z		14 May 1315		Thonderlee	(embedded doc), (embedded doc)	royal letter, 14 May 1315
HCM 1932	Commission	Hereford	1353-12-01T00:00:00Z		1353,  December 1		Hereford		1353, December 1, COMMISSION
HCM 1933	GRANT	Ledbury	1354-03-31T00:00:00Z		1354,  Monday next after the Feast of the aénnunciation of the Blessed Virgin Mary L March 31)		Ledbury		1354, Monday next after the Feast of the aénnunciation of the Blessed Virgin Mary L March 31), GRANT
HCM 1934	GRANT	Cervecote	1346-08-17T00:00:00Z		1346,  Thursday next after the Feast of the ,    Assumption of the Blessed Mary ( August 17		Cervecote		1346, Thursday next after the Feast of the ,   Assumption of the Blessed Mary ( August 17, GRANT
HCM 1938	RECEIPT	Hereford	1337-02-01T00:00:00Z		1336/7,  February 1.		Hereford		1336/7, February 1., RECEIPT
HCM 1940	FINDINGS		1287-01-01T00:00:00Z	1287-12-31T00:00:00Z	1287 |	approx			1287 |, FINDINGS
HCM 195	RELEASE	Hereford	1301-05-13T00:00:00Z		1301,  Saturday after the feast of the Ascension of the Lord | May 13]		Hereford		1301, Saturday after the feast of the Ascension of the Lord | May 13], RELEASE
HCM 196	GRANT	Hereford	1316-04-03T00:00:00Z		1316,  April 3.		Hereford		1316, April 3., GRANT
HCM 1974	GRANT	Hereford	1305-02-12T00:00:00Z		1304/5,  February 12.		Hereford		1304/5, February 12., GRANT
HCM 1975	APPROBATION	Bosebury	1311-10-30T00:00:00Z		1311,  3 Kal. Nov. [October 30].		Bosebury		1311, 3 Kal. Nov. [October 30]., APPROBATION
HCM 20	GRANT		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	Lgdrea 1300	approx		1332/3	Lgdrea 1300, GRANT, 1552/3, Tharsday next after the Feast of the Purification of the Virgin Mary |February 7|, GRANT
HCM 201	GRANT	Hereford	1315-10-11T00:00:00Z		1315,  October 11.		Hereford		1315, October 11., GRANT
HCM 2019	BOND		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. ceatury	approx			Late 13th. ceatury, BOND
HCM 2020	GRANT in fee-farm		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	Leireg 1300.	approx			Leireg 1300., GRANT in fee-farm
HCM 203	RELEASE	Hereford	1311-06-28T00:00:00Z		1311,  Monday next after the Feast of the Nativity of John the Baptist [June 28]		Hereford		1311, Monday next after the Feast of the Nativity of John the Baptist [June 28], RELEASE
HCM 204	RELEASE		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century, RELEASE
HCM 2050	TESTIMONY	Colewell	1291-08-26T00:00:00Z		1291,  Sunday next after the Feast of St.   ‘i 7 Bartholomew the Apostle | August 26)		Colewell	"just to be clear: there's a typo in C&E typescript p.588, wherein this document (actually HCM 2050; dated 1291) appear incorrectly as ""HCM 2650""; however, the real HCM 2650 appears on C&E typescript p.598 (1294)"	HCM 2050, 1291, Sunday next after the Feast of St.   ‘i 7 Bartholomew the Apostle | August 26), TESTIMONY
HCM 2051	GRANT	chapter-house at Hereford	1318-10-08T00:00:00Z		1318,  Sunday next after the Feast of St,  .   Faith the Virgin [October 8].		chapter-house at Hereford		1318, Sunday next after the Feast of St, .   Faith the Virgin [October 8]., GRANT
HCM 2052	DUPLICATE		1298-02-25T00:00:00Z		1297/8,  the morrow of the Feast of St. Mathias the Apostle | February 25			how to handle? copy over and re-do?	1297/8, the morrow of the Feast of St. Mathias the Apostle | February 25, DUPLICATE of 772
HCM 2053	GRANT		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	circa 1300	approx			Leirea 1300., GRANT
HCM 2054	GRANT		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	circa 1300	approx			circa 1300, GRANT,
HCM 2055	GRANT		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	circa 1300	approx			circa 1300, GRANT,
HCM 2056	GRANT		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	circa 1300	approx			circa 1300, GRANT
HCM 2057	GRANT in fee-farm		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century, GRANT in fee-farm,
HCM 2059		Hereford	1314-10-31T00:00:00Z		1314,  the Feast of St. Quintin the martyr [October 31], GRANT		Hereford		1314, the Feast of St. Quintin the martyr [October 31], GRANT
HCM 2066	LEASE	chapter-house at Hereford	1325-02-28T00:00:00Z		1324/5,  Thursday next after the Feast of Ste Mathias the Apostle | February 28]		chapter-house at Hereford		1324/5, Thursday next after the Feast of Ste Mathias the Apostle | February 28], LEASE
HCM 2067	COUNTERPART of 2066		1325-02-23T00:00:00Z		13/5,  Thursday next after the Feast of st. Mathias the Apostle | February 23].			1324/5, how to handle?	13/5, Thursday next after the Feast of st. Mathias the Apostle | February 23]., COUNTERPART of 2066
HCM 2068	INSTITUTION	chapter-house of Hereford	1327-05-26T00:00:00Z		1327,  May 26.		chapter-house of Hereford		1327, May 26., INSTITUTION
HCM 207	GRANT	Hereford	1312-04-25T00:00:00Z		1312,  Tuesday the Feast of St. Mark the Evangelist [April 25]		Hereford		1312, Tuesday the Feast of St. Mark the Evangelist [April 25], GRANT
HCM 2072	ACKNOWLEDGEMENT	chapter-house of Hereford	1317-06-04T00:00:00Z		1317,  June 4.		chapter-house of Hereford		1317, June 4., ACKNOWLEDGEMENT
HCM 2074	GRANT in frank almoign	Hereford	1282-09-14T00:00:00Z		1282,  the Feast of the Exaltation of the Holy Cross i,  September 14)		Hereford	Grant in frank almoign	1282, the Feast of the Exaltation of the Holy Cross i, September 14), GRANT in frank alwoin
HCM 2075	AGREEMENT	chapter-house	1345-07-06T00:00:00Z		1345,  July 6.		chapter-house		1345, July 6., AGREEMENT
HCM 2076	COUNTERPART of 2075		1345-07-06T00:00:00Z		1345,  duly 6.			july 6, ?	1345, duly 6., COUNTERPART of 2075
HCM 2077	NOTARIAL INSTRUMENT	cathedral church of Hereford	1346-07-29T00:00:00Z		1346,  July 29		cathedral church of Hereford		1346, July 29, NOTARIAL INSTRUMENT
HCM 2077-em	charter	Pyonya Canonicorum		1346-07-29T00:00:00Z			Pyonya Canonicorum		charter
HCM 2078	PRESENTATION		1353-12-19T00:00:00Z		1353,  December 19.				1353, December 19., PRESENTATION
HCM 2079	MEMORANDUM	church of Lanwaran	1298-04-29T00:00:00Z		1298,  Wednesday the Vigil of Saints Phillip ,   ond James the Apostles i April 30]		church of Lanwaran		1298, Wednesday the Vigil of Saints Phillip ,  ond James the Apostles i April 30], MEMORANDUM
HCM 2087	ORDINANCE	chapter-house at Wormesleye	1332-03-26T00:00:00Z		1332,  Mareh 26.		chapter-house at Wormesleye		1332, Mareh 26., ORDINANCE
HCM 2089	INSPEXIMUS AND CONFIRMATION	Hereford in the chapter	1330-07-01T00:00:00Z		1330,  July 1.		Hereford in the chapter	date of inspeximus	1330, July 1., INSPEXIMUS AND CONFIRMATION
HCM 2089-em1	GRANT	Rosy	1330-06-06T00:00:00Z		6 June 1330		Rosy		Grant, 6 June 1330
HCM 2089-em2	GRANT	Hereford	1330-06-06T00:00:00Z		6 June 1330		Hereford		Grant, 6 June 1330
HCM 209	GRANT	Hereford	1316-11-25T00:00:00Z		1316,  Thursday the Feast of St. Katherine the Virgin [November 25]		Hereford		1316, Thursday the Feast of St. Katherine the Virgin [November 25], GRANT
HCM 2091	MANDATE	London	1303-11-29T00:00:00Z		1303,  3 Kalends December November 29|.		London		1303, 3 Kalends December November 29|., MANDATE
HCM 2092	ACTA		1303-12-18T00:00:00Z		1303,  Wwedne next after the Feast ,   of St,  iucta the Virgin {December 18].				1303, Wwedne next after the Feast ,  of St, iucta the Virgin {December 18]., ACTA
HCM 2093	ACTA	Hereford	1317-03-01T00:00:00Z		1317/8 Wednesday the Feast of St. David [March 1].		Hereford		1317/8 Wednesday the Feast of St. David [March 1]., ACTA
HCM 2095	QUITCLAIM	Hereford	1343-03-16T00:00:00Z		1342/3,  Sunday next after the Feast of St. Gregory the Pope [March 16]		Hereford		1342/3, Sunday next after the Feast of St. Gregory the Pope [March 16], QUITCLAIM
HCM 2096	INSPEXIMUS AND CONFIRMATION	chapter	1315-05-25T00:00:00Z		1315,  May 25		chapter	date of inspex & confirmation	1315, May 25, INSPEXIMUS and confirmation
HCM 2096-em	GRANT	Hereford	1315-05-18T00:00:00Z		18 May 1315		Hereford	(embedded doc)|for alienation in mortmain, (embedded doc)	GRANT, 18 May 1315
HCM 2097	QUITCLAIM	Hereford	1321-02-08T00:00:00Z		1320/1,  Sunday next after the Feast of the Purification of the Virgin Mary |February 8		Hereford		1320/1, Sunday next after the Feast of the Purification of the Virgin Mary |February 8, QUITCLAIM
HCM 21	GRANT		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	igizrca 130	approx			igizrca 130, GRANT
HCM 2100	INSPEXIMUS AND CONFIRMATION	chapter of Hereford	1319-04-13T00:00:00Z		1319,  April 13.		chapter of Hereford	date of Inspeximus, separate into two docs?	1319, April 13., INSPEXIMUS and confirmation
HCM 2100-em	GRANT	Hereford		1319-01-01T00:00:00Z	Saturday the viel of aia Edward II		Hereford	by royal license, (embedded doc)	GRANT, Saturday the viel of aia Edward II
HCM 2102	DUPLICATE		1309-06-10T00:00:00Z		1309,  June 10				1309, June 10, DUPLICATE
HCM 2111	NOTIFICATION	Hereford	1359-07-04T00:00:00Z		1359,  July 4		Hereford		1359, July 4, NOTIFICATION
HCM 2122	LEASE	Cors.	1346-11-29T00:00:00Z		1346,  Wednesday the vigil of St. Andrew the Apostle [November 29).		Cors.		1346, Wednesday the vigil of St. Andrew the Apostle [November 29)., LEASE
HCM 2128	LETTER	Hereford	1283-03-12T00:00:00Z		1282/3,  St. Gregory [?March 12]		Hereford		1282/3, St. Gregory [?March 12], LETTER
HCM 2129	pu 9 reco t	Paris	1283-03-26T00:00:00Z		1283,  =e on which Jetare Jerusalem is sung |March 26].		Paris	NOTARIAL INSTRUMENT	1283, =e on which Jetare Jerusalem is sung |March 26]., pu 9 reco t
HCM 2130	LETTER	monastery of St. Martin | of Seez	1283-04-06T00:00:00Z		1283 MS, .1282,  Tuesday before Palm Sunday |April 6}		monastery of St. Martin | of Seez		1283 MS,.1282, Tuesday before Palm Sunday |April 6}, LETTER
HCM 2131	ARBITRATION AWARD	Wormele	1283-09-24T00:00:00Z		"1283,  ouoansey "" before Feast’"		Wormele	1283, September 25	"1283, ouoansey "" before Feast’, ARBITRATION AWARD"
HCM 2132	QUITCLAIM	Shrewsbury (Salop')	1283-10-07T00:00:00Z		1283,  Thursday next after the Feast of St. Fides the Virgin and martyr Metober 7]		Shrewsbury (Salop')		1283, Thursday next after the Feast of St. Fides the Virgin and martyr Metober 7], QUITCLAIM
HCM 2133	RESIGNATION	Wenlak	1286-03-24T00:00:00Z		1286,  laseon 24		Wenlak		1285/6, Sentny the Vigil of the Feast of he Angunciation of the Virgin Mary laseon 24, RESIGNATION
HCM 2134	teelox	Wenlak	1286-03-24T00:00:00Z		1285/6,  the Vigil of the Amunciation of ,   the Virgin Mary |March 24]		Wenlak	QUITCLAIM of a rent	1285/6, the Vigil of the Amunciation of ,  the Virgin Mary |March 24],, teelox
HCM 2135	RELINQ@ISHMENT		1288-04-12T00:00:00Z		1288,  Monday after the Sundsy on which .   Misericordia domini is sung | April 12).			RELINQUISHMENT	1288, Monday after the Sundsy on which .   Misericordia domini is sung | April 12)., RELINQ@ISHMENT
HCM 2136	NOTARIAL INSTRUMENT		1336-02-22T00:00:00Z		1335/6,  9 Kalends of March February 22.				1335/6, 9 Kalends of March February 22., NOTARIAL INSTRUMENT
HCM 2137	NOTIFICATION	Aucland'.	1335-12-08T00:00:00Z		1335,  December 8.		Aucland'.		1335, December 8., NOTIFICATION
HCM 2140	NOTIFICATION	church of St. Mary of Aldermarychirch'	1335-05-08T00:00:00Z		1335,  8 Ides of May iMay 8].		church of St. Mary of Aldermarychirch'	church of st mary of the	1335, 8 Ides of May iMay 8]., NOTIFICATION, London,
HCM 2141	NOTARIAL INSTRUMENT	London in the church of Ste Mary de Aldermarychurche	1336-02-25T00:00:00Z		Post 1335/6,  6 Kalenis of March i February 25.	exact date, earliest year	London in the church of Ste Mary de Aldermarychurche		Post 1335/6, 6 Kalenis of March i February 25., NOTARIAL INSTRUMENT
HCM 2142	NOTARIAL INSTRUMENT	London	1337-07-01T00:00:00Z		1337,  Kalends of July July 1.		London		1337, Kalends of July July 1., NOTARIAL INSTRUMENT
HCM 2143	MANDATE	London	1337-07-15T00:00:00Z		1337,  ides of July |July 15.		London		1337, ides of July |July 15., MANDATE
HCM 2145	LEASE	Bromfeld'	1309-04-06T00:00:00Z		1309,  Sunday next after the Feast of St. Ambrose [April 6]		Bromfeld'		1309, Sunday next after the Feast of St. Ambrose [April 6], LEASE
HCM 2146	LEASE	Hereford	1355-05-20T00:00:00Z		1355,  the Feast of St. Ethelbert May 20		Hereford		1355, the Feast of St. Ethelbert May 20, LEASE
HCM 2147	LEASE	Hereford	1361-05-20T00:00:00Z		1361,  the Feast of St. Ethelbert May 20.		Hereford		1361, the Feast of St. Ethelbert May 20., LEASE
HCM 215	GRANT		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	circa 1300	approx			circa 1300, GRANT,
HCM 2151	CONFIRMATION	Bosebury	1309-06-10T00:00:00Z		1309,  June 10.		Bosebury		1309, June 10., CONFIRMATION
HCM 2156	RECORD		1335-01-01T00:00:00Z	1337-12-31T00:00:00Z	1335-7].				1335-7]., RECORD
HCM 2157	PROHIBITION	Carlisle	1335-07-08T00:00:00Z		1335,  July 8.		Carlisle		1335, July 8., PROHIBITION
HCM 2158	PROHIBITION	content	1335-07-10T00:00:00Z		1335,  July 10				1335, July 10,, PROHIBITION, from King Edward LlHj to the official of the court of Canterbury and his commissary, Identical in content with No. 2157 dated 8 July 1335.
HCM 2159	NOTARIAL INSTRUMENT	chapter of Hereford	1309-10-02T00:00:00Z		1309,  October 2		chapter of Hereford		1309, October 2, NOTARIAL INSTRUMENT
HCM 2163	APPROPRIATION		1330-03-06T00:00:00Z		1329/30,  March 6.				1329/30, March 6., APPROPRIATION
HCM 2164	ORDINANCES	Sugwas	1331-07-22T00:00:00Z		1331,  July 22.		Sugwas		1331, July 22., ORDINANCES
HCM 2165	LETTERS PATENT		1330-03-20T00:00:00Z		1329/30,  March 20.				1329/30, March 20., LETTERS PATENT
HCM 2166	AGREEMENT	Hereford	1330-03-26T00:00:00Z		1330 gig for 1331,  Tuesday the morrow ,   the unciation of the Virgin Mary Merch 26).		Hereford		1330 gig for 1331, Tuesday the morrow ,  the unciation of the Virgin Mary Merch 26)., AGREEMENT
HCM 2169	DRAFT of an egreement		1346-12-24T00:00:00Z		1347 .				1347 ., DRAFT of an egreement
HCM 217	GRANT	**; [Cheltenham?]	1345-07-15T00:00:00Z		1345,  Friday next before the Feast of ,   St. argeret the Virgin [July 15 |		**		1345, Friday next before the Feast of ,  St. argeret the Virgin [July 15 |, GRANT
HCM 2170	INSPEXIMUS AND CONFIRMATION	chapter	1334-07-10T00:00:00Z		1334,  6 Ides of July July 10		chapter	date for inspex, subdivide?	1334, 6 Ides of July July 10, INSPEXIMUS and CONFIRMATION
HCM 2170-em	GRANT	chapter of Hereford	1334-07-07T00:00:00Z		nones of July,  1334		chapter of Hereford	(embedded doc)	grant, nones of July, 1334
HCM 218	RELEASE	Hereford	1311-09-29T00:00:00Z		1311,  Wednesday the Feast of St. Michael [September 29]		Hereford		1311, Wednesday the Feast of St. Michael [September 29], RELEASE
HCM 2183	ACENOWLEDGEMENT		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx		ACKNOWLEDGEMENT	Late 13th. century, ACENOWLEDGEMENT
HCM 2187	MEMORANDUM	treasury of Hereford	1324-07-16T00:00:00Z		1324,  wonday next before the Feast of St. Keneln [July 16).		treasury of Hereford		1324, wonday next before the Feast of St. Keneln [July 16)., MEMORANDUM
HCM 219	GRANT	Hereford	1317-04-11T00:00:00Z		1317,  April 11.		Hereford		1317, April 11., GRANT
HCM 2198	GRANT in fee-farm		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century, GRANT in fee-farm
HCM 22	GRANT		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	circa 1300	approx			Leirea 1300, GRANT
HCM 2200	GRANT in fee-farm		1300-01-01T00:00:00Z	1325-12-31T00:00:00Z	Early 14th century	LEerly 14th century}			LEerly 14th century}., GRANT in fee-farm,
HCM 2215	QUIZTANCE		1294-08-28T00:00:00Z		1294,  August 28			QUITTANCE	1294, August 28,, QUIZTANCE
HCM 2217	NOTIFICATION	Gloucester.	1308-12-28T00:00:00Z		1308,  5 Kalends of January [December 28]		Gloucester.		1308, 5 Kalends of January [December 28], NOTIFICATION
HCM 2218	GRANT		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century, GRANT
HCM 2219	AGREEMENT	chapter of the monastery	1351-05-06T00:00:00Z		1351,  May 6.		chapter of the monastery		1351, May 6., AGREEMENT
HCM 222	re OE	Hereford	1322-05-31T00:00:00Z		1322,  Monday in the week of Pentecost May 31\		Hereford	GRANT, 1303	"1322, Monday in the week of Pentecost May 31\, re OE, 1503, Tuesday next after the Feast of ,   ‘ St. Sames the Apostle July 30"", NOTARIAL INSTRUMERT"
HCM 2226	ORDER	Chirebury	1308-06-10T00:00:00Z		1308,  Monday the morrow of the Feast of the Holy Trinity [June 10]		Chirebury		1308, Monday the morrow of the Feast of the Holy Trinity [June 10], ORDER
HCM 224	LEASE	Hereford	1295-08-05T00:00:00Z		1295,  Priday next before the Feast of ,   St. Leurenee the Martyr jAugust 5]		Hereford		1295, Priday next before the Feast of ,  St. Leurenee the Martyr jAugust 5], LEASE
HCM 2246	INSPEXIMUS AND CONFIRMATION		1312-12-28T00:00:00Z		1312,  December 28			date of inspeximus, but no need for additional docs, as embedded charters are pre 1282, this COPY of inspeximus is dated 1312 Dec 28, the same date as the ORIGINAL of the INSPEXIMUS (not to be confused with the much earlier embedded charter being confirmed)--basically two copies of same doc but notable even so	1312, December 28, INSPEXIMUS, Copy
HCM 2248	LETTERS PATENT		1331-10-11T00:00:00Z		1331,  October 11.				1331, October 11., LETTERS PATENT
HCM 2250	MANDATE		1334-03-16T00:00:00Z		1334,  7 Kal. July June 25., 1334 March 16			of embedded letters patent	1334, 7 Kal. July June 25., MANDATE, 1334 March 16
HCM 2251	LETTERS PATENT		1314-09-26T00:00:00Z		1314,  September 26				1314, September 26, LETTERS PATENT
HCM 2254	MANDATE	Corfe Castle.	1344-09-15T00:00:00Z		1344,  September 15		Corfe Castle.		1344, September 15, MANDATE
HCM 2257	MANDATE	Bosebury	1306-12-02T00:00:00Z		1306,  December 2		Bosebury	date of main doc	1306, December 2, MANDATE
HCM 2257-em	king's writ		1306-11-03T00:00:00Z		3 November 1306			(embedded doc), (embedded doc)	king's writ, 3 November 1306
HCM 2259	LETTERS PATENT		1330-12-10T00:00:00Z		1330,  December 10				1330, December 10,, LETTERS PATENT
